name,stars,forks,language,license,open_issues,closed_issues,total_issues,created_at,updated_at,description,url,merged_pull_requests,releases
freeCodeCamp/freeCodeCamp,426565,41316,TypeScript,BSD-3-Clause,190,19647,19837,2014-12-24T17:49:19Z,2025-08-26T23:01:07Z,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",https://github.com/freeCodeCamp/freeCodeCamp,25748,0
codecrafters-io/build-your-own-x,414350,38850,Markdown,No License,231,595,826,2018-05-09T12:03:18Z,2025-08-26T23:29:39Z,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,142,0
sindresorhus/awesome,395178,31352,N/A,CC0-1.0,14,340,354,2014-07-11T13:42:37Z,2025-08-26T23:13:46Z,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,679,0
EbookFoundation/free-programming-books,366430,63978,Python,CC-BY-4.0,29,1152,1181,2013-10-11T06:50:37Z,2025-08-26T23:32:11Z,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,6822,0
public-apis/public-apis,363005,38099,Python,MIT,10,704,714,2016-03-20T23:49:42Z,2025-08-26T22:59:44Z,A collective list of free APIs,https://github.com/public-apis/public-apis,1872,0
kamranahmedse/developer-roadmap,334681,42636,TypeScript,NOASSERTION,250,2693,2943,2017-03-15T13:45:52Z,2025-08-26T23:03:52Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,3697,1
jwasham/coding-interview-university,324927,79940,N/A,CC-BY-SA-4.0,63,453,516,2016-06-06T02:34:12Z,2025-08-26T23:13:24Z,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,415,0
donnemartin/system-design-primer,317706,51987,Python,NOASSERTION,250,91,341,2017-02-26T16:15:28Z,2025-08-26T23:32:07Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,200,0
996icu/996.ICU,274159,21064,N/A,NOASSERTION,0,0,0,2019-03-26T07:31:14Z,2025-08-26T23:10:47Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,1071,0
vinta/awesome-python,256844,26186,Python,NOASSERTION,0,0,0,2014-06-27T21:00:06Z,2025-08-26T23:28:14Z,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,544,0
