repo_full_name,language,bytes
doocs/advanced-java,Java,180
GrowingGit/GitHub-Chinese-Top-Charts,Java,125
iluwatar/java-design-patterns,Java,4620720
iluwatar/java-design-patterns,HTML,16836
iluwatar/java-design-patterns,CSS,9958
krahets/hello-algo,Java,829097
krahets/hello-algo,C++,763194
krahets/hello-algo,Python,686578
krahets/hello-algo,Swift,397726
krahets/hello-algo,Go,335022
krahets/hello-algo,JavaScript,331801
krahets/hello-algo,Ruby,278570
krahets/hello-algo,CMake,21899
krahets/hello-algo,Dockerfile,3102
macrozheng/mall,Java,2753274
macrozheng/mall,Shell,2324
macrozheng/mall,Dockerfile,369
MisterBooo/LeetCodeAnimation,Java,565397
MisterBooo/LeetCodeAnimation,Python,2384
MisterBooo/LeetCodeAnimation,C++,439
Snailclimb/JavaGuide,Java,6293
Snailclimb/JavaGuide,JavaScript,437
spring-projects/spring-boot,Java,27465470
spring-projects/spring-boot,Kotlin,63585
spring-projects/spring-boot,HTML,41868
spring-projects/spring-boot,JavaScript,33592
spring-projects/spring-boot,Groovy,15026
spring-projects/spring-boot,Shell,11614
spring-projects/spring-boot,Ruby,8590
spring-projects/spring-boot,FreeMarker,3592
spring-projects/spring-boot,Batchfile,2740
spring-projects/spring-boot,Smarty,2737
spring-projects/spring-boot,Mustache,448
spring-projects/spring-boot,Dockerfile,287
spring-projects/spring-boot,Vim Snippet,135
spring-projects/spring-boot,CSS,115
