repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
doocs/advanced-java,2931543361,326,closed,chore(deps-dev): bump vite from 7.1.7 to 7.1.11,dependabot[bot],2025-10-20T23:59:28Z,2025-10-21T23:38:44Z,2025-10-21T23:38:42Z,,,,
doocs/advanced-java,2817742001,324,closed,chore(deps-dev): bump vite from 5.4.18 to 5.4.20,dependabot[bot],2025-09-11T06:11:19Z,2025-09-24T00:15:10Z,2025-09-24T00:15:02Z,,,,
doocs/advanced-java,2476052210,322,closed,chore: update workflow,acbin,2025-04-23T12:23:33Z,2025-04-23T12:24:50Z,2025-04-23T12:24:48Z,2025-04-23T12:24:48Z,,,
doocs/advanced-java,2450567900,319,closed,docs: modify how-eureka-enable-service-discovery-and-service-registration.md,cn-zane,2025-04-10T09:17:23Z,2025-04-10T23:36:11Z,2025-04-10T23:36:11Z,2025-04-10T23:36:11Z,,,
doocs/advanced-java,2355494283,315,closed,docs: update the links in summary.md to relative paths,m79464449p,2025-02-25T05:28:40Z,2025-03-17T06:54:01Z,2025-03-17T06:54:01Z,,,,
doocs/advanced-java,2383409860,316,closed,chore(deps-dev): bump prismjs from 1.29.0 to 1.30.0,dependabot[bot],2025-03-10T22:25:04Z,2025-03-17T06:53:46Z,2025-03-17T06:53:42Z,,,,
doocs/advanced-java,2081640158,312,closed,chore(deps-dev): bump serve-static from 1.15.0 to 1.16.2,dependabot[bot],2024-09-19T18:03:57Z,2025-01-14T00:36:07Z,2025-01-14T00:32:36Z,,,,
doocs/advanced-java,2020664301,310,closed,docs: add a missing link to README.md,Alioth4J,2024-08-15T07:21:26Z,2024-08-15T07:50:52Z,2024-08-15T07:50:52Z,2024-08-15T07:50:52Z,,,
doocs/advanced-java,2002181160,309,closed,docs: correct the solution of using Trie Tree in big-data/find-common-urls.md,DengSchoo,2024-08-03T17:26:30Z,2024-08-07T09:52:33Z,2024-08-07T09:52:33Z,2024-08-07T09:52:33Z,,,
doocs/advanced-java,1985355554,308,closed,Dev,wuyunke,2024-07-24T12:38:11Z,2024-07-24T14:17:30Z,2024-07-24T14:17:30Z,,,,
doocs/advanced-java,1984829520,307,closed,docs: modify database-shard-global-id-generate.md,cn-zane,2024-07-24T08:11:14Z,2024-07-24T08:20:58Z,2024-07-24T08:20:58Z,2024-07-24T08:20:58Z,,,
doocs/advanced-java,1927705636,305,closed,chore(deps-dev): bump braces from 3.0.2 to 3.0.3,dependabot[bot],2024-06-19T03:43:07Z,2024-06-21T10:38:38Z,2024-06-21T10:38:37Z,2024-06-21T10:38:37Z,,,
doocs/advanced-java,1927449544,304,closed,chore(deps-dev): bump ws from 6.2.2 to 6.2.3,dependabot[bot],2024-06-18T23:40:39Z,2024-06-19T03:42:41Z,2024-06-19T03:42:41Z,2024-06-19T03:42:41Z,,,
doocs/advanced-java,1892989456,303,closed,docs: modifying how-to-ensure-the-reliable-transmission-of-messages.md,cn-zane,2024-05-29T04:01:32Z,2024-05-29T04:34:10Z,2024-05-29T04:34:10Z,2024-05-29T04:34:10Z,,,
doocs/advanced-java,1889607803,302,closed,fix: update why-mq.md,cn-zane,2024-05-27T08:03:37Z,2024-05-27T08:12:51Z,2024-05-27T08:12:51Z,2024-05-27T08:12:51Z,,,
doocs/advanced-java,1531542915,292,closed,feat: introduce comment system,yanglbme,2023-09-27T01:57:56Z,2023-09-27T02:33:34Z,2023-09-27T02:28:45Z,2023-09-27T02:28:45Z,,,
doocs/advanced-java,1526584179,291,closed,chore: separate configuration,thinkasany,2023-09-22T13:24:47Z,2023-09-23T02:48:59Z,2023-09-23T02:48:59Z,2023-09-23T02:48:59Z,,,
doocs/advanced-java,1526257795,290,closed,style: code format,thinkasany,2023-09-22T09:30:36Z,2023-09-22T10:27:53Z,2023-09-22T10:27:53Z,2023-09-22T10:27:53Z,,,
doocs/advanced-java,1526163149,289,closed,feat: add last modify time at page site,thinkasany,2023-09-22T08:27:40Z,2023-09-22T09:16:59Z,2023-09-22T09:16:59Z,2023-09-22T09:16:59Z,,,
doocs/advanced-java,1110518505,280,closed,Supplement RocketMQ's message consumption failure scenarios and common solutions,TheBestFlyingPig,2022-11-04T08:26:19Z,2022-12-20T18:03:39Z,2022-11-04T08:34:44Z,2022-11-04T08:34:44Z,,,
doocs/advanced-java,978097847,271,closed,add English notes  for cache,stardustman,2022-06-24T09:15:20Z,2022-06-24T09:20:41Z,2022-06-24T09:20:41Z,2022-06-24T09:20:41Z,,,
doocs/advanced-java,952212605,270,closed,Create prasad,prasadinfotech,2022-05-31T16:58:57Z,2022-06-01T00:50:54Z,2022-06-01T00:50:54Z,,,,
doocs/advanced-java,951052838,269,closed,Fix typo,Oliverwqcwrw,2022-05-30T14:19:27Z,2022-05-30T14:33:44Z,2022-05-30T14:33:44Z,2022-05-30T14:33:44Z,,,
doocs/advanced-java,951001658,268,closed,Update url,Oliverwqcwrw,2022-05-30T13:31:46Z,2022-05-30T13:49:48Z,2022-05-30T13:49:47Z,2022-05-30T13:49:47Z,,,
doocs/advanced-java,950958824,267,closed,Remove redundant word,Oliverwqcwrw,2022-05-30T12:53:47Z,2022-05-30T12:56:31Z,2022-05-30T12:56:31Z,2022-05-30T12:56:31Z,,,
doocs/advanced-java,950571493,266,closed,Fix typo,Oliverwqcwrw,2022-05-30T06:30:49Z,2022-05-30T06:37:19Z,2022-05-30T06:37:18Z,2022-05-30T06:37:18Z,,,
doocs/advanced-java,950274587,265,closed,Fix typo,Oliverwqcwrw,2022-05-29T14:16:51Z,2022-05-29T14:36:36Z,2022-05-29T14:36:36Z,,,,
doocs/advanced-java,949068127,264,closed,feat: use aliyun oss,yanglbme,2022-05-27T08:32:02Z,2022-05-27T08:32:08Z,2022-05-27T08:32:07Z,2022-05-27T08:32:07Z,,,
doocs/advanced-java,944478524,263,closed,chore: change cdn,yanglbme,2022-05-23T13:56:30Z,2022-05-23T13:57:46Z,2022-05-23T13:57:45Z,2022-05-23T13:57:45Z,,,
doocs/advanced-java,924567761,260,closed,位图法这里漏乘了整型的长度,sincof,2022-04-30T03:47:22Z,2022-04-30T06:44:28Z,2022-04-30T06:44:28Z,2022-04-30T06:44:28Z,,,
doocs/advanced-java,905137708,258,closed,docs: fix typo,Frederick-S,2022-04-10T06:56:41Z,2022-04-10T07:01:42Z,2022-04-10T07:01:42Z,2022-04-10T07:01:42Z,,,
doocs/advanced-java,891458735,256,closed,修改错别字,ybd0612,2022-03-28T07:48:32Z,2022-03-28T08:09:55Z,2022-03-28T08:09:54Z,2022-03-28T08:09:54Z,,,
doocs/advanced-java,842546808,250,closed,Update event-driven-data-management-for-microservices.md,Geek-S,2022-02-08T08:41:42Z,2022-02-08T08:57:32Z,2022-02-08T08:57:32Z,2022-02-08T08:57:31Z,,,
doocs/advanced-java,842476831,249,closed,Update sentinel-vs-hystrix.md,Geek-S,2022-02-08T07:01:50Z,2022-02-08T07:13:10Z,2022-02-08T07:13:10Z,2022-02-08T07:13:10Z,,,
doocs/advanced-java,736121722,242,closed,增加图片背景色（页面黑色背景下，透明图片的文字显示不清楚）,Liorocky,2021-09-17T07:10:44Z,2021-09-17T07:25:41Z,2021-09-17T07:16:39Z,2021-09-17T07:16:39Z,,,
doocs/advanced-java,731211030,241,closed,11,DengLeYan,2021-09-10T07:04:30Z,2021-09-10T11:33:38Z,2021-09-10T11:33:38Z,,,,
doocs/advanced-java,714873715,236,closed,Merge pull request #1 from doocs/main,lx-maker,2021-08-18T08:48:17Z,2021-08-18T08:50:11Z,2021-08-18T08:50:11Z,,,,
doocs/advanced-java,696294733,232,closed,docs: update caching penetration content,liukun2634,2021-07-24T05:00:13Z,2021-07-24T07:39:13Z,2021-07-24T06:06:35Z,2021-07-24T06:06:35Z,,,
