repo_full_name,week_unix,total_commits,week_start_iso
NationalSecurityAgency/ghidra,1730592000,44,2024-11-03
NationalSecurityAgency/ghidra,1731196800,58,2024-11-10
NationalSecurityAgency/ghidra,1731801600,55,2024-11-17
NationalSecurityAgency/ghidra,1732406400,28,2024-11-24
NationalSecurityAgency/ghidra,1733011200,83,2024-12-01
NationalSecurityAgency/ghidra,1733616000,40,2024-12-08
NationalSecurityAgency/ghidra,1734220800,73,2024-12-15
NationalSecurityAgency/ghidra,1734825600,14,2024-12-22
NationalSecurityAgency/ghidra,1735430400,48,2024-12-29
NationalSecurityAgency/ghidra,1736035200,55,2025-01-05
NationalSecurityAgency/ghidra,1736640000,44,2025-01-12
NationalSecurityAgency/ghidra,1737244800,66,2025-01-19
NationalSecurityAgency/ghidra,1737849600,59,2025-01-26
NationalSecurityAgency/ghidra,1738454400,60,2025-02-02
NationalSecurityAgency/ghidra,1739059200,57,2025-02-09
NationalSecurityAgency/ghidra,1739664000,35,2025-02-16
NationalSecurityAgency/ghidra,1740268800,39,2025-02-23
NationalSecurityAgency/ghidra,1740873600,88,2025-03-02
NationalSecurityAgency/ghidra,1741478400,35,2025-03-09
NationalSecurityAgency/ghidra,1742083200,50,2025-03-16
NationalSecurityAgency/ghidra,1742688000,92,2025-03-23
NationalSecurityAgency/ghidra,1743292800,66,2025-03-30
NationalSecurityAgency/ghidra,1743897600,65,2025-04-06
NationalSecurityAgency/ghidra,1744502400,43,2025-04-13
NationalSecurityAgency/ghidra,1745107200,40,2025-04-20
NationalSecurityAgency/ghidra,1745712000,35,2025-04-27
NationalSecurityAgency/ghidra,1746316800,52,2025-05-04
NationalSecurityAgency/ghidra,1746921600,90,2025-05-11
NationalSecurityAgency/ghidra,1747526400,72,2025-05-18
NationalSecurityAgency/ghidra,1748131200,48,2025-05-25
NationalSecurityAgency/ghidra,1748736000,39,2025-06-01
NationalSecurityAgency/ghidra,1749340800,52,2025-06-08
NationalSecurityAgency/ghidra,1749945600,30,2025-06-15
NationalSecurityAgency/ghidra,1750550400,16,2025-06-22
NationalSecurityAgency/ghidra,1751155200,52,2025-06-29
NationalSecurityAgency/ghidra,1751760000,43,2025-07-06
NationalSecurityAgency/ghidra,1752364800,53,2025-07-13
NationalSecurityAgency/ghidra,1752969600,54,2025-07-20
NationalSecurityAgency/ghidra,1753574400,70,2025-07-27
NationalSecurityAgency/ghidra,1754179200,26,2025-08-03
NationalSecurityAgency/ghidra,1754784000,23,2025-08-10
NationalSecurityAgency/ghidra,1755388800,65,2025-08-17
NationalSecurityAgency/ghidra,1755993600,66,2025-08-24
NationalSecurityAgency/ghidra,1756598400,29,2025-08-31
NationalSecurityAgency/ghidra,1757203200,59,2025-09-07
NationalSecurityAgency/ghidra,1757808000,54,2025-09-14
NationalSecurityAgency/ghidra,1758412800,52,2025-09-21
NationalSecurityAgency/ghidra,1759017600,47,2025-09-28
NationalSecurityAgency/ghidra,1759622400,17,2025-10-05
NationalSecurityAgency/ghidra,1760227200,32,2025-10-12
NationalSecurityAgency/ghidra,1760832000,23,2025-10-19
NationalSecurityAgency/ghidra,1761436800,15,2025-10-26
