repo_full_name,week_unix,total_commits,week_start_iso
Snailclimb/JavaGuide,1730592000,5,2024-11-03
Snailclimb/JavaGuide,1731196800,3,2024-11-10
Snailclimb/JavaGuide,1731801600,6,2024-11-17
Snailclimb/JavaGuide,1732406400,8,2024-11-24
Snailclimb/JavaGuide,1733011200,2,2024-12-01
Snailclimb/JavaGuide,1733616000,12,2024-12-08
Snailclimb/JavaGuide,1734220800,11,2024-12-15
Snailclimb/JavaGuide,1734825600,14,2024-12-22
Snailclimb/JavaGuide,1735430400,13,2024-12-29
Snailclimb/JavaGuide,1736035200,2,2025-01-05
Snailclimb/JavaGuide,1736640000,3,2025-01-12
Snailclimb/JavaGuide,1737244800,4,2025-01-19
Snailclimb/JavaGuide,1737849600,2,2025-01-26
Snailclimb/JavaGuide,1738454400,1,2025-02-02
Snailclimb/JavaGuide,1739059200,12,2025-02-09
Snailclimb/JavaGuide,1739664000,8,2025-02-16
Snailclimb/JavaGuide,1740268800,10,2025-02-23
Snailclimb/JavaGuide,1740873600,5,2025-03-02
Snailclimb/JavaGuide,1741478400,4,2025-03-09
Snailclimb/JavaGuide,1742083200,4,2025-03-16
Snailclimb/JavaGuide,1742688000,6,2025-03-23
Snailclimb/JavaGuide,1743292800,1,2025-03-30
Snailclimb/JavaGuide,1743897600,2,2025-04-06
Snailclimb/JavaGuide,1744502400,2,2025-04-13
Snailclimb/JavaGuide,1745107200,4,2025-04-20
Snailclimb/JavaGuide,1745712000,1,2025-04-27
Snailclimb/JavaGuide,1746316800,2,2025-05-04
Snailclimb/JavaGuide,1746921600,9,2025-05-11
Snailclimb/JavaGuide,1747526400,1,2025-05-18
Snailclimb/JavaGuide,1748131200,2,2025-05-25
Snailclimb/JavaGuide,1748736000,2,2025-06-01
Snailclimb/JavaGuide,1749340800,1,2025-06-08
Snailclimb/JavaGuide,1749945600,3,2025-06-15
Snailclimb/JavaGuide,1750550400,1,2025-06-22
Snailclimb/JavaGuide,1751155200,6,2025-06-29
Snailclimb/JavaGuide,1751760000,0,2025-07-06
Snailclimb/JavaGuide,1752364800,1,2025-07-13
Snailclimb/JavaGuide,1752969600,2,2025-07-20
Snailclimb/JavaGuide,1753574400,1,2025-07-27
Snailclimb/JavaGuide,1754179200,5,2025-08-03
Snailclimb/JavaGuide,1754784000,1,2025-08-10
Snailclimb/JavaGuide,1755388800,2,2025-08-17
Snailclimb/JavaGuide,1755993600,7,2025-08-24
Snailclimb/JavaGuide,1756598400,3,2025-08-31
Snailclimb/JavaGuide,1757203200,2,2025-09-07
Snailclimb/JavaGuide,1757808000,2,2025-09-14
Snailclimb/JavaGuide,1758412800,0,2025-09-21
Snailclimb/JavaGuide,1759017600,0,2025-09-28
Snailclimb/JavaGuide,1759622400,0,2025-10-05
Snailclimb/JavaGuide,1760227200,2,2025-10-12
Snailclimb/JavaGuide,1760832000,2,2025-10-19
Snailclimb/JavaGuide,1761436800,4,2025-10-26
