repo_full_name,week_unix,total_commits,week_start_iso
TheAlgorithms/Java,1730592000,3,2024-11-03
TheAlgorithms/Java,1731196800,3,2024-11-10
TheAlgorithms/Java,1731801600,1,2024-11-17
TheAlgorithms/Java,1732406400,0,2024-11-24
TheAlgorithms/Java,1733011200,2,2024-12-01
TheAlgorithms/Java,1733616000,1,2024-12-08
TheAlgorithms/Java,1734220800,7,2024-12-15
TheAlgorithms/Java,1734825600,0,2024-12-22
TheAlgorithms/Java,1735430400,4,2024-12-29
TheAlgorithms/Java,1736035200,3,2025-01-05
TheAlgorithms/Java,1736640000,7,2025-01-12
TheAlgorithms/Java,1737244800,3,2025-01-19
TheAlgorithms/Java,1737849600,4,2025-01-26
TheAlgorithms/Java,1738454400,0,2025-02-02
TheAlgorithms/Java,1739059200,2,2025-02-09
TheAlgorithms/Java,1739664000,6,2025-02-16
TheAlgorithms/Java,1740268800,4,2025-02-23
TheAlgorithms/Java,1740873600,3,2025-03-02
TheAlgorithms/Java,1741478400,4,2025-03-09
TheAlgorithms/Java,1742083200,3,2025-03-16
TheAlgorithms/Java,1742688000,0,2025-03-23
TheAlgorithms/Java,1743292800,9,2025-03-30
TheAlgorithms/Java,1743897600,2,2025-04-06
TheAlgorithms/Java,1744502400,2,2025-04-13
TheAlgorithms/Java,1745107200,2,2025-04-20
TheAlgorithms/Java,1745712000,1,2025-04-27
TheAlgorithms/Java,1746316800,4,2025-05-04
TheAlgorithms/Java,1746921600,0,2025-05-11
TheAlgorithms/Java,1747526400,2,2025-05-18
TheAlgorithms/Java,1748131200,1,2025-05-25
TheAlgorithms/Java,1748736000,11,2025-06-01
TheAlgorithms/Java,1749340800,7,2025-06-08
TheAlgorithms/Java,1749945600,3,2025-06-15
TheAlgorithms/Java,1750550400,8,2025-06-22
TheAlgorithms/Java,1751155200,17,2025-06-29
TheAlgorithms/Java,1751760000,18,2025-07-06
TheAlgorithms/Java,1752364800,27,2025-07-13
TheAlgorithms/Java,1752969600,31,2025-07-20
TheAlgorithms/Java,1753574400,3,2025-07-27
TheAlgorithms/Java,1754179200,2,2025-08-03
TheAlgorithms/Java,1754784000,6,2025-08-10
TheAlgorithms/Java,1755388800,5,2025-08-17
TheAlgorithms/Java,1755993600,3,2025-08-24
TheAlgorithms/Java,1756598400,6,2025-08-31
TheAlgorithms/Java,1757203200,2,2025-09-07
TheAlgorithms/Java,1757808000,6,2025-09-14
TheAlgorithms/Java,1758412800,6,2025-09-21
TheAlgorithms/Java,1759017600,17,2025-09-28
TheAlgorithms/Java,1759622400,25,2025-10-05
TheAlgorithms/Java,1760227200,34,2025-10-12
TheAlgorithms/Java,1760832000,10,2025-10-19
TheAlgorithms/Java,1761436800,11,2025-10-26
