repo_full_name,week_unix,total_commits,week_start_iso
alibaba/arthas,1730592000,0,2024-11-03
alibaba/arthas,1731196800,8,2024-11-10
alibaba/arthas,1731801600,8,2024-11-17
alibaba/arthas,1732406400,3,2024-11-24
alibaba/arthas,1733011200,1,2024-12-01
alibaba/arthas,1733616000,0,2024-12-08
alibaba/arthas,1734220800,0,2024-12-15
alibaba/arthas,1734825600,0,2024-12-22
alibaba/arthas,1735430400,0,2024-12-29
alibaba/arthas,1736035200,0,2025-01-05
alibaba/arthas,1736640000,0,2025-01-12
alibaba/arthas,1737244800,1,2025-01-19
alibaba/arthas,1737849600,0,2025-01-26
alibaba/arthas,1738454400,0,2025-02-02
alibaba/arthas,1739059200,2,2025-02-09
alibaba/arthas,1739664000,0,2025-02-16
alibaba/arthas,1740268800,0,2025-02-23
alibaba/arthas,1740873600,0,2025-03-02
alibaba/arthas,1741478400,10,2025-03-09
alibaba/arthas,1742083200,1,2025-03-16
alibaba/arthas,1742688000,4,2025-03-23
alibaba/arthas,1743292800,0,2025-03-30
alibaba/arthas,1743897600,2,2025-04-06
alibaba/arthas,1744502400,2,2025-04-13
alibaba/arthas,1745107200,0,2025-04-20
alibaba/arthas,1745712000,0,2025-04-27
alibaba/arthas,1746316800,0,2025-05-04
alibaba/arthas,1746921600,1,2025-05-11
alibaba/arthas,1747526400,0,2025-05-18
alibaba/arthas,1748131200,0,2025-05-25
alibaba/arthas,1748736000,0,2025-06-01
alibaba/arthas,1749340800,0,2025-06-08
alibaba/arthas,1749945600,0,2025-06-15
alibaba/arthas,1750550400,0,2025-06-22
alibaba/arthas,1751155200,0,2025-06-29
alibaba/arthas,1751760000,0,2025-07-06
alibaba/arthas,1752364800,1,2025-07-13
alibaba/arthas,1752969600,0,2025-07-20
alibaba/arthas,1753574400,8,2025-07-27
alibaba/arthas,1754179200,0,2025-08-03
alibaba/arthas,1754784000,0,2025-08-10
alibaba/arthas,1755388800,0,2025-08-17
alibaba/arthas,1755993600,1,2025-08-24
alibaba/arthas,1756598400,0,2025-08-31
alibaba/arthas,1757203200,4,2025-09-07
alibaba/arthas,1757808000,1,2025-09-14
alibaba/arthas,1758412800,2,2025-09-21
alibaba/arthas,1759017600,0,2025-09-28
alibaba/arthas,1759622400,5,2025-10-05
alibaba/arthas,1760227200,6,2025-10-12
alibaba/arthas,1760832000,2,2025-10-19
alibaba/arthas,1761436800,0,2025-10-26
