repo_full_name,week_unix,total_commits,week_start_iso
apache/dubbo,1730592000,11,2024-11-03
apache/dubbo,1731196800,10,2024-11-10
apache/dubbo,1731801600,22,2024-11-17
apache/dubbo,1732406400,10,2024-11-24
apache/dubbo,1733011200,7,2024-12-01
apache/dubbo,1733616000,5,2024-12-08
apache/dubbo,1734220800,0,2024-12-15
apache/dubbo,1734825600,2,2024-12-22
apache/dubbo,1735430400,14,2024-12-29
apache/dubbo,1736035200,18,2025-01-05
apache/dubbo,1736640000,2,2025-01-12
apache/dubbo,1737244800,2,2025-01-19
apache/dubbo,1737849600,19,2025-01-26
apache/dubbo,1738454400,11,2025-02-02
apache/dubbo,1739059200,12,2025-02-09
apache/dubbo,1739664000,16,2025-02-16
apache/dubbo,1740268800,10,2025-02-23
apache/dubbo,1740873600,19,2025-03-02
apache/dubbo,1741478400,12,2025-03-09
apache/dubbo,1742083200,14,2025-03-16
apache/dubbo,1742688000,6,2025-03-23
apache/dubbo,1743292800,4,2025-03-30
apache/dubbo,1743897600,7,2025-04-06
apache/dubbo,1744502400,0,2025-04-13
apache/dubbo,1745107200,3,2025-04-20
apache/dubbo,1745712000,0,2025-04-27
apache/dubbo,1746316800,26,2025-05-04
apache/dubbo,1746921600,11,2025-05-11
apache/dubbo,1747526400,1,2025-05-18
apache/dubbo,1748131200,12,2025-05-25
apache/dubbo,1748736000,5,2025-06-01
apache/dubbo,1749340800,6,2025-06-08
apache/dubbo,1749945600,8,2025-06-15
apache/dubbo,1750550400,30,2025-06-22
apache/dubbo,1751155200,2,2025-06-29
apache/dubbo,1751760000,7,2025-07-06
apache/dubbo,1752364800,6,2025-07-13
apache/dubbo,1752969600,13,2025-07-20
apache/dubbo,1753574400,6,2025-07-27
apache/dubbo,1754179200,3,2025-08-03
apache/dubbo,1754784000,1,2025-08-10
apache/dubbo,1755388800,1,2025-08-17
apache/dubbo,1755993600,1,2025-08-24
apache/dubbo,1756598400,3,2025-08-31
apache/dubbo,1757203200,2,2025-09-07
apache/dubbo,1757808000,5,2025-09-14
apache/dubbo,1758412800,5,2025-09-21
apache/dubbo,1759017600,0,2025-09-28
apache/dubbo,1759622400,0,2025-10-05
apache/dubbo,1760227200,6,2025-10-12
apache/dubbo,1760832000,3,2025-10-19
apache/dubbo,1761436800,1,2025-10-26
