repo_full_name,week_unix,total_commits,week_start_iso
dbeaver/dbeaver,1730592000,45,2024-11-03
dbeaver/dbeaver,1731196800,31,2024-11-10
dbeaver/dbeaver,1731801600,56,2024-11-17
dbeaver/dbeaver,1732406400,14,2024-11-24
dbeaver/dbeaver,1733011200,15,2024-12-01
dbeaver/dbeaver,1733616000,64,2024-12-08
dbeaver/dbeaver,1734220800,38,2024-12-15
dbeaver/dbeaver,1734825600,46,2024-12-22
dbeaver/dbeaver,1735430400,16,2024-12-29
dbeaver/dbeaver,1736035200,32,2025-01-05
dbeaver/dbeaver,1736640000,50,2025-01-12
dbeaver/dbeaver,1737244800,61,2025-01-19
dbeaver/dbeaver,1737849600,56,2025-01-26
dbeaver/dbeaver,1738454400,91,2025-02-02
dbeaver/dbeaver,1739059200,64,2025-02-09
dbeaver/dbeaver,1739664000,76,2025-02-16
dbeaver/dbeaver,1740268800,37,2025-02-23
dbeaver/dbeaver,1740873600,18,2025-03-02
dbeaver/dbeaver,1741478400,66,2025-03-09
dbeaver/dbeaver,1742083200,27,2025-03-16
dbeaver/dbeaver,1742688000,29,2025-03-23
dbeaver/dbeaver,1743292800,12,2025-03-30
dbeaver/dbeaver,1743897600,19,2025-04-06
dbeaver/dbeaver,1744502400,42,2025-04-13
dbeaver/dbeaver,1745107200,42,2025-04-20
dbeaver/dbeaver,1745712000,24,2025-04-27
dbeaver/dbeaver,1746316800,45,2025-05-04
dbeaver/dbeaver,1746921600,51,2025-05-11
dbeaver/dbeaver,1747526400,46,2025-05-18
dbeaver/dbeaver,1748131200,52,2025-05-25
dbeaver/dbeaver,1748736000,28,2025-06-01
dbeaver/dbeaver,1749340800,55,2025-06-08
dbeaver/dbeaver,1749945600,57,2025-06-15
dbeaver/dbeaver,1750550400,46,2025-06-22
dbeaver/dbeaver,1751155200,44,2025-06-29
dbeaver/dbeaver,1751760000,35,2025-07-06
dbeaver/dbeaver,1752364800,50,2025-07-13
dbeaver/dbeaver,1752969600,40,2025-07-20
dbeaver/dbeaver,1753574400,42,2025-07-27
dbeaver/dbeaver,1754179200,76,2025-08-03
dbeaver/dbeaver,1754784000,52,2025-08-10
dbeaver/dbeaver,1755388800,109,2025-08-17
dbeaver/dbeaver,1755993600,15,2025-08-24
dbeaver/dbeaver,1756598400,21,2025-08-31
dbeaver/dbeaver,1757203200,68,2025-09-07
dbeaver/dbeaver,1757808000,61,2025-09-14
dbeaver/dbeaver,1758412800,52,2025-09-21
dbeaver/dbeaver,1759017600,59,2025-09-28
dbeaver/dbeaver,1759622400,37,2025-10-05
dbeaver/dbeaver,1760227200,39,2025-10-12
dbeaver/dbeaver,1760832000,54,2025-10-19
dbeaver/dbeaver,1761436800,30,2025-10-26
