repo_full_name,week_unix,total_commits,week_start_iso
elastic/elasticsearch,1730592000,217,2024-11-03
elastic/elasticsearch,1731196800,161,2024-11-10
elastic/elasticsearch,1731801600,253,2024-11-17
elastic/elasticsearch,1732406400,172,2024-11-24
elastic/elasticsearch,1733011200,197,2024-12-01
elastic/elasticsearch,1733616000,247,2024-12-08
elastic/elasticsearch,1734220800,211,2024-12-15
elastic/elasticsearch,1734825600,80,2024-12-22
elastic/elasticsearch,1735430400,89,2024-12-29
elastic/elasticsearch,1736035200,246,2025-01-05
elastic/elasticsearch,1736640000,204,2025-01-12
elastic/elasticsearch,1737244800,219,2025-01-19
elastic/elasticsearch,1737849600,333,2025-01-26
elastic/elasticsearch,1738454400,231,2025-02-02
elastic/elasticsearch,1739059200,225,2025-02-09
elastic/elasticsearch,1739664000,224,2025-02-16
elastic/elasticsearch,1740268800,183,2025-02-23
elastic/elasticsearch,1740873600,211,2025-03-02
elastic/elasticsearch,1741478400,182,2025-03-09
elastic/elasticsearch,1742083200,168,2025-03-16
elastic/elasticsearch,1742688000,163,2025-03-23
elastic/elasticsearch,1743292800,199,2025-03-30
elastic/elasticsearch,1743897600,176,2025-04-06
elastic/elasticsearch,1744502400,167,2025-04-13
elastic/elasticsearch,1745107200,157,2025-04-20
elastic/elasticsearch,1745712000,114,2025-04-27
elastic/elasticsearch,1746316800,163,2025-05-04
elastic/elasticsearch,1746921600,35,2025-05-11
elastic/elasticsearch,1747526400,133,2025-05-18
elastic/elasticsearch,1748131200,126,2025-05-25
elastic/elasticsearch,1748736000,181,2025-06-01
elastic/elasticsearch,1749340800,219,2025-06-08
elastic/elasticsearch,1749945600,228,2025-06-15
elastic/elasticsearch,1750550400,216,2025-06-22
elastic/elasticsearch,1751155200,186,2025-06-29
elastic/elasticsearch,1751760000,184,2025-07-06
elastic/elasticsearch,1752364800,181,2025-07-13
elastic/elasticsearch,1752969600,148,2025-07-20
elastic/elasticsearch,1753574400,233,2025-07-27
elastic/elasticsearch,1754179200,113,2025-08-03
elastic/elasticsearch,1754784000,198,2025-08-10
elastic/elasticsearch,1755388800,215,2025-08-17
elastic/elasticsearch,1755993600,249,2025-08-24
elastic/elasticsearch,1756598400,198,2025-08-31
elastic/elasticsearch,1757203200,220,2025-09-07
elastic/elasticsearch,1757808000,262,2025-09-14
elastic/elasticsearch,1758412800,303,2025-09-21
elastic/elasticsearch,1759017600,249,2025-09-28
elastic/elasticsearch,1759622400,239,2025-10-05
elastic/elasticsearch,1760227200,173,2025-10-12
elastic/elasticsearch,1760832000,206,2025-10-19
elastic/elasticsearch,1761436800,77,2025-10-26
