repo_full_name,week_unix,total_commits,week_start_iso
eugenp/tutorials,1730592000,45,2024-11-03
eugenp/tutorials,1731196800,47,2024-11-10
eugenp/tutorials,1731801600,63,2024-11-17
eugenp/tutorials,1732406400,38,2024-11-24
eugenp/tutorials,1733011200,34,2024-12-01
eugenp/tutorials,1733616000,30,2024-12-08
eugenp/tutorials,1734220800,29,2024-12-15
eugenp/tutorials,1734825600,22,2024-12-22
eugenp/tutorials,1735430400,27,2024-12-29
eugenp/tutorials,1736035200,53,2025-01-05
eugenp/tutorials,1736640000,104,2025-01-12
eugenp/tutorials,1737244800,34,2025-01-19
eugenp/tutorials,1737849600,45,2025-01-26
eugenp/tutorials,1738454400,70,2025-02-02
eugenp/tutorials,1739059200,30,2025-02-09
eugenp/tutorials,1739664000,41,2025-02-16
eugenp/tutorials,1740268800,37,2025-02-23
eugenp/tutorials,1740873600,33,2025-03-02
eugenp/tutorials,1741478400,32,2025-03-09
eugenp/tutorials,1742083200,39,2025-03-16
eugenp/tutorials,1742688000,26,2025-03-23
eugenp/tutorials,1743292800,22,2025-03-30
eugenp/tutorials,1743897600,29,2025-04-06
eugenp/tutorials,1744502400,32,2025-04-13
eugenp/tutorials,1745107200,29,2025-04-20
eugenp/tutorials,1745712000,23,2025-04-27
eugenp/tutorials,1746316800,21,2025-05-04
eugenp/tutorials,1746921600,30,2025-05-11
eugenp/tutorials,1747526400,38,2025-05-18
eugenp/tutorials,1748131200,33,2025-05-25
eugenp/tutorials,1748736000,32,2025-06-01
eugenp/tutorials,1749340800,23,2025-06-08
eugenp/tutorials,1749945600,25,2025-06-15
eugenp/tutorials,1750550400,21,2025-06-22
eugenp/tutorials,1751155200,21,2025-06-29
eugenp/tutorials,1751760000,17,2025-07-06
eugenp/tutorials,1752364800,25,2025-07-13
eugenp/tutorials,1752969600,39,2025-07-20
eugenp/tutorials,1753574400,33,2025-07-27
eugenp/tutorials,1754179200,40,2025-08-03
eugenp/tutorials,1754784000,27,2025-08-10
eugenp/tutorials,1755388800,22,2025-08-17
eugenp/tutorials,1755993600,29,2025-08-24
eugenp/tutorials,1756598400,21,2025-08-31
eugenp/tutorials,1757203200,19,2025-09-07
eugenp/tutorials,1757808000,37,2025-09-14
eugenp/tutorials,1758412800,49,2025-09-21
eugenp/tutorials,1759017600,31,2025-09-28
eugenp/tutorials,1759622400,20,2025-10-05
eugenp/tutorials,1760227200,16,2025-10-12
eugenp/tutorials,1760832000,20,2025-10-19
eugenp/tutorials,1761436800,4,2025-10-26
