repo_full_name,week_unix,total_commits,week_start_iso
google/guava,1730592000,0,2024-11-03
google/guava,1731196800,7,2024-11-10
google/guava,1731801600,5,2024-11-17
google/guava,1732406400,5,2024-11-24
google/guava,1733011200,3,2024-12-01
google/guava,1733616000,9,2024-12-08
google/guava,1734220800,20,2024-12-15
google/guava,1734825600,7,2024-12-22
google/guava,1735430400,15,2024-12-29
google/guava,1736035200,11,2025-01-05
google/guava,1736640000,9,2025-01-12
google/guava,1737244800,6,2025-01-19
google/guava,1737849600,5,2025-01-26
google/guava,1738454400,7,2025-02-02
google/guava,1739059200,26,2025-02-09
google/guava,1739664000,14,2025-02-16
google/guava,1740268800,11,2025-02-23
google/guava,1740873600,4,2025-03-02
google/guava,1741478400,4,2025-03-09
google/guava,1742083200,13,2025-03-16
google/guava,1742688000,9,2025-03-23
google/guava,1743292800,13,2025-03-30
google/guava,1743897600,12,2025-04-06
google/guava,1744502400,9,2025-04-13
google/guava,1745107200,2,2025-04-20
google/guava,1745712000,3,2025-04-27
google/guava,1746316800,3,2025-05-04
google/guava,1746921600,9,2025-05-11
google/guava,1747526400,5,2025-05-18
google/guava,1748131200,3,2025-05-25
google/guava,1748736000,7,2025-06-01
google/guava,1749340800,3,2025-06-08
google/guava,1749945600,6,2025-06-15
google/guava,1750550400,1,2025-06-22
google/guava,1751155200,10,2025-06-29
google/guava,1751760000,9,2025-07-06
google/guava,1752364800,11,2025-07-13
google/guava,1752969600,18,2025-07-20
google/guava,1753574400,6,2025-07-27
google/guava,1754179200,14,2025-08-03
google/guava,1754784000,12,2025-08-10
google/guava,1755388800,0,2025-08-17
google/guava,1755993600,4,2025-08-24
google/guava,1756598400,9,2025-08-31
google/guava,1757203200,8,2025-09-07
google/guava,1757808000,13,2025-09-14
google/guava,1758412800,16,2025-09-21
google/guava,1759017600,15,2025-09-28
google/guava,1759622400,12,2025-10-05
google/guava,1760227200,1,2025-10-12
google/guava,1760832000,2,2025-10-19
google/guava,1761436800,4,2025-10-26
