repo_full_name,week_unix,total_commits,week_start_iso
jeecgboot/JeecgBoot,1730592000,0,2024-11-03
jeecgboot/JeecgBoot,1731196800,6,2024-11-10
jeecgboot/JeecgBoot,1731801600,1,2024-11-17
jeecgboot/JeecgBoot,1732406400,3,2024-11-24
jeecgboot/JeecgBoot,1733011200,4,2024-12-01
jeecgboot/JeecgBoot,1733616000,9,2024-12-08
jeecgboot/JeecgBoot,1734220800,5,2024-12-15
jeecgboot/JeecgBoot,1734825600,3,2024-12-22
jeecgboot/JeecgBoot,1735430400,1,2024-12-29
jeecgboot/JeecgBoot,1736035200,6,2025-01-05
jeecgboot/JeecgBoot,1736640000,12,2025-01-12
jeecgboot/JeecgBoot,1737244800,7,2025-01-19
jeecgboot/JeecgBoot,1737849600,1,2025-01-26
jeecgboot/JeecgBoot,1738454400,19,2025-02-02
jeecgboot/JeecgBoot,1739059200,13,2025-02-09
jeecgboot/JeecgBoot,1739664000,6,2025-02-16
jeecgboot/JeecgBoot,1740268800,5,2025-02-23
jeecgboot/JeecgBoot,1740873600,9,2025-03-02
jeecgboot/JeecgBoot,1741478400,4,2025-03-09
jeecgboot/JeecgBoot,1742083200,8,2025-03-16
jeecgboot/JeecgBoot,1742688000,16,2025-03-23
jeecgboot/JeecgBoot,1743292800,34,2025-03-30
jeecgboot/JeecgBoot,1743897600,27,2025-04-06
jeecgboot/JeecgBoot,1744502400,34,2025-04-13
jeecgboot/JeecgBoot,1745107200,19,2025-04-20
jeecgboot/JeecgBoot,1745712000,8,2025-04-27
jeecgboot/JeecgBoot,1746316800,12,2025-05-04
jeecgboot/JeecgBoot,1746921600,14,2025-05-11
jeecgboot/JeecgBoot,1747526400,12,2025-05-18
jeecgboot/JeecgBoot,1748131200,13,2025-05-25
jeecgboot/JeecgBoot,1748736000,9,2025-06-01
jeecgboot/JeecgBoot,1749340800,7,2025-06-08
jeecgboot/JeecgBoot,1749945600,1,2025-06-15
jeecgboot/JeecgBoot,1750550400,16,2025-06-22
jeecgboot/JeecgBoot,1751155200,32,2025-06-29
jeecgboot/JeecgBoot,1751760000,10,2025-07-06
jeecgboot/JeecgBoot,1752364800,5,2025-07-13
jeecgboot/JeecgBoot,1752969600,6,2025-07-20
jeecgboot/JeecgBoot,1753574400,26,2025-07-27
jeecgboot/JeecgBoot,1754179200,26,2025-08-03
jeecgboot/JeecgBoot,1754784000,23,2025-08-10
jeecgboot/JeecgBoot,1755388800,23,2025-08-17
jeecgboot/JeecgBoot,1755993600,2,2025-08-24
jeecgboot/JeecgBoot,1756598400,12,2025-08-31
jeecgboot/JeecgBoot,1757203200,1,2025-09-07
jeecgboot/JeecgBoot,1757808000,38,2025-09-14
jeecgboot/JeecgBoot,1758412800,13,2025-09-21
jeecgboot/JeecgBoot,1759017600,6,2025-09-28
jeecgboot/JeecgBoot,1759622400,5,2025-10-05
jeecgboot/JeecgBoot,1760227200,12,2025-10-12
jeecgboot/JeecgBoot,1760832000,1,2025-10-19
jeecgboot/JeecgBoot,1761436800,2,2025-10-26
