repo_full_name,week_unix,total_commits,week_start_iso
macrozheng/mall,1730592000,0,2024-11-03
macrozheng/mall,1731196800,0,2024-11-10
macrozheng/mall,1731801600,1,2024-11-17
macrozheng/mall,1732406400,1,2024-11-24
macrozheng/mall,1733011200,0,2024-12-01
macrozheng/mall,1733616000,1,2024-12-08
macrozheng/mall,1734220800,0,2024-12-15
macrozheng/mall,1734825600,1,2024-12-22
macrozheng/mall,1735430400,1,2024-12-29
macrozheng/mall,1736035200,0,2025-01-05
macrozheng/mall,1736640000,2,2025-01-12
macrozheng/mall,1737244800,0,2025-01-19
macrozheng/mall,1737849600,0,2025-01-26
macrozheng/mall,1738454400,0,2025-02-02
macrozheng/mall,1739059200,1,2025-02-09
macrozheng/mall,1739664000,1,2025-02-16
macrozheng/mall,1740268800,1,2025-02-23
macrozheng/mall,1740873600,0,2025-03-02
macrozheng/mall,1741478400,1,2025-03-09
macrozheng/mall,1742083200,1,2025-03-16
macrozheng/mall,1742688000,1,2025-03-23
macrozheng/mall,1743292800,1,2025-03-30
macrozheng/mall,1743897600,1,2025-04-06
macrozheng/mall,1744502400,1,2025-04-13
macrozheng/mall,1745107200,0,2025-04-20
macrozheng/mall,1745712000,0,2025-04-27
macrozheng/mall,1746316800,0,2025-05-04
macrozheng/mall,1746921600,1,2025-05-11
macrozheng/mall,1747526400,1,2025-05-18
macrozheng/mall,1748131200,0,2025-05-25
macrozheng/mall,1748736000,0,2025-06-01
macrozheng/mall,1749340800,1,2025-06-08
macrozheng/mall,1749945600,1,2025-06-15
macrozheng/mall,1750550400,0,2025-06-22
macrozheng/mall,1751155200,1,2025-06-29
macrozheng/mall,1751760000,0,2025-07-06
macrozheng/mall,1752364800,0,2025-07-13
macrozheng/mall,1752969600,1,2025-07-20
macrozheng/mall,1753574400,0,2025-07-27
macrozheng/mall,1754179200,0,2025-08-03
macrozheng/mall,1754784000,1,2025-08-10
macrozheng/mall,1755388800,0,2025-08-17
macrozheng/mall,1755993600,0,2025-08-24
macrozheng/mall,1756598400,1,2025-08-31
macrozheng/mall,1757203200,0,2025-09-07
macrozheng/mall,1757808000,0,2025-09-14
macrozheng/mall,1758412800,0,2025-09-21
macrozheng/mall,1759017600,1,2025-09-28
macrozheng/mall,1759622400,0,2025-10-05
macrozheng/mall,1760227200,1,2025-10-12
macrozheng/mall,1760832000,0,2025-10-19
macrozheng/mall,1761436800,0,2025-10-26
