repo_full_name,week_unix,total_commits,week_start_iso
skylot/jadx,1730592000,5,2024-11-03
skylot/jadx,1731196800,10,2024-11-10
skylot/jadx,1731801600,0,2024-11-17
skylot/jadx,1732406400,3,2024-11-24
skylot/jadx,1733011200,1,2024-12-01
skylot/jadx,1733616000,6,2024-12-08
skylot/jadx,1734220800,10,2024-12-15
skylot/jadx,1734825600,6,2024-12-22
skylot/jadx,1735430400,3,2024-12-29
skylot/jadx,1736035200,1,2025-01-05
skylot/jadx,1736640000,2,2025-01-12
skylot/jadx,1737244800,7,2025-01-19
skylot/jadx,1737849600,3,2025-01-26
skylot/jadx,1738454400,5,2025-02-02
skylot/jadx,1739059200,4,2025-02-09
skylot/jadx,1739664000,5,2025-02-16
skylot/jadx,1740268800,1,2025-02-23
skylot/jadx,1740873600,2,2025-03-02
skylot/jadx,1741478400,3,2025-03-09
skylot/jadx,1742083200,6,2025-03-16
skylot/jadx,1742688000,6,2025-03-23
skylot/jadx,1743292800,1,2025-03-30
skylot/jadx,1743897600,0,2025-04-06
skylot/jadx,1744502400,7,2025-04-13
skylot/jadx,1745107200,1,2025-04-20
skylot/jadx,1745712000,9,2025-04-27
skylot/jadx,1746316800,3,2025-05-04
skylot/jadx,1746921600,8,2025-05-11
skylot/jadx,1747526400,17,2025-05-18
skylot/jadx,1748131200,10,2025-05-25
skylot/jadx,1748736000,8,2025-06-01
skylot/jadx,1749340800,2,2025-06-08
skylot/jadx,1749945600,5,2025-06-15
skylot/jadx,1750550400,2,2025-06-22
skylot/jadx,1751155200,4,2025-06-29
skylot/jadx,1751760000,2,2025-07-06
skylot/jadx,1752364800,4,2025-07-13
skylot/jadx,1752969600,3,2025-07-20
skylot/jadx,1753574400,0,2025-07-27
skylot/jadx,1754179200,2,2025-08-03
skylot/jadx,1754784000,2,2025-08-10
skylot/jadx,1755388800,0,2025-08-17
skylot/jadx,1755993600,1,2025-08-24
skylot/jadx,1756598400,0,2025-08-31
skylot/jadx,1757203200,3,2025-09-07
skylot/jadx,1757808000,2,2025-09-14
skylot/jadx,1758412800,4,2025-09-21
skylot/jadx,1759017600,3,2025-09-28
skylot/jadx,1759622400,1,2025-10-05
skylot/jadx,1760227200,6,2025-10-12
skylot/jadx,1760832000,7,2025-10-19
skylot/jadx,1761436800,3,2025-10-26
