repo_full_name,week_unix,total_commits,week_start_iso
spring-projects/spring-framework,1730592000,36,2024-11-03
spring-projects/spring-framework,1731196800,63,2024-11-10
spring-projects/spring-framework,1731801600,52,2024-11-17
spring-projects/spring-framework,1732406400,41,2024-11-24
spring-projects/spring-framework,1733011200,48,2024-12-01
spring-projects/spring-framework,1733616000,79,2024-12-08
spring-projects/spring-framework,1734220800,35,2024-12-15
spring-projects/spring-framework,1734825600,44,2024-12-22
spring-projects/spring-framework,1735430400,35,2024-12-29
spring-projects/spring-framework,1736035200,64,2025-01-05
spring-projects/spring-framework,1736640000,95,2025-01-12
spring-projects/spring-framework,1737244800,45,2025-01-19
spring-projects/spring-framework,1737849600,32,2025-01-26
spring-projects/spring-framework,1738454400,58,2025-02-02
spring-projects/spring-framework,1739059200,77,2025-02-09
spring-projects/spring-framework,1739664000,36,2025-02-16
spring-projects/spring-framework,1740268800,45,2025-02-23
spring-projects/spring-framework,1740873600,56,2025-03-02
spring-projects/spring-framework,1741478400,49,2025-03-09
spring-projects/spring-framework,1742083200,52,2025-03-16
spring-projects/spring-framework,1742688000,51,2025-03-23
spring-projects/spring-framework,1743292800,69,2025-03-30
spring-projects/spring-framework,1743897600,40,2025-04-06
spring-projects/spring-framework,1744502400,36,2025-04-13
spring-projects/spring-framework,1745107200,45,2025-04-20
spring-projects/spring-framework,1745712000,37,2025-04-27
spring-projects/spring-framework,1746316800,43,2025-05-04
spring-projects/spring-framework,1746921600,60,2025-05-11
spring-projects/spring-framework,1747526400,27,2025-05-18
spring-projects/spring-framework,1748131200,50,2025-05-25
spring-projects/spring-framework,1748736000,71,2025-06-01
spring-projects/spring-framework,1749340800,59,2025-06-08
spring-projects/spring-framework,1749945600,46,2025-06-15
spring-projects/spring-framework,1750550400,62,2025-06-22
spring-projects/spring-framework,1751155200,70,2025-06-29
spring-projects/spring-framework,1751760000,58,2025-07-06
spring-projects/spring-framework,1752364800,37,2025-07-13
spring-projects/spring-framework,1752969600,21,2025-07-20
spring-projects/spring-framework,1753574400,39,2025-07-27
spring-projects/spring-framework,1754179200,19,2025-08-03
spring-projects/spring-framework,1754784000,38,2025-08-10
spring-projects/spring-framework,1755388800,42,2025-08-17
spring-projects/spring-framework,1755993600,27,2025-08-24
spring-projects/spring-framework,1756598400,25,2025-08-31
spring-projects/spring-framework,1757203200,49,2025-09-07
spring-projects/spring-framework,1757808000,28,2025-09-14
spring-projects/spring-framework,1758412800,29,2025-09-21
spring-projects/spring-framework,1759017600,57,2025-09-28
spring-projects/spring-framework,1759622400,56,2025-10-05
spring-projects/spring-framework,1760227200,71,2025-10-12
spring-projects/spring-framework,1760832000,45,2025-10-19
spring-projects/spring-framework,1761436800,21,2025-10-26
