repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
NationalSecurityAgency/ghidra,3566247449,8598,lldb remote (gdb) keeps unsyncing after vfork,open,0,2025-10-29T14:21:22Z,2025-10-29T14:21:22Z,,astrelsky,
NationalSecurityAgency/ghidra,3561717079,8596,Error loading PDB,open,0,2025-10-28T13:59:13Z,2025-10-29T11:18:16Z,,Vorovan,"Feature: PDB,Status: Triage"
NationalSecurityAgency/ghidra,3559021839,8595,Incorrect code optimisation by the decompiler.,open,6,2025-10-27T23:18:31Z,2025-10-29T13:44:08Z,,DualTachyon,"Feature: Decompiler,Status: Triage"
NationalSecurityAgency/ghidra,3558251189,8594,Low-level Error: Deleting op with descendants,open,0,2025-10-27T19:18:07Z,2025-10-28T11:06:21Z,,red-prig,"Feature: Decompiler,Status: Triage"
NationalSecurityAgency/ghidra,3557390913,8593,"FIDDBs loaded on ui main thread, causing Code Browser tool to hang",closed,1,2025-10-27T15:36:06Z,2025-10-29T11:02:56Z,2025-10-29T11:02:56Z,piegamesde,"Feature: FID,Status: Internal"
NationalSecurityAgency/ghidra,3556982277,8592,Can't compile slaspec when constraining a bit field that appears in the display section,open,1,2025-10-27T14:08:46Z,2025-10-27T14:14:12Z,,brendonky18,"Type: Question,Feature: Sleigh,Status: Triage"
NationalSecurityAgency/ghidra,3552068176,8590,BUILD FAILED :Debugger:buildHelpFiles,closed,6,2025-10-25T08:05:55Z,2025-10-27T23:05:52Z,2025-10-27T20:09:03Z,millfreedom,Feature: Build
NationalSecurityAgency/ghidra,3551125226,8589,File,closed,0,2025-10-24T21:51:45Z,2025-10-27T09:12:11Z,2025-10-27T09:12:11Z,Lucefermorningstar,Reason: Invalid
NationalSecurityAgency/ghidra,3546669843,8586,Correctly decompile 1 indexing for globals,open,0,2025-10-23T21:30:41Z,2025-10-27T14:38:56Z,,aidan-wallace-j12,"Feature: Decompiler,Status: Triage"
NationalSecurityAgency/ghidra,3541123838,8585,"Emulator with ARM Cortex (THUMB) fails at switch mov pc,r0",open,5,2025-10-22T14:29:13Z,2025-10-27T15:21:45Z,,pcjc2,"Feature: Processor/ARM,Feature: Emulation,Status: Triage"
NationalSecurityAgency/ghidra,3540295881,8584,Stack no longer analysed for 16-bit x86 apps,open,0,2025-10-22T10:40:02Z,2025-10-27T14:39:55Z,,Wall-AF,"Feature: Analysis,Status: Triage,Feature: Segmented Addresses"
NationalSecurityAgency/ghidra,3535349089,8583,Parsing octal literals in header files,open,0,2025-10-21T07:45:15Z,2025-10-27T09:13:05Z,,shapaz,"Feature: C-Parser,Status: Triage"
NationalSecurityAgency/ghidra,3529742325,8578,Windows default launch procedure loses current environment,open,0,2025-10-19T08:31:27Z,2025-10-20T15:39:56Z,,Nebur99,"Feature: Platform/Windows,Feature: Launch,Status: Triage"
NationalSecurityAgency/ghidra,3529639478,8577,Debugger (w/ dbgeng) - patching live target does not work due to typo in code - solution 'inside',open,0,2025-10-19T07:51:28Z,2025-10-29T14:19:48Z,,Nebur99,"Feature: Debugger,Status: Internal"
NationalSecurityAgency/ghidra,3528490845,8576,BSIM on static binary analysis,open,0,2025-10-18T09:52:01Z,2025-10-27T15:22:04Z,,ret2void,"Status: Triage,Feature: BSim"
NationalSecurityAgency/ghidra,3526762807,8572,How to unbind button4/5?,closed,5,2025-10-17T16:24:04Z,2025-10-17T17:21:00Z,2025-10-17T17:00:57Z,norbertkiszka,
NationalSecurityAgency/ghidra,3525001032,8571,Make overwrite confirmation dialog keyboard-accessible in `Export Program...`,closed,3,2025-10-17T08:14:52Z,2025-10-27T12:44:56Z,2025-10-27T09:00:50Z,gemesa,"Status: Internal,Feature: Accessibility"
NationalSecurityAgency/ghidra,3524923603,8570,`NullPointerException` in `createPythonTypeStubs` task during local build,closed,1,2025-10-17T07:49:56Z,2025-10-17T16:27:36Z,2025-10-17T16:27:36Z,gemesa,"Feature: Build,Status: Internal"
NationalSecurityAgency/ghidra,3523814898,8569,Two messages pop up on file analysis. Can I fix the MinGW one?,open,1,2025-10-16T23:23:37Z,2025-10-29T13:02:41Z,,KazeEnji,Status: Triage
NationalSecurityAgency/ghidra,3522605327,8568,Windows: vsconfig.gradle fails on VS 2022 installationVersion “17.14.36603.0” (Invalid version string),closed,6,2025-10-16T16:25:43Z,2025-10-17T16:27:37Z,2025-10-17T16:27:37Z,csysp,"Feature: Build,Feature: Platform/Windows,Status: Internal"
