repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
PhilJay/MPAndroidChart,3476187181,5514,Bar chart does no show bars for huge values,open,0,2025-10-02T06:10:31Z,2025-10-02T06:10:31Z,,ghadeer-hammoud,
PhilJay/MPAndroidChart,3343838402,5513,Documentation Error:Error establishing a database connection,open,3,2025-08-22T02:07:46Z,2025-10-01T06:42:18Z,,9thCosmos,
PhilJay/MPAndroidChart,3319957628,5512,PhilJay/MPAndroidChart,closed,0,2025-08-13T21:31:59Z,2025-08-15T09:30:19Z,2025-08-15T09:30:18Z,Ahar44,
PhilJay/MPAndroidChart,3166981688,5510,moveViewToX() not work immediately in bar chart and line chart,closed,1,2025-06-23T06:45:14Z,2025-06-23T07:00:03Z,2025-06-23T07:00:03Z,noname6996-tta,
PhilJay/MPAndroidChart,3135276454,5509,Memory management,open,1,2025-06-11T02:22:06Z,2025-08-13T05:27:15Z,,KaiJun-Ma,
PhilJay/MPAndroidChart,3133019801,5508,How to customize chart to have a timeline-style bar with different colored segments?,open,0,2025-06-10T10:26:05Z,2025-06-10T10:26:05Z,,noname6996-tta,
PhilJay/MPAndroidChart,2996758776,5507,Gradle fails to download MPAndroidChart with 401 from the server,closed,2,2025-04-15T15:02:55Z,2025-04-16T09:28:05Z,2025-04-16T09:28:04Z,DiogoLima24,
PhilJay/MPAndroidChart,2903209342,5506,Documention website,open,0,2025-03-07T14:51:42Z,2025-03-07T14:51:42Z,,jeroenzwart,
PhilJay/MPAndroidChart,2834710287,5504,CombinedChartActivity中怎么把上坐标和竖线去掉,open,0,2025-02-06T06:57:57Z,2025-02-06T06:57:57Z,,xiyangyang8110,
PhilJay/MPAndroidChart,2819925722,5503,Issue with setVisibleXRangeMaximum and setVisibleXRangeMinimum in MPAndroidChart with RecyclerView — Only 6 X-Axis Labels Displaying,open,0,2025-01-30T05:18:54Z,2025-01-30T05:22:42Z,,riyapateluex,
PhilJay/MPAndroidChart,2788409313,5502,122,open,0,2025-01-14T22:34:37Z,2025-01-14T22:34:37Z,,Moises9503,
PhilJay/MPAndroidChart,2788407161,5501,12,closed,0,2025-01-14T22:32:53Z,2025-01-14T22:33:30Z,2025-01-14T22:33:30Z,Moises9503,
PhilJay/MPAndroidChart,2777413637,5500,Request to add an option to make Radar Chart corners rounded,open,0,2025-01-09T10:21:15Z,2025-01-09T10:47:06Z,,GaganSinglaKtl,
