repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
ReactiveX/RxJava,3565688656,7920,TestSubcriber and TestObserver misses Actions,closed,1,2025-10-29T12:14:34Z,2025-10-29T12:22:52Z,2025-10-29T12:22:45Z,LukasKirIem,Question
ReactiveX/RxJava,3478164422,7912,Cache/Replay operators to be more GC friendly,open,1,2025-10-02T16:35:52Z,2025-10-06T07:56:28Z,,akarnokd,"Enhancement,3.x"
ReactiveX/RxJava,3441765794,7906,Invalid module descriptor in 3.1.11,closed,3,2025-09-22T16:27:16Z,2025-09-24T07:55:21Z,2025-09-24T07:55:21Z,InitAuther97,"Bug,3.x"
ReactiveX/RxJava,3433760928,7905,Dead link in the resources,closed,0,2025-09-19T10:11:33Z,2025-09-19T10:54:08Z,2025-09-19T10:53:59Z,anranlee99,Documentation
ReactiveX/RxJava,3326588341,7893,[Question] How should I go about implementing a size and time based buffer with backpressure?,closed,2,2025-08-15T23:40:03Z,2025-08-16T06:22:34Z,2025-08-16T06:22:34Z,slisaasquatch,"Question,3.x"
ReactiveX/RxJava,3312057678,7888,Data race on `AbstractDirectTask.runner` field,closed,1,2025-08-12T00:34:59Z,2025-08-12T06:14:27Z,2025-08-12T06:14:27Z,jonathan-meier,
ReactiveX/RxJava,3274280694,7884,FromFuture with cancelling leads to undeliverable exceptions,closed,1,2025-07-29T16:37:43Z,2025-07-29T17:19:24Z,2025-07-29T17:19:23Z,DieterDP-ng,"Question,3.x"
ReactiveX/RxJava,3199088263,7878,Concurrent subscription to ReplaySubject leads to bogus onNext(NotificationLite) signals,closed,2,2025-07-03T11:42:14Z,2025-07-07T06:55:42Z,2025-07-07T06:55:42Z,joepembe,"Bug,3.x"
ReactiveX/RxJava,3153075898,7874,Website has many broken links,closed,1,2025-06-17T11:04:48Z,2025-06-17T11:31:22Z,2025-06-17T11:31:22Z,DieterDP-ng,
ReactiveX/RxJava,3124252946,7872,interval sometimes gets stopped when time changed on Android,closed,11,2025-06-06T09:47:29Z,2025-06-07T06:14:24Z,2025-06-07T06:14:23Z,galwaychia,
ReactiveX/RxJava,3060919313,7864,FlowableOnBackpressureLatest can signal backpressure issue with concurrent Subscription.request and Subscriber.onNext,closed,4,2025-05-13T18:40:39Z,2025-06-02T10:52:11Z,2025-06-02T10:52:11Z,wburns,"Question,3.x"
ReactiveX/RxJava,3050057738,7863,Legacy OSSRH to Central Portal migration,closed,1,2025-05-08T20:46:27Z,2025-05-19T21:11:09Z,2025-05-19T21:11:08Z,akarnokd,"Build,3.x"
ReactiveX/RxJava,3043326894,7862,Observable.create may call source callback with already disposed emitter,open,3,2025-05-06T16:08:11Z,2025-05-07T10:10:01Z,,feerbach,Question
ReactiveX/RxJava,2970279566,7851,Observable.delay(delayErrors=true) drops onNext signals at random when disposed of concurrently,closed,5,2025-04-03T17:43:36Z,2025-05-19T07:17:57Z,2025-05-19T07:17:57Z,joepembe,"Bug,3.x"
ReactiveX/RxJava,2861653086,7836,Why doesn't `ParallelFlowable.collect(Collector)` return a `Single`?,closed,3,2025-02-18T21:20:07Z,2025-02-19T18:37:32Z,2025-02-19T18:37:30Z,jackfirth,Question
