repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
Stirling-Tools/Stirling-PDF,3556266669,4750,[Feature Request]: Open many pdf in same window,open,3,2025-10-27T11:12:15Z,2025-10-28T19:21:23Z,,yohann1c,"enhancement,Front End"
Stirling-Tools/Stirling-PDF,3554251712,4740,[bug] PipelineProcessor unzips CBZ archive,open,1,2025-10-26T17:50:31Z,2025-10-26T19:40:25Z,,ChristopherBull,"Bug,Priority: Medium"
Stirling-Tools/Stirling-PDF,3548406394,4731,"[Bug]: Sign module, SVG signature file is not comming up in saved signatures",open,0,2025-10-24T09:08:47Z,2025-10-26T19:42:25Z,,Arikaj,"enhancement,Priority: Low"
Stirling-Tools/Stirling-PDF,3547366704,4729,[Feature Request]: Improve initial page load to avoid flickering black screen and language/size adjustments,closed,2,2025-10-24T02:38:04Z,2025-10-24T14:46:27Z,2025-10-24T14:46:27Z,Marukon,"enhancement,Front End"
Stirling-Tools/Stirling-PDF,3547359503,4728,[Feature Request]: Add version query strings to CSS/JS file links for better CDN cache invalidation,open,0,2025-10-24T02:34:37Z,2025-10-24T02:36:49Z,,Marukon,"enhancement,Front End"
Stirling-Tools/Stirling-PDF,3544864811,4727,"[Feature Request]: Google Drive ""Open with"" Integration for Seamless Workflow",open,0,2025-10-23T14:07:16Z,2025-10-23T14:07:16Z,,KoichiroHatsuse,enhancement
Stirling-Tools/Stirling-PDF,3536894207,4720,[Bug]: Compressing a PDF adds/replaces duplicates (Firefox markup),open,5,2025-10-21T14:42:55Z,2025-10-21T17:00:18Z,,wrongecho,"Bug,needs investigation,hacktoberfest"
Stirling-Tools/Stirling-PDF,3531636702,4709,[Bug]: Docker repository doesn't works,closed,6,2025-10-20T09:02:34Z,2025-10-20T09:17:23Z,2025-10-20T09:11:20Z,albacete99,needs investigation
Stirling-Tools/Stirling-PDF,3530313170,4707,"Question: Ghostscript, OCRmypdf, unoconvert, rar",open,11,2025-10-19T18:17:07Z,2025-10-20T11:56:40Z,,topoldo,question
Stirling-Tools/Stirling-PDF,3528676176,4702,[Feature Request]: Incorporate form identification,open,2,2025-10-18T11:23:44Z,2025-10-22T06:57:22Z,,rajil,enhancement
Stirling-Tools/Stirling-PDF,3519306954,4688,[Bug]: V2 `googleDrivePickerService.ts` Property `gapi|google` does not exist on type `Window & typeof globalThis`.,open,0,2025-10-15T19:31:26Z,2025-10-15T19:36:36Z,,Ludy87,"needs investigation,v2,Priority: High"
Stirling-Tools/Stirling-PDF,3516694203,4681,[Bug]: Multi-Tool creates significantly larger files than the original PDF even without modifications,closed,6,2025-10-15T07:18:15Z,2025-10-16T21:36:34Z,2025-10-16T21:36:34Z,gravasio,needs investigation
Stirling-Tools/Stirling-PDF,3514677161,4678,[Feature Request]: Remove Hyperlink Annotations,open,2,2025-10-14T16:31:23Z,2025-10-22T17:49:08Z,,hubdows,enhancement
Stirling-Tools/Stirling-PDF,3510736837,4668,[Bug]: flatten a specific file increase its size by 19x,closed,8,2025-10-13T16:46:50Z,2025-10-16T21:50:06Z,2025-10-16T21:50:06Z,gillg,needs investigation
Stirling-Tools/Stirling-PDF,3509934892,4666,[Bug]: ocrmypdf is called in DEBUG logging mode (by default?),open,1,2025-10-13T12:46:38Z,2025-10-13T12:50:09Z,,mediowen,Back End
Stirling-Tools/Stirling-PDF,3509260036,4664,How to use the Auto vs Optimization level mode?,open,6,2025-10-13T09:47:30Z,2025-10-13T10:58:20Z,,rafi-hdw,question
Stirling-Tools/Stirling-PDF,3507821169,4662,[Bug]: Unable to properly add certificates to Stirling PDF,open,3,2025-10-12T20:23:50Z,2025-10-13T13:55:48Z,,leleobhz,Back End
Stirling-Tools/Stirling-PDF,3507401219,4657,How to enable PDF to CBR in docker?,open,10,2025-10-12T15:43:27Z,2025-10-13T22:37:26Z,,op4lat,question
Stirling-Tools/Stirling-PDF,3507002359,4654,[Bug]: Fonts not rendered properly,closed,5,2025-10-12T11:25:01Z,2025-10-22T10:37:20Z,2025-10-22T10:36:45Z,mathewp88,Front End
Stirling-Tools/Stirling-PDF,3499455332,4641,[Feature Request]: Remove text with manual redact,open,2,2025-10-09T14:33:01Z,2025-10-22T19:33:33Z,,kintaro1981,enhancement
Stirling-Tools/Stirling-PDF,3497146605,4639,"[Bug]: pipleline ""update-metadata"" not working (allRequestParams)",open,0,2025-10-08T23:10:23Z,2025-10-08T23:12:44Z,,martinhoess,Back End
Stirling-Tools/Stirling-PDF,3494166313,4631,[Feature Request]: Including PDF/A 1a and 2a,open,1,2025-10-08T07:09:37Z,2025-10-08T08:31:25Z,,michelep,enhancement
Stirling-Tools/Stirling-PDF,3486634949,4617,[Bug]: AxiosError 401 ERR_BAD_REQUEST,open,2,2025-10-06T10:37:39Z,2025-10-06T11:07:01Z,,jerichobuzz,Back End
Stirling-Tools/Stirling-PDF,3484925732,4616,About the future of stirlingpdf.io demo and future plans,closed,10,2025-10-05T15:59:33Z,2025-10-09T16:55:38Z,2025-10-09T16:41:00Z,PeterDaveHello,question
Stirling-Tools/Stirling-PDF,3475368636,4576,[Bug]: Extreme CPU usage while idling,open,2,2025-10-01T22:31:24Z,2025-10-01T23:23:49Z,,adam-ah,
Stirling-Tools/Stirling-PDF,3472555345,4568,[Bug]: Get Info can't recognize compliancy,closed,3,2025-10-01T08:25:43Z,2025-10-04T09:22:31Z,2025-10-04T09:22:31Z,kintaro1981,
Stirling-Tools/Stirling-PDF,3471958595,4567,[Bug]: Documentation: Unix Installation Guide omits the step to clone the actual stirling-pdf repo,open,3,2025-10-01T04:20:37Z,2025-10-03T00:25:37Z,,miiichael,Documentation
