repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
TeamNewPipe/NewPipe,3562716321,12750,Increase tap hit target height of progress bar of new player to 1/5 of height landscape,open,0,2025-10-28T17:52:44Z,2025-10-28T17:52:44Z,,paaspaas00,"feature request,needs triage"
TeamNewPipe/NewPipe,3562644906,12749,Mouth delay after more than 20 minutes in 4k,open,3,2025-10-28T17:34:24Z,2025-10-28T17:47:46Z,,jondoh420,"feature request,needs triage"
TeamNewPipe/NewPipe,3562610231,12748,Can you move the Upload Date to a different part of the UI?,open,0,2025-10-28T17:25:26Z,2025-10-29T14:08:28Z,,absurdlylongusername,"feature request,GUI"
TeamNewPipe/NewPipe,3562231614,12747,Add option to select default video format as audio instead of mp4 (I.e.video),open,0,2025-10-28T15:51:16Z,2025-10-28T15:51:16Z,,Gamer750,"feature request,needs triage"
TeamNewPipe/NewPipe,3556214619,12745,Feature Request: Add Search Option When Selecting Playlist During Video Save,open,1,2025-10-27T10:59:16Z,2025-10-27T13:16:37Z,,njdjakt,"feature request,needs triage"
TeamNewPipe/NewPipe,3553666074,12744,Play all button in search mode,open,1,2025-10-26T09:46:01Z,2025-10-26T17:48:18Z,,phihigh,"feature request,multiservice,queue,needs triage,search"
TeamNewPipe/NewPipe,3553482191,12743,Old videos are shown in videos tab,open,0,2025-10-26T08:24:52Z,2025-10-26T08:25:10Z,,RemZapCypher,"bug,needs triage"
TeamNewPipe/NewPipe,3552937613,12742,Download queue lost,open,0,2025-10-25T20:09:25Z,2025-10-25T20:14:09Z,,IlluminatiWave,"bug,needs triage"
TeamNewPipe/NewPipe,3547861794,12740,Not working new pipe app,closed,1,2025-10-24T06:29:47Z,2025-10-24T14:03:32Z,2025-10-24T11:00:25Z,afnulaazii-dot,"template ignored,duplicate"
TeamNewPipe/NewPipe,3545786970,12739,Notification settings: using back button from system settings does not update UI,open,1,2025-10-23T17:26:28Z,2025-10-26T21:15:01Z,,TobiGr,"bug,good first issue,GUI,new stream notification"
TeamNewPipe/NewPipe,3542300491,12738,Filter UTTP bots from comments,open,0,2025-10-22T20:31:44Z,2025-10-23T08:17:38Z,,DVZDeveloper,"feature request,needs triage"
TeamNewPipe/NewPipe,3539085937,12737,"""Content Unavailable"" on every Video I tried",closed,0,2025-10-22T04:36:51Z,2025-10-23T08:18:12Z,2025-10-23T08:18:01Z,LoonaticBean,"template ignored,duplicate"
TeamNewPipe/NewPipe,3538259585,12736,exception on play,closed,0,2025-10-21T21:39:26Z,2025-10-21T22:07:07Z,2025-10-21T22:06:58Z,emdete,template missing
