repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
TheAlgorithms/Java,3560873398,6974,Centralized Configuration Management,open,1,2025-10-28T10:33:37Z,2025-10-29T13:53:59Z,,nvdivya,enhancement
TheAlgorithms/Java,3556053814,6967,[FEATURE REQUEST] Rotate Bits [Left \ Right],open,1,2025-10-27T10:18:13Z,2025-10-29T06:59:50Z,,AmandeepMandal1077,enhancement
TheAlgorithms/Java,3554133132,6957,[FEATURE REQUEST] Add Binary Search Tree (BST) and AVL Tree Implementations in Java,open,0,2025-10-26T15:44:10Z,2025-10-26T15:44:10Z,,RoshanSai07,enhancement
TheAlgorithms/Java,3553961669,6954,[OTHER] Looking for help developing a portal with Java/Spring Boot,open,4,2025-10-26T13:37:45Z,2025-10-28T09:08:55Z,,DenizAltunkapan,"help wanted,hacktoberfest"
TheAlgorithms/Java,3552543914,6941,[FEATURE REQUEST] One-Time Pad Cipher,open,0,2025-10-25T13:52:21Z,2025-10-25T13:52:21Z,,Shewale41,enhancement
TheAlgorithms/Java,3552542777,6940,[FEATURE REQUEST] Power of Four Check (Bit Manipulation),open,1,2025-10-25T13:51:39Z,2025-10-26T09:15:52Z,,Shewale41,enhancement
TheAlgorithms/Java,3552541442,6939,[FEATURE REQUEST] Sieve of Eratosthenes Algorithm,open,4,2025-10-25T13:50:45Z,2025-10-29T13:48:51Z,,Shewale41,enhancement
TheAlgorithms/Java,3552540157,6938,[FEATURE REQUEST] Topological Sorting using DFS,open,1,2025-10-25T13:49:51Z,2025-10-29T13:48:10Z,,Shewale41,enhancement
TheAlgorithms/Java,3552538983,6937,[FEATURE REQUEST] Threaded Binary Tree Implementation,open,0,2025-10-25T13:49:07Z,2025-10-25T13:49:07Z,,Shewale41,enhancement
TheAlgorithms/Java,3552537638,6936,[FEATURE REQUEST] Temperature Conversion Utility,open,0,2025-10-25T13:48:12Z,2025-10-25T13:48:12Z,,Shewale41,enhancement
TheAlgorithms/Java,3552535693,6935,[FEATURE REQUEST] Huffman Coding Compression Algorithm,open,1,2025-10-25T13:47:07Z,2025-10-29T13:50:41Z,,Shewale41,enhancement
TheAlgorithms/Java,3552533637,6934,[FEATURE REQUEST] ElGamal Encryption Algorithm,open,0,2025-10-25T13:45:57Z,2025-10-25T13:45:57Z,,Shewale41,enhancement
TheAlgorithms/Java,3552528589,6933,[FEATURE REQUEST] <title>,closed,0,2025-10-25T13:43:04Z,2025-10-25T13:44:52Z,2025-10-25T13:44:52Z,Shewale41,enhancement
TheAlgorithms/Java,3552528059,6932,[FEATURE REQUEST] <title>,closed,0,2025-10-25T13:42:47Z,2025-10-25T13:44:25Z,2025-10-25T13:44:25Z,Shewale41,enhancement
TheAlgorithms/Java,3552528028,6931,[FEATURE REQUEST] Count Total Set Bits from 1 to N (Bit Manipulation),open,0,2025-10-25T13:42:44Z,2025-10-25T13:42:44Z,,Shewale41,enhancement
TheAlgorithms/Java,3552526127,6930,[FEATURE REQUEST] <title>,closed,0,2025-10-25T13:41:44Z,2025-10-25T13:43:57Z,2025-10-25T13:43:57Z,Shewale41,enhancement
TheAlgorithms/Java,3552525564,6929,[FEATURE REQUEST]  Add Sudoku Solver using Backtracking,open,1,2025-10-25T13:41:24Z,2025-10-26T09:16:17Z,,Shewale41,enhancement
TheAlgorithms/Java,3552026827,6925,[FEATURE REQUEST] Proposal to add BWT (Burrows-Wheeler Transform) and MTF (Move-to-Front),closed,0,2025-10-25T07:43:03Z,2025-10-25T09:29:46Z,2025-10-25T09:29:46Z,Microindole,enhancement
TheAlgorithms/Java,3550144944,6922,[Dynamic Programming ] <Collision Detection of N Robots>,open,0,2025-10-24T16:11:53Z,2025-10-24T16:15:39Z,,freqcoder19,enhancement
TheAlgorithms/Java,3542697695,6909,[FEATURE REQUEST] Add LZ77 and LZ78 Algorithms to Compression Package,closed,0,2025-10-22T23:57:01Z,2025-10-23T16:16:47Z,2025-10-23T16:16:47Z,Microindole,enhancement
TheAlgorithms/Java,3536886279,6876,[FEATURE REQUEST] Add Trapping Rainwater problem in searches section (Java)(Hacktoberfest),open,3,2025-10-21T14:41:00Z,2025-10-21T15:05:14Z,,AdityaNSwain,enhancement
TheAlgorithms/Java,3535734862,6874,[FEATURE REQUEST] Add few best and efficient algorithms in geometry in Java,open,2,2025-10-21T09:27:07Z,2025-10-23T12:18:09Z,,sandeepgoudmacha,enhancement
TheAlgorithms/Java,3534592065,6870,[FEATURE REQUEST] Proposal: Add Bentley–Ottmann Algorithm for Line Segment Intersection,closed,0,2025-10-21T02:27:31Z,2025-10-25T20:18:47Z,2025-10-25T20:18:47Z,Microindole,enhancement
TheAlgorithms/Java,3533333735,6856,[FEATURE REQUEST] Add LineIntersection in geometry  #hacktoberfest,open,1,2025-10-20T17:40:34Z,2025-10-21T14:48:02Z,,sandeepgoudmacha,enhancement
TheAlgorithms/Java,3529621488,6833,[FEATURE REQUEST] Add LU decomposition algorithm for matrix (java) (hactoberfest'25),open,2,2025-10-19T07:42:44Z,2025-10-20T09:33:08Z,,sourav-625,enhancement
TheAlgorithms/Java,3529314773,6831,[FEATURE REQUEST] Add Disjoint Set (Union-Find) Implementation and Account Merge Problem in Graph Section,open,2,2025-10-18T22:54:00Z,2025-10-20T19:20:25Z,,Sanso2619,enhancement
TheAlgorithms/Java,3525693377,6817,[FEATURE REQUEST] Add Gomory–Hu Tree (all-pairs min-cuts via n−1 max-flows),open,0,2025-10-17T11:16:43Z,2025-10-17T11:16:43Z,,SamXop123,enhancement
TheAlgorithms/Java,3523098086,6806,[FEATURE REQUEST] Hungarian Algorithm (Kuhn–Munkres) for the Assignment Problem [Graphs],closed,0,2025-10-16T18:48:42Z,2025-10-16T21:05:49Z,2025-10-16T21:05:49Z,SamXop123,enhancement
TheAlgorithms/Java,3522880454,6804,[FEATURE REQUEST] Add Combination Sum algorithm using recursion (java) (hacktoberfest'25),closed,6,2025-10-16T17:45:51Z,2025-10-22T16:13:36Z,2025-10-22T16:13:36Z,vaishnavi-parodkar,enhancement
TheAlgorithms/Java,3521762366,6798,[FEATURE REQUEST] feat(compression): Add LZW and Arithmetic Coding algorithms,closed,0,2025-10-16T12:51:05Z,2025-10-19T18:11:23Z,2025-10-19T18:11:23Z,Microindole,enhancement
