repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
airbnb/lottie-android,3544345931,2671,Animation appears differently on Android (works fine on web and iOS),open,0,2025-10-23T11:49:10Z,2025-10-23T11:49:10Z,,camchis,Rendering bug
airbnb/lottie-android,3542442031,2670,# Add support TGS,closed,0,2025-10-22T21:30:18Z,2025-10-23T21:50:08Z,2025-10-23T21:50:08Z,Eg0r0k,New feature
airbnb/lottie-android,3527377588,2669,Test,closed,0,2025-10-17T20:03:55Z,2025-10-17T20:09:07Z,2025-10-17T20:09:07Z,gpeal,
airbnb/lottie-android,3509879892,2668,Add initialState to animateLottieCompositionAsState,open,1,2025-10-13T12:31:09Z,2025-10-15T06:39:55Z,,dolschowka,New feature
airbnb/lottie-android,3498551666,2667,Specific Lottie Animation Fails to Render Exclusively on Android 15 & 16,open,1,2025-10-09T10:23:53Z,2025-10-15T06:38:49Z,,NiniGogo,Non-Rendering Bug
airbnb/lottie-android,3384316442,2659,ValueAnimator#getCurrentPlayTime always returns 0,open,1,2025-09-04T15:40:07Z,2025-09-15T04:22:56Z,,bilgehankalkan,Non-Rendering Bug
airbnb/lottie-android,3374263763,2658,RTL languages rendering incorrectly,closed,2,2025-09-02T03:26:03Z,2025-09-29T02:41:00Z,2025-09-29T02:41:00Z,nrchan,Rendering bug
airbnb/lottie-android,3349154443,2656,设置显示大小后lottie展示异常,closed,0,2025-08-24T04:54:13Z,2025-08-25T03:27:29Z,2025-08-25T03:27:29Z,baobeinet521,"Rendering bug,Incorrect Template Usage"
airbnb/lottie-android,3324961813,2655,Different easing curves for x-axis and y-axis in layer scaling animation,open,0,2025-08-15T10:30:46Z,2025-08-15T10:30:46Z,,BokunoMasayume,New feature
airbnb/lottie-android,3319952040,2654,airbnb/lottie-android,closed,0,2025-08-13T21:29:35Z,2025-08-14T01:25:30Z,2025-08-14T01:25:30Z,Ahar44,"Rendering bug,Incorrect Template Usage"
airbnb/lottie-android,3299312533,2653,Adaptation of animation background image,open,2,2025-08-07T07:16:50Z,2025-08-10T18:41:05Z,,baobeinet521,
airbnb/lottie-android,3274111479,2651,Blank Render on Android Play Store for Animated Featuring/Promotional Content,closed,1,2025-07-29T15:41:19Z,2025-07-30T23:29:42Z,2025-07-30T23:29:42Z,KellyKolibri,Rendering bug
airbnb/lottie-android,3246253662,2650,LottieAnimationView cannot restore it's state during tabs switching,open,1,2025-07-20T10:43:17Z,2025-07-21T08:58:21Z,,dmytroreutov,Non-Rendering Bug
airbnb/lottie-android,3232022137,2649,Black Border on Rounded LottieAnimationView,closed,1,2025-07-15T12:12:10Z,2025-07-16T17:42:34Z,2025-07-16T17:42:34Z,paninshot,Rendering bug
airbnb/lottie-android,3217761809,2648,"In LottieCompositionCache the cache hashMap, the same composition have two different key，""$url"" and ""url_$url""",open,0,2025-07-10T03:37:09Z,2025-07-10T03:37:09Z,,yongjiaming,Non-Rendering Bug
airbnb/lottie-android,3191013935,2647,Suggest a sample code,closed,1,2025-07-01T06:58:15Z,2025-07-02T09:52:39Z,2025-07-02T09:52:39Z,ryan1051,New feature
airbnb/lottie-android,3181524297,2645,Unable to use Lottie compose correctly without @NonSkippableComposable,open,0,2025-06-27T06:20:51Z,2025-06-27T06:20:51Z,,oiatomic,Non-Rendering Bug
airbnb/lottie-android,3168092696,2644,Crash: java.lang.IndexOutOfBoundsException when use com.airbnb.lottie.LottieAnimationView,open,5,2025-06-23T12:52:42Z,2025-06-30T02:56:10Z,,poxiaozheng,Non-Rendering Bug
airbnb/lottie-android,3164100915,2642,Crash: NPE when trying to get error from connection,closed,3,2025-06-20T18:33:09Z,2025-09-11T12:25:03Z,2025-06-24T13:55:09Z,hansonchris,
airbnb/lottie-android,3142949514,2638,Inconsistent Dimension Handling in LottieCompositionMoshiParser: Top-level w/h vs Assets,open,2,2025-06-13T09:39:46Z,2025-07-31T02:39:26Z,,coltonliang,Non-Rendering Bug
airbnb/lottie-android,3062524087,2636,Transparent backgrounds not working in Versions > 6.4.0,closed,5,2025-05-14T09:53:25Z,2025-09-16T22:38:44Z,2025-09-16T20:59:03Z,G4S-LA,Rendering bug
airbnb/lottie-android,3027516860,2634,Android 9 - NullPointerException `android.view.View.mViewFlags`,closed,1,2025-04-29T08:37:04Z,2025-05-07T06:54:08Z,2025-05-07T06:54:06Z,marcelpallares,Rendering bug
airbnb/lottie-android,3017747281,2633,How to check if the memory is not released and where is the problem,open,0,2025-04-24T16:00:31Z,2025-04-24T16:00:31Z,,tianshaokai,
airbnb/lottie-android,3003787596,2632,java.lang.NullPointerException,open,1,2025-04-18T02:21:26Z,2025-04-18T02:29:13Z,,ttooyy,
airbnb/lottie-android,2991811757,2631,Set different repeatCount values (0 vs INFINITE) for different layers in Lottie not working,open,0,2025-04-14T03:59:18Z,2025-04-14T04:01:58Z,,atuldhanuka,Rendering bug
airbnb/lottie-android,2990293127,2630,"Lottie SVG renderer splits conjuncts like 'स्व', 'प्रा', 'र्य',  in Devanagari into separate letters like  'स्  वा', 'प् रा' , breaking proper text shaping",open,0,2025-04-12T07:03:31Z,2025-04-12T07:03:31Z,,esaman1,Rendering bug
airbnb/lottie-android,2982853259,2629,Lottie Breaking After Upgrading from 5.1.1 to 6.4.4,open,0,2025-04-09T13:34:23Z,2025-04-09T13:34:23Z,,bibekananda1,Rendering bug
airbnb/lottie-android,2974271201,2628,I have an error while writing implementation,closed,2,2025-04-05T15:06:58Z,2025-07-17T03:01:22Z,2025-07-17T03:01:21Z,Mudit020,
airbnb/lottie-android,2968582301,2627,The effect displayed on Android is inconsistent with the effect on LottieFilesPreview,open,0,2025-04-03T07:22:32Z,2025-04-03T07:31:27Z,,2352312138,Rendering bug
airbnb/lottie-android,2963417193,2625,Caused by java.lang.IllegalArgumentException The Path cannot loop back on itself.,open,0,2025-04-01T13:14:12Z,2025-04-01T13:14:12Z,,sivanhe,Rendering bug
airbnb/lottie-android,2949284119,2624,Rendering issues due to gradient color parsing with transparency depending on order of dictionary keys,open,0,2025-03-26T11:41:29Z,2025-03-26T11:41:29Z,,sheepmaster,Rendering bug
airbnb/lottie-android,2930120796,2622,Add support for dotLottie files in lottie-compose,open,1,2025-03-19T00:32:21Z,2025-08-22T20:08:47Z,,anqingchen,New feature
airbnb/lottie-android,2927722258,2621,ANR After Calling onDraw(),open,0,2025-03-18T09:13:05Z,2025-03-18T09:14:06Z,,jagadeesh-k-swiggy,
airbnb/lottie-android,2926762344,2620,IllegalArgumentException: width and height must be > 0,closed,1,2025-03-18T01:02:09Z,2025-04-02T23:38:57Z,2025-04-02T23:38:57Z,allenchen1154,Non-Rendering Bug
airbnb/lottie-android,2917017142,2619,Flicker on animation change when dynamic layer is changing,closed,0,2025-03-13T12:39:48Z,2025-04-14T03:55:10Z,2025-04-14T03:55:10Z,atuldhanuka,Non-Rendering Bug
airbnb/lottie-android,2892575683,2618,Support `MotionDurationScale` in the coroutine context,open,2,2025-03-03T23:49:48Z,2025-03-04T00:26:53Z,,yogurtearl,New feature
airbnb/lottie-android,2875783093,2615,Fatal Exception: java.lang.NullPointerException Attempt to invoke virtual method 'int android.graphics.Bitmap.getWidth()' on a null object reference,closed,1,2025-02-24T18:09:54Z,2025-02-25T18:46:42Z,2025-02-25T18:46:41Z,AnilYadavBB,
airbnb/lottie-android,2862570141,2614,"Add support for IANA approved mime-type ""video/lottie+json"" and extension "".lot""",closed,2,2025-02-19T08:21:31Z,2025-03-03T00:45:35Z,2025-03-03T00:45:11Z,kudanai,New feature
airbnb/lottie-android,2851377458,2612,Consider a system property to conditionally initialize `LottieTask.EXECUTOR` for testing,closed,2,2025-02-13T15:24:25Z,2025-02-14T17:37:49Z,2025-02-14T17:37:49Z,JakeWharton,New feature
airbnb/lottie-android,2849128840,2610,RadialGradient Crash - java.lang.IllegalArgumentException: needs >= 2 number of colors,closed,1,2025-02-12T19:09:51Z,2025-03-03T16:41:39Z,2025-03-03T16:41:39Z,dazza5000,
airbnb/lottie-android,2845945076,2609,CRASH: Fatal Exception: java.lang.IllegalStateException: Underflow in restore - more restores than saves,closed,1,2025-02-11T16:49:06Z,2025-05-27T17:36:28Z,2025-05-27T17:36:28Z,arcao,Rendering bug
