repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
alibaba/arthas,3564676280,3078,trace 命令jdk25支持,open,2,2025-10-29T07:15:13Z,2025-10-29T08:18:06Z,,loong-coder,
alibaba/arthas,3512922986,3075,async-profiler 支持 otlp 格式,open,0,2025-10-14T08:32:09Z,2025-10-14T08:32:15Z,,hengyunabc,
alibaba/arthas,3506478960,3074,trace可以提供一个多个层级的子方法的调用吗？,closed,1,2025-10-12T00:06:02Z,2025-10-13T07:17:19Z,2025-10-13T07:17:19Z,sunheyi6,
alibaba/arthas,3501100117,3071,Jrebel启动的项目，监控不到,closed,1,2025-10-10T01:53:34Z,2025-10-13T07:17:34Z,2025-10-13T07:17:34Z,myacme,
alibaba/arthas,3433125943,3065,能否给arthas-agent.jar增加启动参数(启动后自动执行的命令或脚本),open,5,2025-09-19T06:51:37Z,2025-09-30T01:14:14Z,,qq664042,
alibaba/arthas,3421575153,3062,arthas-agent.jar  未注册到 arthas-tunnel-server:4.0.5,open,3,2025-09-16T10:27:01Z,2025-09-17T02:31:20Z,,hardy1970,
alibaba/arthas,3409156190,3060,flink 镜像中使用报错,closed,0,2025-09-12T07:00:54Z,2025-09-12T09:07:20Z,2025-09-12T09:07:20Z,melin,
alibaba/arthas,3374252868,3056,希望增加使用jcmd命令以替代jps。,closed,1,2025-09-02T03:18:31Z,2025-09-11T10:24:10Z,2025-09-11T10:24:10Z,youngledo,
alibaba/arthas,3374086042,3055,请问Arthas是如何区分young_gc和old_gc的？,closed,1,2025-09-02T01:31:43Z,2025-09-02T07:40:03Z,2025-09-02T07:39:19Z,youngledo,
alibaba/arthas,3320474583,3053,启动检测报错问题,closed,1,2025-08-14T02:03:56Z,2025-10-13T07:15:56Z,2025-10-13T07:15:56Z,wh-zxt-01,
alibaba/arthas,3309380502,3052,"arthas.aliyun.com  域名不可解析, 提桶跑路了么?",closed,4,2025-08-11T10:19:09Z,2025-08-11T11:55:01Z,2025-08-11T11:55:01Z,kalavt,
alibaba/arthas,3308647492,3051,jad reload 旧的class,open,2,2025-08-11T06:35:26Z,2025-08-20T08:46:23Z,,pototao,
alibaba/arthas,3307118393,3049,升级 asm 到 9.9 ，支持 jdk 25,closed,2,2025-08-10T03:12:27Z,2025-10-14T07:56:14Z,2025-10-14T07:56:13Z,hengyunabc,
alibaba/arthas,3296593583,3048,graalvm24上 执行watch或者trace的时候提示 Unsupported class file major version 68,closed,2,2025-08-06T12:51:50Z,2025-10-15T07:01:08Z,2025-10-15T07:01:08Z,Chester-li,
alibaba/arthas,3295335246,3047,arthas 最新版,open,2,2025-08-06T06:19:58Z,2025-09-02T08:50:35Z,,wangchaodev3-collab,
alibaba/arthas,3272564771,3045,objdisplay命令无法使用,open,1,2025-07-29T07:57:42Z,2025-08-10T03:11:46Z,,chenmonster,
alibaba/arthas,3268530874,3044,java.lang.IllegalArgumentException: memory: command not found,closed,0,2025-07-28T07:33:25Z,2025-07-28T07:36:45Z,2025-07-28T07:36:45Z,chunleik,
alibaba/arthas,3260104396,3043,trace 命令如何通过子类追踪父类中的方法,open,0,2025-07-24T14:26:33Z,2025-07-24T14:26:39Z,,bf109f,
alibaba/arthas,3238601948,3042,在高版本 jdk 上面， 枚举无法正确被 watch 打印出来,open,1,2025-07-17T08:13:05Z,2025-07-17T08:13:21Z,,leizhiyuan,
alibaba/arthas,3210888792,3040,vmtool能实现动态删除已经注册的Filter吗,open,0,2025-07-08T03:29:25Z,2025-07-13T10:06:21Z,,y1shiny1shin,
alibaba/arthas,3208632507,3038,arthas类加载器泄露,open,0,2025-07-07T11:28:07Z,2025-07-07T11:28:07Z,,renburugou,
alibaba/arthas,3201837136,3037,oracle openJDK  jdk21 + arthas 4.0.5 windows 环境下启动报错  Module java.instrument not found,open,1,2025-07-04T08:42:53Z,2025-07-04T08:44:19Z,,Brainhu,
alibaba/arthas,3174699475,3034,Unable to download JFR recordings larger than 10MB via Tunnel Server,open,0,2025-06-25T08:23:21Z,2025-06-25T08:23:21Z,,amalpotra,
alibaba/arthas,3123448615,3033,按↑无法自动填充上一条命令,closed,1,2025-06-06T02:40:37Z,2025-10-13T07:15:42Z,2025-10-13T07:15:42Z,XL-Zhao-23,
alibaba/arthas,3115987836,3032,不同电脑连接同一个环境，执行watch命令时，一个正常，一个报找不到类方法,open,1,2025-06-04T01:54:06Z,2025-07-04T09:04:52Z,,Crayon-kk,
alibaba/arthas,3085577021,3031,使用arthas4.0.5无法在windows jdk17调试程序,closed,0,2025-05-23T08:09:30Z,2025-07-03T07:42:56Z,2025-07-03T07:42:56Z,smswg,
alibaba/arthas,3077682543,3029,使用疑问-漏洞修复,open,0,2025-05-20T17:01:57Z,2025-05-20T17:01:57Z,,newtypea,
alibaba/arthas,3075404496,3028,通过下发命令的方式启动arthas，启动进程卡住不动,open,0,2025-05-20T02:01:50Z,2025-05-20T02:04:22Z,,YMingZeng,
