repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
apache/dubbo,3559715547,15742,[Bug] Found some resources seem not handled properly,open,0,2025-10-28T04:19:19Z,2025-10-28T04:19:19Z,,AROP-REPLICATION,"type/need-triage,component/need-triage"
apache/dubbo,3542860758,15737,"[Bug] The default implementations of Dubbo ObjectOutput.writeEvent and ObjectInput.readEvent are inconsistent, resulting in abnormal functionality of some serialization components.",closed,2,2025-10-23T01:53:57Z,2025-10-27T12:19:51Z,2025-10-27T12:19:51Z,huisman6,help wanted
apache/dubbo,3534959581,15735,[Feature] The configuration information logged by DefaultApplicationDeployer needs to be sanitized (masked),open,1,2025-10-21T05:36:44Z,2025-10-24T06:28:48Z,,the3rd,help wanted
apache/dubbo,3534531833,15733,[Bug] BatchExecutorQueue performance risk,closed,0,2025-10-21T01:53:59Z,2025-10-21T02:01:33Z,2025-10-21T02:01:33Z,fxli4,"type/need-triage,component/need-triage"
apache/dubbo,3534530188,15732,[Bug] BatchExecutorQueue performance risk,closed,1,2025-10-21T01:52:57Z,2025-10-22T02:38:21Z,2025-10-22T02:38:21Z,fxli4,"help wanted,type/proposal,type/enhancement"
apache/dubbo,3524795925,15725,[Bug]  Consumer keep trying to reconnect when Provider is killed,closed,3,2025-10-17T07:03:44Z,2025-10-21T06:50:43Z,2025-10-21T06:50:43Z,jkoChen,help wanted
apache/dubbo,3524206780,15724,"[Bug] dubbo-admin控制面板创建动态配置,配合nacos注册中心,服务降级不生效",closed,1,2025-10-17T02:51:15Z,2025-10-17T11:42:21Z,2025-10-17T11:42:21Z,ChenYongJie666,"type/need-triage,component/need-triage"
apache/dubbo,3505481428,15719,[The Best Experience] the guide of customizing Dubbo 3.3.x to compatible with curator 4.x,closed,2,2025-10-11T09:05:10Z,2025-10-13T02:38:37Z,2025-10-12T02:21:27Z,slankka,"type/need-triage,component/need-triage"
apache/dubbo,3499216602,15718,[Bug] dubbo-rest-openapiin Dubbo 3.3.5: PageResponseand AccessLogResClass Structures Missing from Generated JSON and @SchemaAnnotations Ineffective,open,2,2025-10-09T13:35:13Z,2025-10-22T06:38:42Z,,jasonguo922,type/bug
apache/dubbo,3467979152,15711,[Bug] BearerTokenAuthentication is not in the allowlist,closed,1,2025-09-30T07:34:43Z,2025-09-30T09:40:36Z,2025-09-30T09:40:36Z,JogJo,type/discussion
apache/dubbo,3461444939,15710,[Bug] No such extension org.apache.dubbo.rpc.Protocol by name tri.default,open,5,2025-09-28T09:24:27Z,2025-10-23T11:45:29Z,,jockercheng91,status/waiting-for-feedback
apache/dubbo,3437407307,15698,Distinguish between timeout and task rejection in DefaultFuture,open,3,2025-09-20T18:45:19Z,2025-10-22T06:51:33Z,,qxggg,type/enhancement
apache/dubbo,3421979494,15694,引入 dubbo-bom 后缺失日志依赖问题,closed,1,2025-09-16T12:02:31Z,2025-09-17T07:08:44Z,2025-09-17T07:08:44Z,houkunlin,
apache/dubbo,3396421449,15678,[Bug] RpcException message should not contain the accessKey and secretKey from MSE Nacos,open,5,2025-09-09T03:26:58Z,2025-10-22T06:39:05Z,,vergilyn,"type/bug,help wanted"
apache/dubbo,3392945770,15677,[Bug] `DefaultTPSLimiter` doesn't acutally support per-method level TPS limit.,closed,1,2025-09-08T07:20:09Z,2025-09-29T03:34:35Z,2025-09-29T03:34:35Z,lingyufei,"help wanted,type/enhancement"
apache/dubbo,3391301211,15675,[Bug] The AnnotatedBeanDefinitionRegistryUtils.isPresentBean method breaks Dubbo's class isolation mechanism.,closed,5,2025-09-07T07:03:40Z,2025-09-08T03:58:24Z,2025-09-08T02:52:15Z,xiaolongzuo,"type/need-triage,component/need-triage"
apache/dubbo,3391026230,15674,[Bug] ClassNotFoundException was thrown when compile with  dubbo-native and dubbo-maven-plugin ,closed,19,2025-09-07T01:07:22Z,2025-09-09T05:03:44Z,2025-09-09T04:14:16Z,noear,"status/waiting-for-feedback,type/discussion"
apache/dubbo,3386015842,15671,[Bug] MemoryLeak Issue In DefaultFuture,closed,3,2025-09-05T01:51:07Z,2025-09-18T02:22:19Z,2025-09-18T02:22:19Z,vio-lin,help wanted
apache/dubbo,3381849892,15670,"[Bug] there are short, float type deserialization issues at hessian lite of dubbo3",closed,8,2025-09-04T01:59:06Z,2025-09-12T01:44:02Z,2025-09-12T01:43:28Z,jockercheng91,"type/bug,help wanted"
apache/dubbo,3378540258,15668,the Configuration `Cluster` and `retries` on `<dubbo:service/>` doesn't work,open,2,2025-09-03T06:49:16Z,2025-10-22T06:39:12Z,,lingyufei,help wanted
apache/dubbo,3374354315,15665,"[Bug] In multi-threaded parallel execution, a large number of read only operations waste a lot of unnecessary time because the combination of ""read and write"" operations requires ""serialization"".",closed,0,2025-09-02T04:27:47Z,2025-09-29T03:33:48Z,2025-09-29T03:33:48Z,frozenNoob,"help wanted,type/enhancement"
apache/dubbo,3374176011,15663,[Bug] moduleModel is null after native building,open,5,2025-09-02T02:34:15Z,2025-10-23T11:42:48Z,,imgoby,"type/bug,help wanted"
apache/dubbo,3371858562,15660,[Bug] MutinyClientCallsTest hangs due to null downstream,closed,2,2025-09-01T08:59:17Z,2025-09-29T03:38:38Z,2025-09-29T03:38:38Z,zrlw,"type/bug,help wanted"
apache/dubbo,3371777973,15659,[Bug]  Can't create adaptive extension interface org.apache.dubbo.metrics.report.MetricsReporterFactor,closed,2,2025-09-01T08:35:41Z,2025-09-29T03:40:34Z,2025-09-29T03:40:34Z,wangjiancheng180,type/discussion
apache/dubbo,3369466508,15658,[Feature] StringUtils.isNumeric: add optional +/- sign support (backward compatible),closed,0,2025-08-30T20:13:55Z,2025-09-29T03:41:18Z,2025-09-29T03:41:18Z,6mmLIU,type/proposal
apache/dubbo,3344515096,15653,[Bug] dubbo-samples native-sample-test build failed due to apache-maven-3.9.6 is removed from dlcdn.apache.org,closed,4,2025-08-22T07:44:35Z,2025-08-22T10:45:01Z,2025-08-22T10:45:01Z,MrSibe,"type/bug,help wanted"
apache/dubbo,3344208323,15652,[Feature]  use  Apache Fory(fury) to serialize objects,closed,3,2025-08-22T05:34:31Z,2025-08-22T13:11:53Z,2025-08-22T13:11:53Z,songxiaosheng,type/proposal
apache/dubbo,3333411656,15641,[Bug] org.apache.dubbo.remoting.http12.exception.HttpStatusException: Invoker for gRPC not found,open,8,2025-08-19T08:21:26Z,2025-10-22T06:39:27Z,,dexchong,help wanted
