repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
dbeaver/dbeaver,3566361897,39517,table / subquery not found ( autocomplete / trouble marker impact),open,0,2025-10-29T14:43:56Z,2025-10-29T14:43:56Z,,dave1132000,wait for review
dbeaver/dbeaver,3566021782,39516,Flatpak doesn't lauch - java.lang.ClassNotFoundException: org.eclipse.core.runtime.adaptor.EclipseStarter,open,0,2025-10-29T13:34:17Z,2025-10-29T13:34:45Z,,vitekzach,wait for review
dbeaver/dbeaver,3565298151,39515,Splash screen flips upside down on startup,open,0,2025-10-29T10:27:30Z,2025-10-29T10:28:43Z,,daelynum,"xo:macos,xf:ui"
dbeaver/dbeaver,3564784491,39514,SQL Error [65011] [99999]: ORA-65011: Pluggable database PDBID_INVALID does not exist.,open,0,2025-10-29T07:55:22Z,2025-10-29T08:50:34Z,,neilsteyn,"x:oracle,xf:datatransfer,wait for review"
dbeaver/dbeaver,3564375440,39513,App goes away by clicking menus on MacBook Tahoe,open,1,2025-10-29T05:08:24Z,2025-10-29T08:49:41Z,,dave-norris,"xo:macos,wait for response"
dbeaver/dbeaver,3562095368,39511,"mariadb dump setting ""Add DROP stateatements"" does not work",open,0,2025-10-28T15:22:07Z,2025-10-29T08:47:16Z,,tomeli5n,"x:maria,wait for review,xf:native clients"
dbeaver/dbeaver,3561234622,39509,SQL Editor Assist and Auto Complete,open,2,2025-10-28T11:57:57Z,2025-10-28T14:35:28Z,,DmitryNeverovich,"xp:normal,xf:sql autocompletion"
dbeaver/dbeaver,3560287572,39503,pg_restore not working with flatpak,open,1,2025-10-28T08:02:48Z,2025-10-28T15:18:59Z,,FStefanni,xf:flatpak
dbeaver/dbeaver,3559841627,39502,[Oracle] Last analyzed time not showing in Oracle,open,1,2025-10-28T05:10:00Z,2025-10-28T07:25:00Z,,ghiki,"x:oracle,xf:metadata,xp:normal"
dbeaver/dbeaver,3556835952,39499,Dark Theme bug appearance,open,3,2025-10-27T13:36:36Z,2025-10-29T08:32:56Z,,w0rthless888,"xo:windows,xf:dark theme,wait for response"
dbeaver/dbeaver,3555849434,39496,Table size not refreseshed,open,1,2025-10-27T09:28:21Z,2025-10-28T07:31:59Z,,BorisAlfa,"x:maria,xf:metadata,xp:normal"
dbeaver/dbeaver,3552728172,39495,DBeaver always minimized after running its update,open,0,2025-10-25T17:05:16Z,2025-10-28T07:30:02Z,,mcsilver,"wait for review,xf:installation"
