repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
elastic/elasticsearch,3565945134,137338,[CI] ShowExecSerializationTests testConcurrentSerialization failing,open,2,2025-10-29T13:18:44Z,2025-10-29T14:56:00Z,,elasticsearchmachine,">test-failure,Team:Analytics,:Analytics/ES|QL,needs:risk"
elastic/elasticsearch,3565863796,137334,[CI] MultiClusterSpecIT class failing,open,2,2025-10-29T12:58:12Z,2025-10-29T13:38:18Z,,elasticsearchmachine,">test-failure,Team:Analytics,:Analytics/ES|QL,needs:risk"
elastic/elasticsearch,3565312604,137326,ESQL: Generalize handling of commands that need to run on the data node,open,1,2025-10-29T10:31:25Z,2025-10-29T10:31:50Z,,alex-spies,">refactoring,Team:Analytics,:Analytics/ES|QL"
elastic/elasticsearch,3565211488,137320,Support audit ignore policy by event.action,open,1,2025-10-29T10:04:30Z,2025-10-29T10:04:55Z,,jguay,">enhancement,:Security/Audit,Team:Security"
elastic/elasticsearch,3565107032,137315,Installer Fails on Windows with 32-bit Java installed Due to Improper JAVA_HOME Handling in Elasticsearch Scripts,open,0,2025-10-29T09:34:12Z,2025-10-29T09:34:34Z,,fredisco67,needs:triage
elastic/elasticsearch,3564510111,137305,Document behavior when both `pipeline` query is passed in bulk request and default pipeline for an index is set,open,2,2025-10-29T06:06:38Z,2025-10-29T13:55:23Z,,khushijain21,">docs,Team:Docs,low-risk,documentation"
elastic/elasticsearch,3564148139,137303,"This works because Floats are widened to Doubles in the Analyzer. Perhaps move this logic to DataType in a follow-up, so type selection is handled there instead?",open,0,2025-10-29T03:13:02Z,2025-10-29T03:13:24Z,,pabloem,needs:triage
elastic/elasticsearch,3562980323,137288,[ML] Prevent token limit being hit for GoogleVertexAI chunked embedding inference calls,open,1,2025-10-28T19:04:10Z,2025-10-28T19:04:58Z,,dan-rubinstein,">bug,:ml,Team:ML,Feature:GenAI,Feature:NLP,:ml/Chunking"
elastic/elasticsearch,3562824202,137285,[E|QL] Add performance tests to subqueries,open,1,2025-10-28T18:21:24Z,2025-10-29T14:27:09Z,,fang-xing-esql,">test,Team:Analytics,:Analytics/ES|QL"
elastic/elasticsearch,3562819998,137284,[ES|QL] Push down Filters/Predicates on mixed data type `UnionAll` output with explicit casting.,open,1,2025-10-28T18:20:26Z,2025-10-29T14:30:23Z,,fang-xing-esql,">enhancement,Team:Analytics,:Analytics/ES|QL"
elastic/elasticsearch,3562813036,137283,"[ES|QL] Improve FieldNameUtils.resolveFieldNames to identify subquery field names for field caps call, instead of using all fields `*`",open,1,2025-10-28T18:18:46Z,2025-10-29T14:30:34Z,,fang-xing-esql,">enhancement,Team:Analytics,:Analytics/ES|QL"
elastic/elasticsearch,3562657054,137282,ESQL: String functions ASCII,open,2,2025-10-28T17:37:51Z,2025-10-28T19:06:45Z,,pfcoperez,">enhancement,Team:Analytics,:Analytics/ES|QL"
elastic/elasticsearch,3561998559,137270,Performance: Lookup Join Dictionary Encoded Blocks optimization,open,0,2025-10-28T14:59:46Z,2025-10-28T14:59:48Z,,julian-elastic,">enhancement,needs:triage"
elastic/elasticsearch,3561993315,137269,Performance: Improve LOOKUP JOIN on a single keyword performance by avoiding creating Lucene Query per Join,open,0,2025-10-28T14:58:30Z,2025-10-28T16:47:14Z,,julian-elastic,">enhancement,needs:triage"
elastic/elasticsearch,3561985355,137268,Performance: Improve Lookup Join performance by caching field access,open,0,2025-10-28T14:56:34Z,2025-10-28T16:42:38Z,,julian-elastic,">enhancement,needs:triage"
elastic/elasticsearch,3561972517,137267,Performance: Put multi-value warning for Lookup Join behind a feature flag.,open,0,2025-10-28T14:53:19Z,2025-10-28T15:03:56Z,,julian-elastic,">enhancement,needs:triage"
elastic/elasticsearch,3561625215,137261,ILM Fails To Recognise Deletion Of Index On CCR Leader Cluster Causing ILM To Get Stuck,open,1,2025-10-28T13:38:18Z,2025-10-28T13:38:43Z,,lukewhiting,">bug,:Data Management/ILM+SLM,Team:Data Management"
elastic/elasticsearch,3561547019,137259,[CI] EsqlClientYamlIT test {p0=esql/40_tsdb/error on rename timestamp} failing,open,3,2025-10-28T13:21:00Z,2025-10-29T15:13:39Z,,elasticsearchmachine,">test-failure,Team:Analytics,:Analytics/ES|QL,needs:risk"
elastic/elasticsearch,3561532675,137258,[CI] ComponentTemplatesFileSettingsIT testSettingsApplied failing,open,4,2025-10-28T13:17:36Z,2025-10-28T13:35:53Z,,elasticsearchmachine,">test-failure,:Data Management/Indices APIs,Team:Data Management,needs:risk"
elastic/elasticsearch,3561514167,137257,Dependency Dashboard,open,0,2025-10-28T13:12:55Z,2025-10-29T01:12:37Z,,elastic-renovate-prod[bot],needs:triage
elastic/elasticsearch,3561284274,137242,ES|QL sparse vector support,open,2,2025-10-28T12:09:47Z,2025-10-28T19:34:37Z,,liranabn,":SearchOrg/Relevance,Team:Search Relevance,Team:Search - Relevance,:Search Relevance/ES|QL"
elastic/elasticsearch,3560834401,137239,[Data tier filtering] Filter by data tier (hot/warm...),open,0,2025-10-28T10:25:49Z,2025-10-28T10:27:38Z,,blookot,">enhancement,needs:triage"
elastic/elasticsearch,3560606228,137235,ESQL: Make LocalLogicalPlanOptimizerTests closer to production,open,1,2025-10-28T09:31:57Z,2025-10-28T09:32:33Z,,alex-spies,">test,Team:Analytics,:Analytics/ES|QL"
elastic/elasticsearch,3557810519,137209,Flexible field access pattern: Doesn't find dotted field name on matching prefix,open,1,2025-10-27T17:17:59Z,2025-10-27T17:18:24Z,,flash1293,":Data Management/Ingest Node,Team:Data Management"
elastic/elasticsearch,3557788320,137208,Datastream stats return 0 as maximum_timestamp,open,7,2025-10-27T17:11:55Z,2025-10-28T13:26:21Z,,nchaulet,">bug,:Data Management/Data streams,Team:Data Management,Team:StorageEngine,:StorageEngine/Codec"
elastic/elasticsearch,3557716771,137207,[CI] DatafeedJobsIT testDatafeedTimingStats_DatafeedRecreated failing,open,3,2025-10-27T16:53:44Z,2025-10-29T15:20:38Z,,elasticsearchmachine,">test-failure,:ml,Team:ML,needs:risk"
elastic/elasticsearch,3557276973,137201,[CI] DocsClientYamlTestSuiteIT test {yaml=reference/indices/analyze/line_275} failing,open,1,2025-10-27T15:12:52Z,2025-10-27T15:13:38Z,,elasticsearchmachine,":Delivery/Build,>test-failure,Team:Delivery,needs:risk"
elastic/elasticsearch,3557124385,137197,Migrate S3's `CompareAndExchangeOperation` to use conditional writes,open,3,2025-10-27T14:39:48Z,2025-10-27T22:30:54Z,,DaveCTurner,">enhancement,:Distributed Coordination/Snapshot/Restore,Team:Distributed Coordination"
