repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
google/guava,3547744614,8060,Feature Request: Add support for custom date formatting,open,2,2025-10-24T05:42:23Z,2025-10-27T16:12:05Z,,dustinStratis,"type=addition,P4"
google/guava,3536553438,8057,Add ImmutableMap Usage Example to README,closed,1,2025-10-21T13:24:00Z,2025-10-21T20:37:27Z,2025-10-21T20:36:59Z,InverseXenon,"type=enhancement,package=collect,status=will-not-fix,type=documentation"
google/guava,3522303267,8055,TimeoutException,closed,1,2025-10-16T15:02:45Z,2025-10-17T15:16:04Z,2025-10-17T15:15:47Z,CarlRahmstrom,status=invalid
google/guava,3456960452,8027,Outdated dependency detected in package googleguava,closed,2,2025-09-26T10:40:14Z,2025-09-26T11:35:01Z,2025-09-26T11:34:26Z,anmoljain-sap,
google/guava,3414205908,7985,Cache's compute misreports the removal cause of a collected entry,open,1,2025-09-13T22:10:32Z,2025-09-26T05:34:00Z,,ben-manes,"type=defect,status=triaged,package=cache,P3"
google/guava,3395129544,7975,Memory Leak in Cache.computeIfAbsent When Lambda Throws Exception,closed,1,2025-09-08T17:59:55Z,2025-09-16T18:14:32Z,2025-09-11T19:35:17Z,piyush-harness,"type=defect,package=cache,P3"
google/guava,3374735739,7963,webview Test,closed,1,2025-09-02T07:15:31Z,2025-09-02T11:06:29Z,2025-09-02T11:06:29Z,xc-chen3,
google/guava,3369579451,7958,TypeToken class do not respect Object#hashCode() method contract.,closed,1,2025-08-30T23:01:19Z,2025-09-08T13:48:18Z,2025-09-08T13:48:18Z,d-william,"type=defect,package=reflect,P4"
google/guava,3368298324,7957,TypeToken#getRawType allocates a lot,closed,4,2025-08-29T21:54:31Z,2025-10-03T13:50:55Z,2025-09-03T18:39:32Z,kilink,"package=reflect,type=performance,P3"
google/guava,3352531119,7952,Support custom load factor for ImmutableSet (i.e. ImmutableSet.builderWithExpectedLoadFactor(float)),closed,0,2025-08-25T16:50:16Z,2025-08-26T18:35:05Z,2025-08-26T18:35:05Z,yuanjiefu-sketch,type=addition
google/guava,3335546682,7950,GoogleLinkForClass,closed,0,2025-08-19T20:08:24Z,2025-08-19T20:12:12Z,2025-08-19T20:12:12Z,DanielMel7373,type=defect
google/guava,3296050387,7917,Add `rewrite` support for `errorprone.refasterrules`,closed,9,2025-08-06T09:55:32Z,2025-09-24T17:35:34Z,2025-08-11T15:01:17Z,Pankraz76,"type=addition,package=general,P3"
google/guava,3294700987,7915,Update guava-gwt pom.xml,closed,1,2025-08-05T23:27:14Z,2025-08-08T13:51:11Z,2025-08-08T13:51:11Z,RuslanSemchenko,
google/guava,3274821646,7908,Hibernate Interface mocking is failing Ex: EventSource,closed,10,2025-07-29T20:01:35Z,2025-08-11T15:06:37Z,2025-08-11T15:06:37Z,DKiran512,"type=defect,status=research"
