repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
kdn251/interviews,3473901557,254,Untitled,open,0,2025-10-01T14:39:51Z,2025-10-01T14:39:51Z,,Nans758,
kdn251/interviews,3254455289,250,Patron Builder,open,0,2025-07-23T00:42:21Z,2025-07-23T00:42:21Z,,ShirleyAar,
kdn251/interviews,3154577875,248,Translation to spanish,closed,0,2025-06-17T19:42:19Z,2025-06-18T02:13:36Z,2025-06-18T02:13:36Z,SantiagoCecena,
kdn251/interviews,3154571019,247,Translation to Spanish,open,4,2025-06-17T19:39:07Z,2025-06-17T20:03:41Z,,SantiagoCecena,
kdn251/interviews,2285014216,234,unable   to  open  ,closed,4,2024-05-08T08:32:28Z,2024-05-08T08:35:49Z,2024-05-08T08:32:39Z,aparnapra,
kdn251/interviews,1679334719,227,Explanation ,closed,0,2023-04-22T04:55:12Z,2023-04-22T06:02:18Z,2023-04-22T06:02:18Z,R-Alothaim,
kdn251/interviews,1604759889,226,Interview,closed,0,2023-03-01T11:08:45Z,2023-03-01T11:10:39Z,2023-03-01T11:10:39Z,acafecat,
kdn251/interviews,1402286078,221,Writing DAX for comparing result of ,open,8,2022-10-09T14:09:00Z,2025-01-17T07:03:33Z,,sairamunir1,
kdn251/interviews,1342336938,217,Should be min of min and value at indes,closed,2,2022-08-17T22:08:53Z,2022-08-17T22:11:48Z,2022-08-17T22:11:48Z,kedhas,
kdn251/interviews,1202837021,211,Rename the CTCI chapters,open,2,2022-04-13T06:48:34Z,2023-06-01T22:12:29Z,,yadunandanbhat,
kdn251/interviews,1007465514,200,Misleading example for the Greedy Algorithms section,open,1,2021-09-26T18:24:31Z,2023-06-01T22:18:21Z,,efeberkeevci,
kdn251/interviews,829111561,193,Deque interface should be used instead of Stack class in sorting a stack,open,0,2021-03-11T12:35:58Z,2021-03-11T12:42:41Z,,TanyaAgarwal28,
kdn251/interviews,718672153,183,Interview,closed,0,2020-10-10T18:04:48Z,2020-10-10T18:05:57Z,2020-10-10T18:05:57Z,ibobby,
kdn251/interviews,686916719,174,Interview,closed,9,2020-08-27T03:51:42Z,2023-08-09T11:01:19Z,2023-08-09T10:58:11Z,sumanthsumu1418,
kdn251/interviews,653453949,165,LeetCode Python Solutions,closed,0,2020-07-08T16:59:01Z,2020-07-20T18:51:27Z,2020-07-20T18:51:27Z,shubhamsah,
kdn251/interviews,605896743,158,binary search tree,open,2,2020-04-23T21:49:20Z,2025-07-21T20:56:39Z,,markocska,
kdn251/interviews,597509409,156,NPE bugs in MaximumProductOfWordLengths.java and RemoveDuplicatesFromSortedArray.java,open,3,2020-04-09T19:40:29Z,2020-10-30T11:12:59Z,,HermioneSW,
kdn251/interviews,585754449,155,Code missing ,closed,0,2020-03-22T16:15:46Z,2020-03-22T16:16:13Z,2020-03-22T16:16:13Z,VSofficial,
kdn251/interviews,547998520,154,Bug in google/3sumsmaller,open,0,2020-01-10T10:31:05Z,2020-01-10T10:31:05Z,,kunacanonical,
kdn251/interviews,536929534,152,Compilation Error in FindMissingInteger class,open,0,2019-12-12T11:47:49Z,2019-12-12T11:47:49Z,,vijayakumarbathini,
kdn251/interviews,510438127,144,Adding more problems for Adobe,open,2,2019-10-22T05:33:47Z,2023-04-29T15:56:36Z,,astra-px,
kdn251/interviews,476589796,129,"Master is not compiling, Missing import statements(Java 8)",open,1,2019-08-04T20:17:15Z,2021-11-08T18:49:58Z,,rahilsh,
kdn251/interviews,464636038,127,Open a catalog：interviews/company/Alibaba,open,1,2019-07-05T13:14:59Z,2020-08-24T06:00:23Z,,AlexanderChen-Real,
kdn251/interviews,452548227,125,Hi ValidParentheses.java ,open,9,2019-06-05T14:53:50Z,2022-02-13T18:40:14Z,,richardkelly2014,
kdn251/interviews,451776657,124,leetcode/array/LongestConsecutiveSequence.java,closed,0,2019-06-04T03:10:20Z,2019-12-10T08:41:55Z,2019-12-10T08:41:55Z,chr1shung,
kdn251/interviews,451596680,123,How did you guys visualize all those algorithms?,closed,3,2019-06-03T17:16:54Z,2019-06-10T14:07:28Z,2019-06-10T14:07:28Z,rohitkrishna094,
kdn251/interviews,443114701,122,SearchInRotatedSortedArray Invalid Solution,closed,4,2019-05-12T15:10:56Z,2019-05-14T15:00:45Z,2019-05-14T15:00:45Z,nitesh619,
kdn251/interviews,412192723,118,BST incorrect time complexity ,open,1,2019-02-20T00:49:16Z,2019-07-02T17:25:30Z,,Rohithyeravothula,
kdn251/interviews,395075411,114,Add Computer Science Learning Notes,open,2,2019-01-01T11:32:34Z,2019-01-09T22:31:29Z,,CmderQ,
kdn251/interviews,385973412,112,WordBreak,open,2,2018-11-29T23:34:16Z,2018-11-30T02:05:49Z,,knasim,
kdn251/interviews,379348938,109,run length encoding,open,2,2018-11-09T22:48:51Z,2018-11-29T23:49:08Z,,knasim,
kdn251/interviews,372576685,108,null,open,8,2018-10-22T15:45:26Z,2022-05-12T04:38:21Z,,sunthef,
kdn251/interviews,371620010,107,BFS and DFS illustration images should be in respective sections,open,0,2018-10-18T16:49:57Z,2018-10-18T16:49:57Z,,IAmPramod,
kdn251/interviews,370111000,106,Translation,closed,0,2018-10-15T11:05:20Z,2018-10-19T00:51:35Z,2018-10-19T00:51:35Z,baeharam,
kdn251/interviews,360585976,101,tips?,closed,1,2018-09-15T23:43:33Z,2018-09-25T04:28:09Z,2018-09-25T04:28:09Z,EdSaleh,
kdn251/interviews,358374748,100,Add implementation of BST Iterator using queue,open,2,2018-09-09T12:28:45Z,2018-10-06T11:44:14Z,,IAmPramod,
kdn251/interviews,358374527,99,Replace String Concatenation with StringBuilder,open,1,2018-09-09T12:24:50Z,2018-12-18T07:46:36Z,,IAmPramod,
kdn251/interviews,350192168,94,leetcode/hash-table/TwoSum.java,open,11,2018-08-13T20:59:33Z,2024-07-26T16:38:43Z,,knasim,
kdn251/interviews,347183837,91,interviews/company/facebook/GroupAnagrams.java,open,2,2018-08-02T21:38:07Z,2018-08-13T20:49:44Z,,knasim,
kdn251/interviews,324505609,85,Heap image is misleading,open,1,2018-05-18T18:15:38Z,2018-07-06T05:24:48Z,,SamuelYvon,
kdn251/interviews,306122375,66,Update Java code to follow Java 8 syntax,open,6,2018-03-17T02:51:31Z,2020-07-19T06:45:26Z,,dutta14,
kdn251/interviews,295505237,63,Specify the license,closed,2,2018-02-08T13:07:43Z,2018-04-10T02:18:25Z,2018-04-10T02:18:25Z,vmarkovtsev,
kdn251/interviews,291748561,61,Add C++ solutions for CTCI,open,2,2018-01-25T23:11:39Z,2018-01-30T03:05:29Z,,abhinav042,
kdn251/interviews,280771942,59,Dijkstra's Time Complexity,open,0,2017-12-10T01:12:59Z,2017-12-10T01:12:59Z,,changyujiang,
kdn251/interviews,275676928,56,Alternate code for AllPermutations,open,0,2017-11-21T11:27:07Z,2017-11-21T11:27:07Z,,scottwar34,
kdn251/interviews,261905858,52,Complexity of Dijkstra's and Prim's,open,4,2017-10-01T10:11:08Z,2018-06-07T02:51:17Z,,ip4368,
kdn251/interviews,255770767,46,UC Berkley YouTube channel removed lecture videos,closed,2,2017-09-06T23:24:21Z,2018-04-18T16:09:25Z,2018-04-18T16:09:25Z,brandonmanke,
kdn251/interviews,255691402,45,https://github.com/cmgraff/grafland,open,1,2017-09-06T17:57:57Z,2020-08-24T06:05:23Z,,ghost,
kdn251/interviews,255407311,44,Incorrect (?) time complexities for Heap operations,closed,10,2017-09-05T21:00:33Z,2017-09-17T17:24:33Z,2017-09-17T17:24:33Z,yangshun,
kdn251/interviews,221464957,35,Adding a direct link to code in directory tree in readme.md,closed,7,2017-04-13T05:53:07Z,2017-04-27T10:51:44Z,2017-04-27T10:51:44Z,jitendra3109,
