repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
macrozheng/mall,3443346277,931,[security vulnerability]  arbitrary order cancel,closed,0,2025-09-23T01:58:54Z,2025-09-23T01:59:21Z,2025-09-23T01:59:21Z,cvecommit-byte,
macrozheng/mall,3291840079,922,阿里通义灵码的入门文档居然用的是你的代码,closed,0,2025-08-05T06:57:21Z,2025-08-11T02:20:40Z,2025-08-11T02:20:40Z,jcatom,
macrozheng/mall,3165618341,917,New founctions新增功能,closed,0,2025-06-22T03:13:11Z,2025-06-23T00:23:20Z,2025-06-23T00:23:20Z,hellobo2802,
macrozheng/mall,3044931648,911,tool for drawing architect,closed,1,2025-05-07T07:06:10Z,2025-05-08T01:34:47Z,2025-05-08T01:34:46Z,ThanhDat2804,
macrozheng/mall,3038833807,910,403 error- access denied,closed,1,2025-05-05T07:29:52Z,2025-05-05T07:44:25Z,2025-05-05T07:43:55Z,ThanhDat2804,
macrozheng/mall,2984839825,905,mall-demo,closed,2,2025-04-10T08:09:16Z,2025-04-11T02:49:01Z,2025-04-11T02:23:30Z,ThanhDat2804,
macrozheng/mall,2906684010,896,请问支持微信小程序端吗,closed,4,2025-03-10T09:53:04Z,2025-03-13T01:41:17Z,2025-03-13T01:41:15Z,panyy97,
macrozheng/mall,2865439698,895,部署文档写的第一个启动模块是geteway，结果代码中都没有这个模块。神奇。。。,closed,1,2025-02-20T08:30:46Z,2025-02-21T00:47:25Z,2025-02-21T00:47:24Z,ivanvolt-labs,
macrozheng/mall,2857291548,892,缺了个商家入住功能,closed,3,2025-02-17T09:36:43Z,2025-02-18T01:50:00Z,2025-02-18T01:49:58Z,KongZouXiang,
macrozheng/mall,2807199367,891,请问接口文档在哪里,closed,1,2025-01-23T15:24:17Z,2025-01-26T01:54:58Z,2025-01-26T01:54:57Z,Lzhili,
macrozheng/mall,2760091911,887,404,closed,1,2024-12-26T19:47:31Z,2024-12-27T12:10:41Z,2024-12-27T12:10:41Z,17654567443224,
macrozheng/mall,2737169943,884,动态鉴权管理器路径匹配优化,open,0,2024-12-13T01:13:31Z,2024-12-13T01:13:31Z,,taofangf,
