repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
skylot/jadx,3565627965,2677,[core] stores AppData/Local,open,1,2025-10-29T11:57:17Z,2025-10-29T12:34:00Z,,Bozinsky2023,"bug,Core"
skylot/jadx,3561576731,2676,[core] Decompiling non-standard dex files will cause memory leaks,open,4,2025-10-28T13:27:19Z,2025-10-28T21:38:51Z,,ohyeah521,"bug,CLI,Core"
skylot/jadx,3553761712,2672,[gui] It can not open apk files with unicode names,open,1,2025-10-26T10:50:44Z,2025-10-26T11:07:40Z,,mf275,"bug,GUI,can't reproduce,waiting for reply"
skylot/jadx,3553199092,2671,java.lang.Error: Error: could not match input,closed,1,2025-10-26T02:25:04Z,2025-10-26T07:01:52Z,2025-10-26T07:01:52Z,johnnycash12345,
skylot/jadx,3537488168,2669,java.lang.Error: Error: could not match input,open,1,2025-10-21T17:20:43Z,2025-10-23T21:47:24Z,,vaagishwar,"bug,GUI,no-sample,waiting for fix confirmation"
skylot/jadx,3534987071,2668,"[core] NullPointerException because ""changeArg"" is null",closed,3,2025-10-21T05:48:01Z,2025-10-22T07:03:49Z,2025-10-22T07:03:48Z,yooo1999,"bug,Core,no-sample,waiting for reply"
skylot/jadx,3534685298,2667,Error encountered when installing plugin,closed,1,2025-10-21T03:10:39Z,2025-10-21T07:19:38Z,2025-10-21T07:17:42Z,Marvellous890,
skylot/jadx,3531349019,2665,[gui] ERROR: JadxRuntimeException in pass: RegionMakerVisitor,open,0,2025-10-20T07:22:10Z,2025-10-20T07:22:10Z,,yooo1999,"bug,GUI"
skylot/jadx,3525917131,2664,[gui] memory leak?,open,5,2025-10-17T12:14:11Z,2025-10-20T16:05:15Z,,Osanosa,"bug,GUI"
skylot/jadx,3522403853,2663,[gui] 启用mcp后 使用script mcp的端口就一直显示占用冲突 再添加一个脚本 又多一个冲突,closed,1,2025-10-16T15:29:15Z,2025-10-16T16:11:54Z,2025-10-16T16:11:54Z,zbssnya,"bug,GUI"
skylot/jadx,3520430424,2662,[gui] 1.5.3 Chinese comments appear garbled,closed,6,2025-10-16T05:57:49Z,2025-10-24T19:10:50Z,2025-10-24T18:49:48Z,19990822,"bug,GUI"
skylot/jadx,3520263935,2661,"java.lang.NullPointerException: Cannot invoke ""jadx.gui.ui.codearea.AbstractCodeArea.getSelectedText()"" because ""codeArea"" is null",closed,1,2025-10-16T04:20:04Z,2025-10-16T07:05:04Z,2025-10-16T07:05:04Z,s2ongmo,
skylot/jadx,3518496431,2660,jadx.core.utils.exceptions.JadxRuntimeException: Failed to build hash for inputs,closed,1,2025-10-15T15:12:45Z,2025-10-15T17:50:09Z,2025-10-15T17:50:09Z,slavik1bai-coder,
skylot/jadx,3518495790,2659,JadxRuntimeException: Failed to build hash for inputs,open,2,2025-10-15T15:12:35Z,2025-10-18T21:08:56Z,,slavik1bai-coder,"bug,GUI,discussion"
skylot/jadx,3511033319,2657,jadx.core.utils.exceptions.JadxRuntimeException: Failed to build hash for inputs,closed,1,2025-10-13T18:19:38Z,2025-10-14T08:29:31Z,2025-10-14T08:29:31Z,njange,
skylot/jadx,3507717482,2656,[core] Failed to find 'out' block for switch. Please report as an issue.,open,0,2025-10-12T19:00:23Z,2025-10-18T21:13:57Z,,nitram84,"bug,Core,restructure"
skylot/jadx,3503603332,2653,java.lang.IndexOutOfBoundsException: len=-1485,open,1,2025-10-10T16:18:10Z,2025-10-13T08:07:36Z,,BOMBYBOOO,
skylot/jadx,3501604244,2652,[gui] Classes from plugin are not resolvable during kotlin-scripting compilation starting from Jadx 1.5.3,closed,3,2025-10-10T06:47:08Z,2025-10-13T12:38:04Z,2025-10-12T02:53:30Z,chsbuffer,"question,waiting for reply,jadx-plugin"
skylot/jadx,3493559725,2650,[core] Too many Warning！,open,0,2025-10-08T02:04:25Z,2025-10-08T02:04:25Z,,OKKAWA,"bug,Core"
