repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
spring-projects/spring-boot,3566432188,47865,[Spring Boot 3.5] AsyncExecutionAspectSupport can't find default task executor,open,1,2025-10-29T14:58:33Z,2025-10-29T15:15:08Z,,spec8472,"status: waiting-for-feedback,status: waiting-for-triage"
spring-projects/spring-boot,3566404839,47864,Custom Jackson serializers are no longer included in WebMvcTest and WebFluxTest,open,1,2025-10-29T14:52:52Z,2025-10-29T15:02:15Z,,donalmurtagh,type: regression
spring-projects/spring-boot,3566155485,47863,Support Cassandra with Flyway,open,0,2025-10-29T14:02:08Z,2025-10-29T14:05:39Z,,rbleuse,status: waiting-for-triage
spring-projects/spring-boot,3565603815,47862,[UnsupportedConfigDataLocationException] Can not mount external configuration file,open,4,2025-10-29T11:49:53Z,2025-10-29T13:55:41Z,,sant1ago-da-hanoi,"status: waiting-for-triage,status: feedback-provided"
spring-projects/spring-boot,3565389009,47861,does springboot 3.5.0 support jdk25,closed,2,2025-10-29T10:51:35Z,2025-10-29T11:08:12Z,2025-10-29T11:08:04Z,john1337,status: invalid
spring-projects/spring-boot,3565288872,47860,Limit Kotlin API documentation to Kotlin-specific APIs,closed,0,2025-10-29T10:25:17Z,2025-10-29T10:25:34Z,2025-10-29T10:25:34Z,wilkinsona,"type: documentation,status: forward-port"
spring-projects/spring-boot,3565217950,47859,Limit Kotlin API documentation to Kotlin-specific APIs,closed,0,2025-10-29T10:06:26Z,2025-10-29T10:25:33Z,2025-10-29T10:25:33Z,wilkinsona,"type: documentation,status: forward-port"
spring-projects/spring-boot,3565005956,47858,Support loading file-based service bindings,open,1,2025-10-29T09:07:19Z,2025-10-29T10:16:24Z,,beyhan,status: waiting-for-triage
spring-projects/spring-boot,3564096584,47857,Please allow configuring the port used by the autowired UriBuilderFactoryWebClient,open,3,2025-10-29T02:40:35Z,2025-10-29T15:17:19Z,,rwinch,"status: waiting-for-triage,status: waiting-for-internal-feedback"
spring-projects/spring-boot,3563258037,47855,Configured adapter for `@HttpExchange` proxy group is ignored (Boot 4),closed,1,2025-10-28T20:28:27Z,2025-10-28T20:35:10Z,2025-10-28T20:35:04Z,ch4mpy,for: external-project
spring-projects/spring-boot,3562388655,47853,Annotation processors stop working after 3.5.7 -> 4.0.0-RC1,closed,4,2025-10-28T16:28:12Z,2025-10-29T10:51:25Z,2025-10-29T06:15:54Z,OrangeDog,
spring-projects/spring-boot,3562154075,47852,Merge configuration metadata changelog configuration for 4.0,closed,0,2025-10-28T15:33:38Z,2025-10-28T15:40:44Z,2025-10-28T15:40:43Z,snicoll,type: task
spring-projects/spring-boot,3561906829,47851,Upgrade to Spring HATEOAS 3.0.0-RC2,open,0,2025-10-28T14:37:27Z,2025-10-28T14:37:27Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3561906520,47850,Upgrade to Spring Framework 7.0.0-RC3,open,0,2025-10-28T14:37:23Z,2025-10-28T14:37:23Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3561731075,47849,spring-boot-webtestclient is missing from GraphQL test starter,closed,0,2025-10-28T14:02:03Z,2025-10-28T14:09:41Z,2025-10-28T14:09:40Z,snicoll,type: bug
spring-projects/spring-boot,3561115203,47848,Support for ReactiveElasticsearchClient is in the wrong module,open,0,2025-10-28T11:27:45Z,2025-10-29T10:33:52Z,,wilkinsona,type: bug
spring-projects/spring-boot,3560948874,47847,Upgrade to Elasticsearch Client 9.2.0,closed,1,2025-10-28T10:49:56Z,2025-10-28T14:34:14Z,2025-10-28T14:34:14Z,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3560163094,47846,Bump actions/upload-artifact from 4 to 5,closed,0,2025-10-28T07:23:26Z,2025-10-28T07:23:36Z,2025-10-28T07:23:36Z,snicoll,"type: task,status: forward-port"
spring-projects/spring-boot,3560162832,47845,Bump actions/upload-artifact from 4 to 5,closed,0,2025-10-28T07:23:20Z,2025-10-28T07:23:35Z,2025-10-28T07:23:35Z,snicoll,"type: task,status: forward-port"
spring-projects/spring-boot,3560114972,47844,Upgrade to Spring Security 7.0.0-RC2,open,0,2025-10-28T07:08:48Z,2025-10-28T07:08:48Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3560114821,47843,Upgrade to Spring Data Bom 2025.1.0-RC2,open,0,2025-10-28T07:08:44Z,2025-10-28T07:08:44Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3560114670,47842,Upgrade to Spring Batch 6.0.0-RC2,open,0,2025-10-28T07:08:40Z,2025-10-28T07:08:40Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3560110163,47841,Switch to same-minor-version upgrade policy for post-RC phase,closed,0,2025-10-28T07:07:08Z,2025-10-28T07:15:15Z,2025-10-28T07:15:15Z,snicoll,type: task
spring-projects/spring-boot,3558276235,47838,Can't mock the `Authentication` in servlets tests security context with Boot `4.0.0-RC1` without `spring-boot-starter-test-classic`,closed,3,2025-10-27T19:24:42Z,2025-10-28T17:49:08Z,2025-10-28T07:12:18Z,ch4mpy,status: invalid
spring-projects/spring-boot,3557900810,47837,Caused by: java.nio.file.FileAlreadyExistsException: target/spring-aot/test/resources/META-INF/spring/logback-model,open,1,2025-10-27T17:43:52Z,2025-10-27T18:44:53Z,,paolo-piccinini-sporty,"status: waiting-for-feedback,status: waiting-for-triage"
spring-projects/spring-boot,3557798227,47836,Use starters consistently in smoke tests,closed,0,2025-10-27T17:14:10Z,2025-10-28T10:22:16Z,2025-10-28T10:22:06Z,snicoll,type: task
spring-projects/spring-boot,3557634097,47835,TestRestTemplate not autoconfigured ? 4.0.0-RC1 regression,closed,2,2025-10-27T16:32:53Z,2025-10-27T17:07:13Z,2025-10-27T16:55:48Z,fbus,
spring-projects/spring-boot,3556967846,47834,Upgrade to Spring Batch 6.0.0,open,0,2025-10-27T14:05:45Z,2025-10-27T14:05:45Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556965411,47833,Upgrade to Spring WS 5.0.0,open,0,2025-10-27T14:05:09Z,2025-10-27T14:05:09Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556965069,47832,Upgrade to Spring Security 7.0.0,open,0,2025-10-27T14:05:05Z,2025-10-27T14:05:05Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556964782,47831,Upgrade to Spring RESTDocs 4.0.0,open,0,2025-10-27T14:05:01Z,2025-10-27T14:05:02Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556964523,47830,Upgrade to Spring Pulsar 2.0.0,open,0,2025-10-27T14:04:58Z,2025-10-27T14:04:58Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556964287,47829,Upgrade to Spring Kafka 4.0.0,open,0,2025-10-27T14:04:54Z,2025-10-27T14:04:54Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556963938,47828,Upgrade to Spring Integration 7.0.0,open,0,2025-10-27T14:04:50Z,2025-10-27T14:04:50Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556963473,47827,Upgrade to Spring HATEOAS 3.0.0,open,0,2025-10-27T14:04:46Z,2025-10-27T14:04:46Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556963219,47826,Upgrade to Spring GraphQL 2.0.0,open,0,2025-10-27T14:04:42Z,2025-10-27T14:04:42Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556962970,47825,Upgrade to Spring Framework 7.0.0,open,0,2025-10-27T14:04:38Z,2025-10-27T14:04:38Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556962707,47824,Upgrade to Spring Data Bom 2025.1.0,open,0,2025-10-27T14:04:34Z,2025-10-27T14:04:34Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556962352,47823,Upgrade to Spring AMQP 4.0.0,open,0,2025-10-27T14:04:30Z,2025-10-27T14:04:30Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556962087,47822,Upgrade to Reactor Bom 2025.0.0,open,0,2025-10-27T14:04:26Z,2025-10-27T14:04:26Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556961642,47821,Upgrade to Micrometer Tracing 1.6.0,open,0,2025-10-27T14:04:22Z,2025-10-27T14:04:22Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556961207,47820,Upgrade to Micrometer 1.16.0,open,0,2025-10-27T14:04:18Z,2025-10-27T14:04:18Z,,snicoll,type: dependency-upgrade
spring-projects/spring-boot,3556957361,47819,Test against snapshots of the upcoming majors,closed,1,2025-10-27T14:03:23Z,2025-10-27T15:10:29Z,2025-10-27T15:10:17Z,snicoll,type: task
spring-projects/spring-boot,3556921275,47818,Fix typos,closed,0,2025-10-27T13:55:45Z,2025-10-27T13:56:04Z,2025-10-27T13:56:04Z,snicoll,"type: task,status: forward-port"
spring-projects/spring-boot,3556907958,47817,Fix typos,closed,0,2025-10-27T13:52:52Z,2025-10-27T13:56:52Z,2025-10-27T13:56:42Z,snicoll,"status: duplicate,type: task,status: forward-port"
spring-projects/spring-boot,3556880162,47816,Fix typos,closed,0,2025-10-27T13:47:00Z,2025-10-27T13:56:03Z,2025-10-27T13:56:03Z,snicoll,"type: task,status: forward-port"
spring-projects/spring-boot,3556798156,47815,Avoid running buildSrc tests automatically,closed,4,2025-10-27T13:28:19Z,2025-10-28T07:54:33Z,2025-10-27T13:36:02Z,vpavic,status: declined
spring-projects/spring-boot,3556779300,47814,websocket integration test failed after upgrading to 4.0.0-RC1,closed,3,2025-10-27T13:23:46Z,2025-10-27T14:44:52Z,2025-10-27T14:44:43Z,mjd507,for: external-project
spring-projects/spring-boot,3555944655,47813,spring-boot-security brings test dependencies,closed,1,2025-10-27T09:50:31Z,2025-10-27T10:40:12Z,2025-10-27T10:40:12Z,marcrohlfs,type: bug
spring-projects/spring-boot,3555794525,47812,Investigate why 47811 didn't cause a build failure,closed,0,2025-10-27T09:15:48Z,2025-10-27T10:04:38Z,2025-10-27T10:04:38Z,wilkinsona,type: task
spring-projects/spring-boot,3555672407,47811,@JsonTest and @AutoConfigureJson fail when using spring-boot-jackson2,closed,3,2025-10-27T08:42:19Z,2025-10-27T10:04:37Z,2025-10-27T10:04:37Z,marcrohlfs,type: bug
spring-projects/spring-boot,3555225980,47810,"Spring Boot 4.0.0-SNAPSHOT Security Tests with @WithMockUser, @WithUserDetails not working",closed,3,2025-10-27T06:14:21Z,2025-10-27T07:48:16Z,2025-10-27T06:57:35Z,sivaprasadreddy,status: invalid
spring-projects/spring-boot,3555144758,47809,Regression on 4.0.0-RC1: spring-boot-starter-kotlin-serialization,open,3,2025-10-27T05:41:29Z,2025-10-29T15:01:53Z,,bcmedeiros,"status: waiting-for-triage,status: feedback-provided"
spring-projects/spring-boot,3554414513,47806,Possible regression in 4.0.0-RC1 - tries to publish OTLP metrics,closed,3,2025-10-26T20:23:55Z,2025-10-27T09:27:27Z,2025-10-27T09:26:43Z,gatisnolv,
spring-projects/spring-boot,3550806607,47800,AOT executable issue after upgrading to 4.0.0-M1/M2/M3,closed,1,2025-10-24T19:46:17Z,2025-10-25T08:26:16Z,2025-10-25T05:38:04Z,bpstelios10,status: duplicate
spring-projects/spring-boot,3550260683,47799,AOT / CDS not working with javaagent,closed,1,2025-10-24T16:52:19Z,2025-10-24T18:46:33Z,2025-10-24T18:46:20Z,alexbujenita,"status: invalid,for: stackoverflow"
spring-projects/spring-boot,3549824744,47798,Message converter ordering impedes overriding,open,3,2025-10-24T14:43:09Z,2025-10-27T12:32:53Z,,wilkinsona,type: bug
spring-projects/spring-boot,3549620486,47796,Deprecated testcontainers implementations are no longer detected,closed,0,2025-10-24T13:52:36Z,2025-10-24T15:51:29Z,2025-10-24T15:51:28Z,snicoll,type: bug
