repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
spring-projects/spring-framework,3564886902,35712,Allow additional ParameterResolver implementations to be registered in SpringExtension,open,2,2025-10-29T08:29:52Z,2025-10-29T14:53:00Z,,snicoll,"status: waiting-for-triage,in: test"
spring-projects/spring-framework,3564673759,35711,JPA AOT processing needs to register non-public accessors on entity types for reflection if property access is activated,open,0,2025-10-29T07:14:09Z,2025-10-29T11:30:51Z,,odrotbohm,status: waiting-for-triage
spring-projects/spring-framework,3564050977,35709,`HtmlUnitRequestBuilder` Creates `ServletRequet.getServerPort() = -1`,open,0,2025-10-29T02:14:30Z,2025-10-29T09:17:42Z,,rwinch,"status: waiting-for-triage,in: test,in: web"
spring-projects/spring-framework,3564523303,35710,`@Bean` method matches on returned instance type instead of method return type,open,1,2025-10-28T23:14:39Z,2025-10-29T09:14:32Z,,MrThreepwood,"status: waiting-for-feedback,status: waiting-for-triage"
spring-projects/spring-framework,3563289789,35707,Configured adapter for @HttpExchange proxy group is ignored (7.0.0-RC2),open,0,2025-10-28T20:38:05Z,2025-10-28T23:07:51Z,,ch4mpy,status: waiting-for-triage
spring-projects/spring-framework,3562710947,35706,Support for JTA 2.1 timeout attribute,open,0,2025-10-28T17:51:08Z,2025-10-28T17:51:08Z,,jhoeller,"in: data,type: enhancement"
spring-projects/spring-framework,3562695260,35705,Early support for JPA 4.0 and Hibernate ORM 8.0,open,0,2025-10-28T17:46:57Z,2025-10-29T07:00:16Z,,jhoeller,"in: data,type: enhancement"
spring-projects/spring-framework,3562403545,35704,Review HttpMessageConverters.Builder to improve readability of code using the API,open,1,2025-10-28T16:31:55Z,2025-10-28T17:28:59Z,,wilkinsona,"in: web,type: enhancement"
spring-projects/spring-framework,3562228796,35703,Deprecate Hamcrest methods in WebTestClient,closed,0,2025-10-28T15:50:35Z,2025-10-29T09:50:50Z,2025-10-29T09:50:50Z,rstoyanchev,"in: test,type: enhancement"
spring-projects/spring-framework,3562206838,35702,Remove Hamcrest dependency from RestTestClient,closed,0,2025-10-28T15:45:26Z,2025-10-29T09:50:49Z,2025-10-29T09:50:49Z,rstoyanchev,"in: test,type: enhancement"
spring-projects/spring-framework,3562189015,35701,AssertJ support for RestTestClient,open,0,2025-10-28T15:41:04Z,2025-10-28T15:41:04Z,,rstoyanchev,"in: test,type: enhancement"
spring-projects/spring-framework,3561929034,35700,AbstractStreamingClientHttpRequest isn't actually streaming but buffering,open,0,2025-10-28T14:42:51Z,2025-10-28T15:24:15Z,,mdeinum,status: waiting-for-triage
spring-projects/spring-framework,3561510098,35699,Remove `jibx-marshaller` element from `spring-oxm.xsd`,closed,1,2025-10-28T13:11:45Z,2025-10-28T14:40:33Z,2025-10-28T14:40:15Z,sdeleuze,"in: data,type: bug"
spring-projects/spring-framework,3561109956,35697,Use `TEST_METHOD` `ExtensionContextScope` in `SpringExtension` by default,open,1,2025-10-28T11:26:24Z,2025-10-29T11:59:33Z,,sbrannen,"in: test,type: enhancement"
spring-projects/spring-framework,3560402657,35695,sql-errors-codes.xml没有支持对oceanbase数据库的支持，是否会支持添加？,open,0,2025-10-28T08:36:37Z,2025-10-28T08:36:43Z,,MeAdhere,status: waiting-for-triage
spring-projects/spring-framework,3560383716,35694,Remove support for callable references in `BeanRegistrarDsl`,closed,3,2025-10-28T08:31:07Z,2025-10-28T14:37:49Z,2025-10-28T08:53:59Z,sdeleuze,"in: core,type: enhancement,theme: kotlin"
spring-projects/spring-framework,3558558312,35692,NullPointerException When Handling 407 with JdkClientHttpConnector in WebClient,closed,2,2025-10-27T20:35:37Z,2025-10-28T12:08:22Z,2025-10-28T12:08:03Z,matthew-js-porter,"in: web,type: enhancement"
spring-projects/spring-framework,3558657645,35693,Spring Boot 4.0.0-RC1: JUnit test discovery fails depending on a Kotlin test name,closed,4,2025-10-27T20:13:09Z,2025-10-28T11:29:58Z,2025-10-28T11:29:36Z,sultazat,for: external-project
spring-projects/spring-framework,3557882842,35691,Consider to add the dedicated MediaType for the application zip,closed,1,2025-10-27T17:38:24Z,2025-10-28T11:48:23Z,2025-10-28T11:48:17Z,mipo256,status: duplicate
spring-projects/spring-framework,3555652718,35690,[Spring Quartz] Error when create Quartz Job bean: Unsatisfied dependency expressed through method 'setMapWithEnumKeys',open,2,2025-10-27T08:36:28Z,2025-10-29T08:41:45Z,,ciprianbuzduga,"status: waiting-for-triage,in: core,status: feedback-provided"
spring-projects/spring-framework,3554475419,35689,Document automatic context propagation,closed,1,2025-10-26T21:43:44Z,2025-10-27T10:11:43Z,2025-10-27T10:11:42Z,gatisnolv,"type: documentation,theme: kotlin"
spring-projects/spring-framework,3553041993,35688,Consider extending the `BeanRegistrar.register(...)` method to include an additional `AnnotationMetadata` argument.,closed,1,2025-10-25T22:13:14Z,2025-10-26T14:53:06Z,2025-10-25T22:24:39Z,nosan,status: invalid
spring-projects/spring-framework,3550548926,35686,Requesting additional enhancements to allowed path patterns,open,0,2025-10-24T18:27:34Z,2025-10-24T20:30:44Z,,yogregg,"status: waiting-for-triage,in: core"
spring-projects/spring-framework,3547981054,35685,Replacement for Spring Retry’s `@Recover`?,open,0,2025-10-24T07:13:14Z,2025-10-24T09:30:04Z,,zyro23,"status: waiting-for-triage,in: core"
spring-projects/spring-framework,3545143214,35683,Is there any roadmap for Spring Framework 6.x to have an OSS LTS (Long-Term Support) release?,closed,1,2025-10-23T15:12:00Z,2025-10-23T15:34:30Z,2025-10-23T15:34:17Z,Akshay20240305,status: invalid
spring-projects/spring-framework,3543612698,35682,After upgrade from 6.1.16 to 6.2.12 beans defined by component-scan are not visible on Windows enviroment,open,3,2025-10-23T08:06:15Z,2025-10-28T12:16:04Z,,ansokpl,"status: waiting-for-triage,in: core,status: feedback-provided"
spring-projects/spring-framework,3542947608,35681,Add support for batching event delivery in @EventListener and @TransactionalEventListener,open,0,2025-10-23T02:55:43Z,2025-10-23T02:56:15Z,,krishnakumarp,status: waiting-for-triage
spring-projects/spring-framework,3540839474,35680,JUnit Jupiter `TEST_METHOD` `ExtensionContextScope` is not fully supported,closed,1,2025-10-22T13:16:38Z,2025-10-22T15:13:11Z,2025-10-22T15:12:49Z,sbrannen,"in: test,type: bug"
spring-projects/spring-framework,3539980003,35679,Support wildcard path elements at the start of path patterns,closed,2,2025-10-22T09:28:58Z,2025-10-22T11:28:17Z,2025-10-22T10:32:01Z,github-actions[bot],"in: web,type: enhancement,type: backport"
