repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
termux/termux-app,3555983588,4838,[Feature]: Minimal Termux Custom ROM Shell,closed,7,2025-10-27T10:01:17Z,2025-10-27T19:29:36Z,2025-10-27T12:45:06Z,BenutzerEinsZweiDrei,
termux/termux-app,3554080655,4837,[Bug]: emacs tutorilal alt-v with external keybolard comes out clipboard,open,0,2025-10-26T15:01:24Z,2025-10-26T15:01:24Z,,theothernighttheotherday,bug report
termux/termux-app,3552103848,4834,[Feature]: x11-repo and tur-repo support in v0.119 for Android 5/6,closed,4,2025-10-25T08:27:12Z,2025-10-25T09:44:47Z,2025-10-25T09:37:36Z,etoimene,
termux/termux-app,3548245870,4832,Backspace vibration,closed,1,2025-10-24T08:29:18Z,2025-10-24T08:43:52Z,2025-10-24T08:43:07Z,octavo,
termux/termux-app,3530519847,4826,[Bug]: Physical Keyboard Layout Issue on Termux / Android Device,closed,1,2025-10-19T22:41:55Z,2025-10-20T01:41:47Z,2025-10-20T01:41:43Z,BRONX-09,
termux/termux-app,3529932473,4825,Autocorrection regression after enabling voice input - commands get incorrectly autocorrected,closed,1,2025-10-19T10:18:22Z,2025-10-19T10:20:49Z,2025-10-19T10:20:49Z,dmikushin,
termux/termux-app,3529430107,4824,[Bug]: External applications cannot access the server running in Termux on Android 16,open,2,2025-10-19T02:18:51Z,2025-10-19T04:43:53Z,,nextincn,bug report
termux/termux-app,3514201085,4819,[Bug]: termux-setup-storage doesn’t create external-1 for USB drive on GrapheneOS,open,1,2025-10-14T14:27:46Z,2025-10-17T06:23:14Z,,Cletip,bug report
termux/termux-app,3502270642,4812,[Feature]: add termux x11 to playstore,closed,7,2025-10-10T10:26:29Z,2025-10-11T02:35:00Z,2025-10-10T10:50:16Z,FAD8,
termux/termux-app,3494349500,4809,[Bug]: storage not allowed in play store securyity patch latest,closed,1,2025-10-08T08:12:53Z,2025-10-09T05:07:18Z,2025-10-09T05:07:18Z,flfwpl,bug report
termux/termux-app,3476290479,4797,Report Text,closed,1,2025-10-02T06:49:45Z,2025-10-03T22:39:26Z,2025-10-03T22:39:26Z,azhacke,
termux/termux-app,3468818271,4790,[Bug]: Input using AnySoftKeyboard not appearing on screen until space or newline,closed,1,2025-09-30T10:59:23Z,2025-09-30T20:46:38Z,2025-09-30T20:46:34Z,docum3nt,
termux/termux-app,3467689605,4789,*shedrack -x,closed,2,2025-09-30T05:57:09Z,2025-09-30T08:44:02Z,2025-09-30T08:43:55Z,meshackabedinego8-arch,spam
termux/termux-app,3466204496,4788,[Bug]: Termux can't update repositories on Android 15,closed,9,2025-09-29T18:53:19Z,2025-09-29T20:51:55Z,2025-09-29T19:04:57Z,USERMAN7,bug report
termux/termux-app,3462927690,4786,[Bug]: automatic scroll is broken in One UI 8,closed,1,2025-09-29T01:54:55Z,2025-09-29T01:57:18Z,2025-09-29T01:56:37Z,AnonN10,
termux/termux-app,3462915171,4785,[Bug]: I found the Termux Master Bug,closed,11,2025-09-29T01:47:10Z,2025-10-07T09:03:58Z,2025-10-06T07:36:59Z,mdeaton83,wontfix
termux/termux-app,3460558881,4782,[Bug]: CANNOT LINK EXECUTABLE error when executing nslookup,closed,5,2025-09-27T17:35:34Z,2025-09-27T18:50:35Z,2025-09-27T18:32:52Z,Shararamosh,bug report
termux/termux-app,3459572790,4781,[Bug]: no longer able to launch or install the app after One UI 8 update,closed,4,2025-09-27T02:21:31Z,2025-09-27T17:57:05Z,2025-09-27T17:57:05Z,AnonN10,bug report
termux/termux-app,3457637307,4779,[Bug]: Android 15 font not loading correctly,closed,4,2025-09-26T13:18:16Z,2025-09-26T17:58:23Z,2025-09-26T17:58:19Z,elian1780,
termux/termux-app,3445327131,4776,[Bug]: Google Play Protect stops Termux from installing,closed,2,2025-09-23T13:32:31Z,2025-09-23T23:10:32Z,2025-09-23T13:36:58Z,Pacomatic1,
termux/termux-app,3440242953,4773,[Feature]: package Levenshtein,closed,0,2025-09-22T10:29:05Z,2025-09-22T10:33:35Z,2025-09-22T10:33:29Z,mathcodegeek,spam
termux/termux-app,3436119704,4769,Termux how long time Release new version,closed,2,2025-09-19T22:45:02Z,2025-09-19T23:23:09Z,2025-09-19T22:50:38Z,jin2005-issues,
termux/termux-app,3435144929,4768,[Bug]: trying to run composer (php) self update,closed,1,2025-09-19T17:07:01Z,2025-09-19T17:38:28Z,2025-09-19T17:38:07Z,remco-pc,wontfix
termux/termux-app,3434394675,4767,[Bug]: termux-setup-storage fails silently if no Termux:API installed,closed,5,2025-09-19T13:31:25Z,2025-09-19T20:09:29Z,2025-09-19T20:09:26Z,t-j-b,
termux/termux-app,3433345138,4765,[Bug]: Termux Crash report,closed,0,2025-09-19T08:05:08Z,2025-09-19T08:06:24Z,2025-09-19T08:06:18Z,nexora-main,bug report
termux/termux-app,3420623501,4762,[Bug]: ClassNotFoundException: IO.a,closed,1,2025-09-16T06:20:54Z,2025-09-16T07:28:40Z,2025-09-16T07:28:40Z,ascopes,bug report
termux/termux-app,3413584230,4757,[Bug]: some characters are strange,closed,4,2025-09-13T14:18:27Z,2025-09-13T15:52:23Z,2025-09-13T15:52:19Z,Capibarak,
termux/termux-app,3413007774,4756,[Feature]: Persist the official repo,closed,3,2025-09-13T09:37:35Z,2025-09-13T15:47:41Z,2025-09-13T09:48:23Z,xiv3r,
