repo_full_name,language,bytes
NationalSecurityAgency/ghidra,Java,98111728
NationalSecurityAgency/ghidra,C++,6775126
NationalSecurityAgency/ghidra,HTML,4720715
NationalSecurityAgency/ghidra,C,1812650
NationalSecurityAgency/ghidra,Python,1568485
NationalSecurityAgency/ghidra,Shell,378928
NationalSecurityAgency/ghidra,Yacc,127584
NationalSecurityAgency/ghidra,Xtend,117166
NationalSecurityAgency/ghidra,GAP,104599
NationalSecurityAgency/ghidra,Assembly,77536
NationalSecurityAgency/ghidra,TeX,58985
NationalSecurityAgency/ghidra,Batchfile,50855
NationalSecurityAgency/ghidra,PowerShell,36409
NationalSecurityAgency/ghidra,Hack,31483
NationalSecurityAgency/ghidra,Objective-C,24977
NationalSecurityAgency/ghidra,Lex,22745
NationalSecurityAgency/ghidra,CSS,18351
NationalSecurityAgency/ghidra,Makefile,16797
NationalSecurityAgency/ghidra,XSLT,16211
NationalSecurityAgency/ghidra,GDB,3289
NationalSecurityAgency/ghidra,Dockerfile,2288
NationalSecurityAgency/ghidra,Haskell,453
NationalSecurityAgency/ghidra,Lua,180
NationalSecurityAgency/ghidra,Linker Script,170
NationalSecurityAgency/ghidra,Pawn,101
