repo_full_name,language,bytes
eugenp/tutorials,Java,33068342
eugenp/tutorials,JavaScript,2615005
eugenp/tutorials,TypeScript,1531220
eugenp/tutorials,HTML,1360965
eugenp/tutorials,CSS,518806
eugenp/tutorials,Groovy,190318
eugenp/tutorials,AspectJ,71030
eugenp/tutorials,Shell,66868
eugenp/tutorials,SCSS,55343
eugenp/tutorials,FreeMarker,41336
eugenp/tutorials,RAML,38085
eugenp/tutorials,ANTLR,31940
eugenp/tutorials,Mustache,30095
eugenp/tutorials,Dockerfile,18502
eugenp/tutorials,Python,14778
eugenp/tutorials,HCL,13943
eugenp/tutorials,Gherkin,12518
eugenp/tutorials,Lua,11459
eugenp/tutorials,Batchfile,11085
eugenp/tutorials,Scala,8794
eugenp/tutorials,Vue,6847
eugenp/tutorials,XSLT,6692
eugenp/tutorials,Less,6310
eugenp/tutorials,C++,4361
eugenp/tutorials,Smithy,3353
eugenp/tutorials,Smalltalk,2426
eugenp/tutorials,PLpgSQL,2127
eugenp/tutorials,Kotlin,1938
eugenp/tutorials,Clojure,1892
eugenp/tutorials,Starlark,1638
eugenp/tutorials,Solidity,1542
eugenp/tutorials,Smarty,1142
eugenp/tutorials,Open Policy Agent,1042
eugenp/tutorials,Rich Text Format,810
eugenp/tutorials,Thrift,609
eugenp/tutorials,Pkl,579
eugenp/tutorials,C,512
eugenp/tutorials,Perl,485
eugenp/tutorials,CLIPS,383
eugenp/tutorials,Go,369
eugenp/tutorials,Pug,297
eugenp/tutorials,Makefile,221
eugenp/tutorials,Procfile,142
eugenp/tutorials,R,48
eugenp/tutorials,Handlebars,12
eugenp/tutorials,Fluent,1
