repo_full_name,language,bytes
spring-projects/spring-boot,Java,27465470
spring-projects/spring-boot,Kotlin,63585
spring-projects/spring-boot,HTML,41868
spring-projects/spring-boot,JavaScript,33592
spring-projects/spring-boot,Groovy,15026
spring-projects/spring-boot,Shell,11614
spring-projects/spring-boot,Ruby,8590
spring-projects/spring-boot,FreeMarker,3592
spring-projects/spring-boot,Batchfile,2740
spring-projects/spring-boot,Smarty,2737
spring-projects/spring-boot,Mustache,448
spring-projects/spring-boot,Dockerfile,287
spring-projects/spring-boot,Vim Snippet,135
spring-projects/spring-boot,CSS,115
