repo_full_name,language,bytes
spring-projects/spring-framework,Java,50100919
spring-projects/spring-framework,Kotlin,1068510
spring-projects/spring-framework,AspectJ,31750
spring-projects/spring-framework,FreeMarker,29906
spring-projects/spring-framework,Groovy,6914
spring-projects/spring-framework,XSLT,2945
spring-projects/spring-framework,HTML,1168
spring-projects/spring-framework,Ruby,1060
spring-projects/spring-framework,CSS,1019
spring-projects/spring-framework,Smarty,717
spring-projects/spring-framework,PLpgSQL,305
spring-projects/spring-framework,JavaScript,280
spring-projects/spring-framework,Python,254
