repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
PhilJay/MPAndroidChart,378177452,4822,closed,Render x-axis limit line label with a set font.,Shakenbeer,2020-02-21T09:06:24Z,2025-07-13T21:43:43Z,2025-07-13T21:43:43Z,,,,
PhilJay/MPAndroidChart,1865214043,5456,closed,Make MPAndroidChart compatible with Android Studio Iguana (2024),UrielFrankel,2024-05-12T08:48:45Z,2025-06-05T07:06:39Z,2025-06-05T07:06:39Z,2025-06-05T07:06:39Z,,,
PhilJay/MPAndroidChart,266309076,4474,closed,Make XAxisRenderer use XAxis XOffset,fonix232,2019-04-01T16:10:49Z,2025-02-28T11:14:11Z,2025-02-28T11:14:11Z,,,,
PhilJay/MPAndroidChart,2346814401,5505,closed,feat/unit tests for onTouch in BarLineChartTouchListener,Trighap52,2025-02-20T11:03:28Z,2025-02-21T08:59:03Z,2025-02-20T11:09:02Z,,,,
PhilJay/MPAndroidChart,1648710766,5433,closed,Fixes issue #4334 where zoomAndCenterAnimated did not center,SimonJackler,2023-12-18T14:31:25Z,2024-12-18T15:54:46Z,2024-12-18T15:54:46Z,,,,
PhilJay/MPAndroidChart,2091401106,5474,closed,Move view pool delete,archie94,2024-09-25T13:21:19Z,2024-09-25T13:21:28Z,2024-09-25T13:21:28Z,,,,
PhilJay/MPAndroidChart,2027744420,5469,closed,TEST PR ,arbe-malo-scacap,2024-08-20T14:01:29Z,2024-08-20T14:02:11Z,2024-08-20T14:01:51Z,,,,
PhilJay/MPAndroidChart,398471857,4866,closed,Let build and test any pull request with Github actions,hannesa2,2020-04-04T05:22:39Z,2024-06-23T05:08:27Z,2024-06-23T05:08:27Z,,,,
PhilJay/MPAndroidChart,178116403,3898,closed,PieChart: Add option for using slice color as value line color,sembozdemir,2018-03-28T17:57:10Z,2024-05-30T13:09:39Z,2018-04-28T16:53:09Z,2018-04-28T16:53:09Z,,,
PhilJay/MPAndroidChart,1668462439,5435,closed,Point highlighter,gurgen-k-y,2024-01-08T08:11:02Z,2024-01-08T08:11:15Z,2024-01-08T08:11:15Z,,,,
PhilJay/MPAndroidChart,1590088189,5430,closed,update radar chart,tdthanh1411,2023-11-07T08:20:00Z,2023-11-07T08:23:58Z,2023-11-07T08:23:14Z,,,,
PhilJay/MPAndroidChart,843772126,5257,closed,"Full Kotlin migration for example project, Gradle plugin update to 7.2, target SDK 32, updated all dependencies",BharathVishal,2022-02-09T10:57:46Z,2023-09-09T16:18:31Z,2023-09-09T16:18:30Z,,,,
PhilJay/MPAndroidChart,1025781831,5335,closed,Mainactivity put to exported=true. Depedencies error fixed.,xareal,2022-08-14T11:11:54Z,2023-07-09T08:59:57Z,2023-07-09T08:59:57Z,,,,
PhilJay/MPAndroidChart,1403305720,5401,closed,Custom lib,customappdeveloper,2023-06-22T10:54:07Z,2023-06-22T10:54:22Z,2023-06-22T10:54:22Z,,,,
