repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
ReactiveX/RxJava,2949363102,7919,closed,chore(deps): bump github/codeql-action from 4.30.9 to 4.31.0,dependabot[bot],2025-10-27T04:09:20Z,2025-10-27T08:42:35Z,2025-10-27T08:42:27Z,2025-10-27T08:42:27Z,,,
ReactiveX/RxJava,2949361659,7918,closed,chore(deps): bump actions/upload-artifact from 4.6.2 to 5.0.0,dependabot[bot],2025-10-27T04:08:22Z,2025-10-27T08:42:11Z,2025-10-27T08:42:03Z,2025-10-27T08:42:03Z,,,
ReactiveX/RxJava,2928517715,7917,closed,chore(deps): bump github/codeql-action from 4.30.8 to 4.30.9,dependabot[bot],2025-10-20T04:01:59Z,2025-10-20T05:46:30Z,2025-10-20T05:46:22Z,2025-10-20T05:46:22Z,,,
ReactiveX/RxJava,2908735478,7916,closed,chore(deps): bump github/codeql-action from 4.30.7 to 4.30.8,dependabot[bot],2025-10-13T04:02:16Z,2025-10-13T07:24:55Z,2025-10-13T07:24:47Z,2025-10-13T07:24:47Z,,,
ReactiveX/RxJava,2895948584,7915,closed,chore(deps): bump github/codeql-action from 3.30.6 to 4.30.7,dependabot[bot],2025-10-08T04:01:50Z,2025-10-08T07:22:16Z,2025-10-08T07:22:09Z,2025-10-08T07:22:09Z,,,
ReactiveX/RxJava,2883728347,7913,closed,chore(deps): bump github/codeql-action from 3.30.5 to 3.30.6,dependabot[bot],2025-10-03T04:02:04Z,2025-10-06T08:21:06Z,2025-10-06T08:20:58Z,2025-10-06T08:20:58Z,,,
ReactiveX/RxJava,2889198381,7914,closed,Eclipse 2025-09 type inference bug workaround,akarnokd,2025-10-06T08:06:03Z,2025-10-06T08:21:00Z,2025-10-06T08:20:44Z,2025-10-06T08:20:44Z,,,
ReactiveX/RxJava,2879656523,7911,closed,Fix ObservableCache GC issue,joepembe,2025-10-01T21:09:49Z,2025-10-06T07:28:48Z,2025-10-06T07:28:33Z,2025-10-06T07:28:33Z,,,
ReactiveX/RxJava,2876769462,7910,closed,chore(deps): bump ossf/scorecard-action from 2.4.2 to 2.4.3,dependabot[bot],2025-10-01T04:02:11Z,2025-10-01T06:40:15Z,2025-10-01T06:40:07Z,2025-10-01T06:40:07Z,,,
ReactiveX/RxJava,2868964839,7909,closed,chore(deps): bump github/codeql-action from 3.30.4 to 3.30.5,dependabot[bot],2025-09-29T04:18:21Z,2025-09-29T04:34:31Z,2025-09-29T04:34:24Z,2025-09-29T04:34:24Z,,,
ReactiveX/RxJava,2862492969,7908,closed,chore(deps): bump github/codeql-action from 3.30.3 to 3.30.4,dependabot[bot],2025-09-26T04:02:04Z,2025-09-26T06:54:31Z,2025-09-26T06:54:23Z,2025-09-26T06:54:23Z,,,
ReactiveX/RxJava,2859037129,7907,closed,chore(deps): bump actions/cache from 4.2.4 to 4.3.0,dependabot[bot],2025-09-25T04:03:29Z,2025-09-25T06:36:55Z,2025-09-25T06:36:47Z,2025-09-25T06:36:47Z,,,
ReactiveX/RxJava,2838643492,7904,closed,chore(deps): bump com.google.guava:guava from 33.4.8-jre to 33.5.0-jre,dependabot[bot],2025-09-18T04:02:11Z,2025-09-18T05:55:56Z,2025-09-18T05:55:49Z,2025-09-18T05:55:49Z,,,
ReactiveX/RxJava,2817492332,7903,closed,chore(deps): bump github/codeql-action from 3.30.2 to 3.30.3,dependabot[bot],2025-09-11T04:02:15Z,2025-09-11T05:33:41Z,2025-09-11T05:33:34Z,2025-09-11T05:33:34Z,,,
ReactiveX/RxJava,2814082113,7902,closed,chore(deps): bump github/codeql-action from 3.30.1 to 3.30.2,dependabot[bot],2025-09-10T04:01:57Z,2025-09-10T05:54:29Z,2025-09-10T05:54:21Z,2025-09-10T05:54:21Z,,,
ReactiveX/RxJava,2806746621,7901,closed,chore(deps): bump github/codeql-action from 3.30.0 to 3.30.1,dependabot[bot],2025-09-08T04:03:04Z,2025-09-08T05:19:55Z,2025-09-08T05:19:47Z,2025-09-08T05:19:47Z,,,
ReactiveX/RxJava,2801406285,7900,closed,chore(deps): bump codecov/codecov-action from 5.5.0 to 5.5.1,dependabot[bot],2025-09-05T04:01:59Z,2025-09-05T05:24:20Z,2025-09-05T05:24:13Z,2025-09-05T05:24:13Z,,,
ReactiveX/RxJava,2794536291,7899,closed,chore(deps): bump github/codeql-action from 3.29.11 to 3.30.0,dependabot[bot],2025-09-03T03:53:10Z,2025-09-03T05:29:13Z,2025-09-03T05:29:06Z,2025-09-03T05:29:06Z,,,
ReactiveX/RxJava,2765113769,7897,closed,chore(deps): bump github/codeql-action from 3.29.10 to 3.29.11,dependabot[bot],2025-08-22T04:33:58Z,2025-08-22T06:57:36Z,2025-08-22T06:57:27Z,2025-08-22T06:57:27Z,,,
ReactiveX/RxJava,2761693625,7895,closed,chore(deps): bump codecov/codecov-action from 4.6.0 to 5.5.0,dependabot[bot],2025-08-21T04:48:07Z,2025-08-21T05:05:18Z,2025-08-21T05:05:11Z,2025-08-21T05:05:11Z,,,
ReactiveX/RxJava,2761693752,7896,closed,chore(deps): bump actions/setup-java from 4.7.1 to 5.0.0,dependabot[bot],2025-08-21T04:48:13Z,2025-08-21T05:05:10Z,2025-08-21T05:05:03Z,2025-08-21T05:05:03Z,,,
ReactiveX/RxJava,2756692962,7894,closed,chore(deps): bump github/codeql-action from 3.29.9 to 3.29.10,dependabot[bot],2025-08-19T14:31:22Z,2025-08-19T15:11:49Z,2025-08-19T15:11:41Z,2025-08-19T15:11:41Z,,,
ReactiveX/RxJava,2741465268,7892,closed,chore(deps): bump github/codeql-action from 3.29.8 to 3.29.9,dependabot[bot],2025-08-13T04:48:44Z,2025-08-13T06:05:50Z,2025-08-13T06:05:43Z,2025-08-13T06:05:43Z,,,
ReactiveX/RxJava,2738752815,7889,closed,chore(deps): bump actions/checkout from 4.2.2 to 5.0.0,dependabot[bot],2025-08-12T11:19:16Z,2025-08-12T11:53:52Z,2025-08-12T11:53:45Z,2025-08-12T11:53:45Z,,,
ReactiveX/RxJava,2734350875,7887,closed,chore(deps): bump github/codeql-action from 3.29.7 to 3.29.8,dependabot[bot],2025-08-11T06:56:01Z,2025-08-11T07:45:52Z,2025-08-11T07:45:43Z,2025-08-11T07:45:43Z,,,
ReactiveX/RxJava,2729576290,7886,closed,chore(deps): bump actions/cache from 4.2.3 to 4.2.4,dependabot[bot],2025-08-08T04:44:29Z,2025-08-08T05:06:22Z,2025-08-08T05:06:13Z,2025-08-08T05:06:13Z,,,
ReactiveX/RxJava,2705875452,7885,closed,chore(deps): bump github/codeql-action from 3.29.4 to 3.29.5,dependabot[bot],2025-07-30T04:33:07Z,2025-07-31T08:11:23Z,2025-07-31T08:11:15Z,2025-07-31T08:11:15Z,,,
ReactiveX/RxJava,2690729894,7883,closed,chore(deps): bump github/codeql-action from 3.29.3 to 3.29.4,dependabot[bot],2025-07-24T04:40:50Z,2025-07-24T06:36:40Z,2025-07-24T06:36:32Z,2025-07-24T06:36:32Z,,,
