repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
Snailclimb/JavaGuide,2949695363,2733,closed,更正直接执行Thread.run()的描述,DoubleYellowIce,2025-10-27T06:53:52Z,2025-10-27T11:09:05Z,2025-10-27T11:09:05Z,2025-10-27T11:09:05Z,,,
Snailclimb/JavaGuide,210697010,11,closed,新增HashMap多线程环境扩容导致死循环问题,kinglaw1204,2018-08-24T10:09:41Z,2025-10-21T01:41:10Z,2018-08-24T11:11:07Z,2018-08-24T11:11:07Z,,,
Snailclimb/JavaGuide,2926859430,2731,closed,字符串常量池,PrinceZaZa,2025-10-18T15:05:39Z,2025-10-20T08:06:26Z,2025-10-20T08:06:26Z,2025-10-20T08:06:26Z,,,
Snailclimb/JavaGuide,2813916326,2718,closed,Update why-there-only-value-passing-in-java.md,suozq1,2025-09-10T02:28:53Z,2025-09-11T03:07:46Z,2025-09-11T03:07:46Z,2025-09-11T03:07:46Z,,,
Snailclimb/JavaGuide,2796348320,2714,closed,docs: fix typo,uncle-lv,2025-09-03T15:24:57Z,2025-09-04T07:37:55Z,2025-09-04T07:37:41Z,2025-09-04T07:37:41Z,,,
Snailclimb/JavaGuide,2789437714,2713,closed,"修正""Java 语法糖详解""中的错别字",Ka1Yann,2025-09-01T11:06:01Z,2025-09-04T07:37:23Z,2025-09-04T07:37:16Z,2025-09-04T07:37:16Z,,,
Snailclimb/JavaGuide,2784418197,2712,closed,Update other-network-questions.md,Willy-01,2025-08-29T10:27:04Z,2025-08-29T13:41:02Z,2025-08-29T13:41:02Z,2025-08-29T13:41:02Z,,,
Snailclimb/JavaGuide,2780843660,2711,closed,修正关于AQS shouldParkAfterFailedAcquire方法的部分描述,Hushihaoooooo,2025-08-28T07:58:30Z,2025-08-28T12:48:59Z,2025-08-28T12:45:35Z,2025-08-28T12:45:35Z,,,
Snailclimb/JavaGuide,2777795666,2710,closed,Update arrayblockingqueue-source-code.md,little-gray-big-dream,2025-08-27T09:49:15Z,2025-08-28T06:50:36Z,2025-08-28T06:50:36Z,2025-08-28T06:50:36Z,,,
Snailclimb/JavaGuide,2777673470,2709,closed,Update arrayblockingqueue-source-code.md,little-gray-big-dream,2025-08-27T09:01:08Z,2025-08-27T09:08:51Z,2025-08-27T09:08:51Z,,,,
Snailclimb/JavaGuide,2769644501,2708,closed,修正跳表遍历描述,zjxjwxk,2025-08-24T07:29:55Z,2025-08-26T09:40:46Z,2025-08-26T09:40:46Z,2025-08-26T09:40:46Z,,,
Snailclimb/JavaGuide,2755375188,2707,closed,docs: 链接修正,watch308,2025-08-19T06:43:43Z,2025-08-20T02:18:13Z,2025-08-20T02:17:55Z,2025-08-20T02:17:55Z,,,
