repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
Stirling-Tools/Stirling-PDF,2718047372,4111,closed,Split pdf by sections improvement,PingLin8888,2025-08-04T13:43:46Z,2025-10-29T12:09:27Z,2025-10-29T12:09:02Z,2025-10-29T12:09:02Z,,,
Stirling-Tools/Stirling-PDF,2958660474,4759,closed,Add linting to ensure correct imports style is used,jbrunton96,2025-10-29T11:45:29Z,2025-10-29T11:58:25Z,2025-10-29T11:58:04Z,2025-10-29T11:58:04Z,,,
Stirling-Tools/Stirling-PDF,2955767692,4757,closed,Fix issues with fullscreen tools on Safari,jbrunton96,2025-10-28T15:45:00Z,2025-10-29T09:56:39Z,2025-10-29T09:56:16Z,2025-10-29T09:56:16Z,,,
Stirling-Tools/Stirling-PDF,2905015246,4649,closed,Feature/v2/selected pageeditor,reecebrowne,2025-10-10T18:17:00Z,2025-10-28T18:22:47Z,2025-10-28T18:22:46Z,,,,
Stirling-Tools/Stirling-PDF,2945671263,4734,closed,settingsPage Init selfhost,Frooodle,2025-10-24T18:35:09Z,2025-10-28T14:48:03Z,2025-10-28T14:47:41Z,2025-10-28T14:47:41Z,,,
Stirling-Tools/Stirling-PDF,2933998085,4721,closed,Restructure frontend code to allow for extensions,jbrunton96,2025-10-21T16:12:59Z,2025-10-28T10:29:57Z,2025-10-28T10:29:36Z,2025-10-28T10:29:36Z,,,
Stirling-Tools/Stirling-PDF,2950116128,4745,closed,build(deps): bump actions/upload-artifact from 4.6.2 to 5.0.0,dependabot[bot],2025-10-27T09:19:11Z,2025-10-27T19:37:49Z,2025-10-27T19:37:42Z,2025-10-27T19:37:42Z,,,
Stirling-Tools/Stirling-PDF,2948221303,4738,closed,style(frontend): remove redundant React imports in TypeScript components,Ludy87,2025-10-26T09:24:02Z,2025-10-27T17:13:15Z,2025-10-27T16:40:43Z,2025-10-27T16:40:43Z,,,
Stirling-Tools/Stirling-PDF,2917674279,4687,closed,Customised Analytics for admins and users,ConnorYoh,2025-10-15T14:57:08Z,2025-10-27T17:00:51Z,2025-10-27T16:55:00Z,2025-10-27T16:55:00Z,,,
Stirling-Tools/Stirling-PDF,2929642283,4711,closed,docker,Frooodle,2025-10-20T12:17:35Z,2025-10-27T16:49:59Z,2025-10-27T16:45:18Z,2025-10-27T16:45:18Z,,,
Stirling-Tools/Stirling-PDF,2901092696,4642,closed,update terms,Frooodle,2025-10-09T15:08:26Z,2025-10-27T16:37:40Z,2025-10-27T16:37:14Z,2025-10-27T16:37:14Z,,,
Stirling-Tools/Stirling-PDF,2885280669,4591,closed,"ci(deps): pin GitHub Actions to SHAs, upgrade to checkout v5 & setup-* v5/6, adopt Node 22, harden runner, bump docker-compose",Ludy87,2025-10-03T15:02:32Z,2025-10-27T16:33:08Z,2025-10-27T16:32:45Z,2025-10-27T16:32:45Z,,,
Stirling-Tools/Stirling-PDF,2884599380,4589,closed,fix: add missing id and name attributes to form input,Ludy87,2025-10-03T11:07:11Z,2025-10-27T16:26:27Z,2025-10-27T16:26:08Z,2025-10-27T16:26:08Z,,,
Stirling-Tools/Stirling-PDF,2948051627,4737,closed,style(frontend): enforce semicolons across auth & shared components,Ludy87,2025-10-26T07:25:56Z,2025-10-27T16:23:20Z,2025-10-27T16:22:56Z,2025-10-27T16:22:56Z,,,
Stirling-Tools/Stirling-PDF,2951593775,4753,closed,Ban lint warnings,jbrunton96,2025-10-27T15:49:51Z,2025-10-27T16:05:47Z,2025-10-27T16:05:24Z,2025-10-27T16:05:24Z,,,
Stirling-Tools/Stirling-PDF,2951190497,4752,closed,Update French localization for error messages and UI,FdaSilvaYY,2025-10-27T14:13:03Z,2025-10-27T15:35:26Z,2025-10-27T15:35:26Z,,,,
Stirling-Tools/Stirling-PDF,2917250865,4683,closed,:globe_with_meridians: [V2] Sync Translations + Update README Progress Table,stirlingbot[bot],2025-10-15T13:06:05Z,2025-10-27T13:06:12Z,2025-10-27T13:06:12Z,2025-10-27T13:06:12Z,,,
Stirling-Tools/Stirling-PDF,2839508903,4463,closed,Update Frontend 3rd Party Licenses,stirlingbot[bot],2025-09-18T09:42:35Z,2025-10-27T13:05:57Z,2025-10-27T13:05:57Z,,,,
Stirling-Tools/Stirling-PDF,2757529005,4240,closed,feat: Add text removal to auto-redact,balazs-szucs,2025-08-19T20:17:40Z,2025-10-27T12:19:30Z,2025-10-27T12:18:59Z,,,,
Stirling-Tools/Stirling-PDF,2945744558,4736,closed,Update SonarQube workflow to use JDK 17 and Gradle 8.14,Ludy87,2025-10-24T19:02:42Z,2025-10-24T19:53:08Z,2025-10-24T19:53:08Z,,,,
Stirling-Tools/Stirling-PDF,2945678917,4735,closed,Set Gradle version to 8.14 in GitHub workflows,Ludy87,2025-10-24T18:38:07Z,2025-10-24T19:53:07Z,2025-10-24T19:53:07Z,,,,
Stirling-Tools/Stirling-PDF,2925064472,4701,closed,V2: Login Feature,DarioGii,2025-10-17T16:43:17Z,2025-10-24T09:50:20Z,2025-10-24T09:49:52Z,2025-10-24T09:49:52Z,,,
Stirling-Tools/Stirling-PDF,2937427548,4722,closed,Enhance rainbow mode visuals,Frooodle,2025-10-22T14:38:48Z,2025-10-22T15:02:01Z,2025-10-22T15:01:32Z,,,,
Stirling-Tools/Stirling-PDF,2937428771,4723,closed,Enhance rainbow mode visuals and effects,Frooodle,2025-10-22T14:39:12Z,2025-10-22T15:01:18Z,2025-10-22T15:01:18Z,,,,
Stirling-Tools/Stirling-PDF,2924951949,4700,closed,Refactor to fix circular imports,jbrunton96,2025-10-17T16:09:05Z,2025-10-21T13:53:45Z,2025-10-21T13:53:19Z,2025-10-21T13:53:19Z,,,
Stirling-Tools/Stirling-PDF,2931322181,4713,closed,build(deps): bump pdfboxVersion from 3.0.5 to 3.0.6,dependabot[bot],2025-10-20T22:04:22Z,2025-10-21T12:42:55Z,2025-10-21T12:42:35Z,2025-10-21T12:42:34Z,,,
Stirling-Tools/Stirling-PDF,2931322359,4714,closed,build(deps): bump org.sonarqube from 6.3.1.5724 to 7.0.0.6105,dependabot[bot],2025-10-20T22:04:26Z,2025-10-21T12:41:53Z,2025-10-21T12:41:45Z,2025-10-21T12:41:45Z,,,
Stirling-Tools/Stirling-PDF,2931322844,4715,closed,build(deps): bump com.github.junrar:junrar from 7.5.5 to 7.5.7,dependabot[bot],2025-10-20T22:04:40Z,2025-10-21T12:41:08Z,2025-10-21T12:41:00Z,2025-10-21T12:41:00Z,,,
Stirling-Tools/Stirling-PDF,2931356348,4716,closed,build(deps): bump actions/setup-node from 5.0.0 to 6.0.0,dependabot[bot],2025-10-20T22:20:37Z,2025-10-21T12:40:01Z,2025-10-21T12:39:54Z,2025-10-21T12:39:54Z,,,
Stirling-Tools/Stirling-PDF,2931356432,4717,closed,build(deps): bump sigstore/cosign-installer from 3.10.0 to 4.0.0,dependabot[bot],2025-10-20T22:20:40Z,2025-10-21T12:39:39Z,2025-10-21T12:39:31Z,2025-10-21T12:39:31Z,,,
Stirling-Tools/Stirling-PDF,2931356986,4718,closed,build(deps): bump github/codeql-action from 3.30.6 to 4.30.9,dependabot[bot],2025-10-20T22:21:01Z,2025-10-21T11:20:35Z,2025-10-21T11:20:27Z,2025-10-21T11:20:26Z,,,
Stirling-Tools/Stirling-PDF,2911638222,4675,closed,build(deps): bump github/codeql-action from 3.30.6 to 4.30.8,dependabot[bot],2025-10-13T22:13:47Z,2025-10-20T22:21:06Z,2025-10-20T22:21:05Z,,,,
Stirling-Tools/Stirling-PDF,2897030494,4635,closed,Add onboarding flow using Reactour,jbrunton96,2025-10-08T11:03:53Z,2025-10-20T14:08:01Z,2025-10-20T14:07:40Z,2025-10-20T14:07:40Z,,,
