repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
TheAlgorithms/Java,2958985029,6982,closed,Feat/add beaufort cipher,Keykyrios,2025-10-29T13:21:20Z,2025-10-29T13:29:28Z,2025-10-29T13:28:26Z,,,,
TheAlgorithms/Java,2907354616,6752,closed,feat: Add Stoer-Wagner Algorithm for Minimum Cut,sairamsharan,2025-10-12T07:43:02Z,2025-10-29T09:08:06Z,2025-10-29T09:08:06Z,2025-10-29T09:08:06Z,,,
TheAlgorithms/Java,2958019390,6979,closed,Added Sliding Window: Maximum Sum Subarray of Size K,nihalsingh373,2025-10-29T08:18:07Z,2025-10-29T08:40:44Z,2025-10-29T08:40:44Z,,,,
TheAlgorithms/Java,2928022851,6839,closed,Added Prim's Algorithm to searches,jyothsnasharma7,2025-10-19T19:26:26Z,2025-10-29T06:53:21Z,2025-10-29T06:53:21Z,,,,
TheAlgorithms/Java,2888504581,6662,closed,Add AmericanFlagSort algorithm,PauLopNun,2025-10-06T00:24:35Z,2025-10-28T22:31:53Z,2025-10-28T22:31:53Z,,,,
TheAlgorithms/Java,2956484215,6978,closed,Update feature,Jsihra,2025-10-28T19:18:22Z,2025-10-28T21:34:04Z,2025-10-28T21:33:56Z,,,,
TheAlgorithms/Java,2948968413,6963,closed,feat: Add Chebyshev Iteration algorithm,Keykyrios,2025-10-26T22:24:47Z,2025-10-28T17:02:00Z,2025-10-28T15:43:54Z,2025-10-28T15:43:54Z,,,
TheAlgorithms/Java,2928140847,6842,closed,feat: Add Neville's Algorithm,Keykyrios,2025-10-19T22:37:25Z,2025-10-28T10:14:59Z,2025-10-28T10:14:59Z,2025-10-28T10:14:59Z,,,
TheAlgorithms/Java,2940454562,6914,closed,Add optimized Bubble Sort using last swap index,MuhammedHamzatkt,2025-10-23T13:17:02Z,2025-10-28T10:10:03Z,2025-10-28T10:10:02Z,,,,
TheAlgorithms/Java,2952798655,6971,closed,chore(deps): bump actions/github-script from 7 to 8 in /.github/workflows,dependabot[bot],2025-10-27T21:56:39Z,2025-10-28T09:12:36Z,2025-10-28T09:12:35Z,2025-10-28T09:12:35Z,,,
TheAlgorithms/Java,2949333390,6964,closed,Add RockPaperScissors game implementation,ligiastalves,2025-10-27T03:48:01Z,2025-10-28T01:37:01Z,2025-10-28T01:37:00Z,,,,
