repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
airbnb/lottie-android,2947519903,2673,closed,3d layers optimize and improve performance,hepiao3,2025-10-25T16:52:55Z,2025-10-29T03:21:29Z,2025-10-26T17:25:25Z,2025-10-26T17:25:25Z,,,
airbnb/lottie-android,2949252602,2674,closed,v6.7.0-snapshot,hepiao3,2025-10-27T02:54:24Z,2025-10-28T02:23:01Z,2025-10-28T02:23:01Z,,,,
airbnb/lottie-android,2947506645,2672,closed,optimize 3D rotation and improve performance,hepiao3,2025-10-25T16:39:01Z,2025-10-25T16:47:33Z,2025-10-25T16:47:33Z,,,,
airbnb/lottie-android,2900032904,2666,closed,Add 3D rotation support for Lottie animations,hepiao3,2025-10-09T09:34:29Z,2025-10-24T05:53:54Z,2025-10-23T23:26:05Z,2025-10-23T23:26:05Z,,,
airbnb/lottie-android,94638934,11,closed,Fixed alpha on background colors,gpeal,2016-11-21T15:40:48Z,2025-10-22T15:09:06Z,2016-11-21T15:40:58Z,2016-11-21T15:40:58Z,,,
airbnb/lottie-android,2899966715,2665,closed,Add 3D rotation support for Lottie animations,hepiao3,2025-10-09T09:10:18Z,2025-10-20T09:24:57Z,2025-10-09T09:30:19Z,,,,
airbnb/lottie-android,2893519834,2664,closed,Add 3D rotation support for Lottie animations,hepiao3,2025-10-07T10:45:34Z,2025-10-09T08:31:56Z,2025-10-09T08:31:11Z,,,,
airbnb/lottie-android,2530293870,2637,closed,[Do not merge] Checking new test crashes without fix,allenchen1154,2025-05-20T04:23:41Z,2025-10-02T22:02:05Z,2025-10-02T22:02:05Z,,,,
airbnb/lottie-android,2859736934,2663,closed,Add RTL support to lottie-android,nrchan,2025-09-25T08:36:50Z,2025-09-29T02:40:47Z,2025-09-29T02:40:47Z,2025-09-29T02:40:47Z,,,
airbnb/lottie-android,2778949214,2657,closed,🧪 Add unit tests to improve code reliability,FrancoKaddour,2025-08-27T16:42:49Z,2025-09-27T16:00:58Z,2025-09-27T16:00:58Z,,,,
airbnb/lottie-android,2816552110,2660,closed,Make `lottieComposition` public,thebehera,2025-09-10T19:06:50Z,2025-09-19T15:33:47Z,2025-09-19T15:33:47Z,2025-09-19T15:33:47Z,,,
airbnb/lottie-android,2824479888,2661,closed,Fix transparent background rendering with MULTIPLY Blend mode on Android 34+,allenchen1154,2025-09-13T02:53:08Z,2025-09-16T20:59:03Z,2025-09-16T20:59:02Z,2025-09-16T20:59:02Z,,,
airbnb/lottie-android,2725325105,2652,closed,Update compileSDK and targetSDK to 36,allenchen1154,2025-08-06T18:59:05Z,2025-08-08T21:24:48Z,2025-08-08T21:24:47Z,2025-08-08T21:24:46Z,,,
airbnb/lottie-android,2627037780,2646,closed,Enable path interpolator cache by default,scana,2025-06-29T15:31:04Z,2025-06-29T18:59:26Z,2025-06-29T18:59:26Z,2025-06-29T18:59:26Z,,,
airbnb/lottie-android,2608204550,2643,closed,"In DefaultLottieFetchResult, catch NPE from getErrorFromConnection()",hansonchris,2025-06-20T18:42:32Z,2025-06-24T14:40:11Z,2025-06-24T13:55:08Z,2025-06-24T13:55:08Z,,,
airbnb/lottie-android,2597221927,2641,closed,Also enable autoPublish for lottie-compose,allenchen1154,2025-06-17T00:30:54Z,2025-06-17T17:58:51Z,2025-06-17T17:58:50Z,2025-06-17T17:58:50Z,,,
airbnb/lottie-android,2597066465,2640,closed,Update the gradle wrapper to 8.14.2,allenchen1154,2025-06-16T22:30:04Z,2025-06-17T00:21:30Z,2025-06-17T00:21:29Z,2025-06-17T00:21:29Z,,,
airbnb/lottie-android,2591611887,2639,closed,Publish to central.sonatype.com,allenchen1154,2025-06-13T23:31:23Z,2025-06-16T21:50:47Z,2025-06-16T21:50:45Z,2025-06-16T21:50:45Z,,,
airbnb/lottie-android,2518575437,2635,closed,Fix crash when drawing shadow on image using RenderNode,allenchen1154,2025-05-14T08:28:49Z,2025-05-27T17:36:27Z,2025-05-27T17:36:27Z,2025-05-27T17:36:27Z,,,
airbnb/lottie-android,2435305963,2626,closed,Guard against Bitmap allocations of size 0,allenchen1154,2025-04-02T21:47:35Z,2025-04-02T23:38:56Z,2025-04-02T23:38:56Z,2025-04-02T23:38:56Z,,,
airbnb/lottie-android,226333862,983,closed,Use film strip snapshots rather than individual progress points,gpeal,2018-10-28T00:20:25Z,2025-03-26T01:56:18Z,2018-11-13T16:28:23Z,2018-11-13T16:28:23Z,,,
airbnb/lottie-android,2404621400,2623,closed,Partially revert previous change to ImageLayer.getBounds(),allenchen1154,2025-03-19T18:10:47Z,2025-03-20T00:25:43Z,2025-03-20T00:25:42Z,2025-03-20T00:25:42Z,,,
airbnb/lottie-android,2182521208,2578,closed,Prevent NPE in ImageLayer.getBounds(),allenchen1154,2024-11-15T20:27:09Z,2025-03-04T01:34:58Z,2025-03-04T01:34:58Z,2025-03-04T01:34:58Z,,,
airbnb/lottie-android,2332501131,2611,closed,Fix radial gradient crash,dazza5000,2025-02-12T23:29:08Z,2025-03-03T16:41:38Z,2025-03-03T16:41:38Z,2025-03-03T16:41:38Z,,,
airbnb/lottie-android,2366913386,2617,closed,Add lot test file,gpeal,2025-03-03T00:03:07Z,2025-03-03T00:45:12Z,2025-03-03T00:45:10Z,2025-03-03T00:45:10Z,,,
airbnb/lottie-android,2366739490,2616,closed,remove unhandled exception in default failure listener,kunal26das,2025-03-02T16:31:05Z,2025-03-02T23:55:01Z,2025-03-02T23:55:01Z,,,,
airbnb/lottie-android,2334659961,2613,closed,Support system property to set a testing executor,JakeWharton,2025-02-13T20:16:03Z,2025-02-14T17:37:48Z,2025-02-14T17:37:48Z,2025-02-14T17:37:48Z,,,
airbnb/lottie-android,375779162,1502,closed,Two cache fixes,gpeal,2020-02-16T02:30:12Z,2025-01-04T07:19:44Z,2020-02-16T03:49:03Z,2020-02-16T03:49:03Z,,,
airbnb/lottie-android,2235987859,2600,closed,Better handle clip specs when minProgress == maxProgress,gpeal,2024-12-15T20:37:28Z,2024-12-15T20:49:25Z,2024-12-15T20:49:23Z,2024-12-15T20:49:23Z,,,
airbnb/lottie-android,2223030145,2591,closed,Binary compatibility with 6.5 and lower on LottieAnimation,inorichi,2024-12-09T08:50:02Z,2024-12-15T19:57:58Z,2024-12-15T19:57:58Z,2024-12-15T19:57:58Z,,,
airbnb/lottie-android,2235455419,2598,closed,Only apply parent layer alpha to mattes,gpeal,2024-12-15T03:39:18Z,2024-12-15T05:14:24Z,2024-12-15T05:14:22Z,2024-12-15T05:14:22Z,,,
airbnb/lottie-android,2235434154,2597,closed,Re-measure line height when justifying dynamic text,gpeal,2024-12-15T02:00:05Z,2024-12-15T03:07:10Z,2024-12-15T03:07:08Z,2024-12-15T03:07:08Z,,,
airbnb/lottie-android,2235423767,2596,closed,Parse as width/height as double,gpeal,2024-12-15T01:10:23Z,2024-12-15T01:32:57Z,2024-12-15T01:32:56Z,2024-12-15T01:32:56Z,,,
airbnb/lottie-android,2214079486,2588,closed,Fix floating point errors calculating keyframe end progress,gpeal,2024-12-04T03:02:56Z,2024-12-04T03:45:14Z,2024-12-04T03:45:12Z,2024-12-04T03:45:12Z,,,
airbnb/lottie-android,2203869736,2584,closed,"Refactor: pull up variable, move method, replace conditional with polymorphism",NeslynChellaiah,2024-11-27T16:29:01Z,2024-12-04T02:46:57Z,2024-12-04T02:46:57Z,,,,
airbnb/lottie-android,2203863567,2583,closed,"Refactoring: rename variable, decompse conditional, introduce explaining variable",NeslynChellaiah,2024-11-27T16:25:48Z,2024-12-04T02:46:52Z,2024-12-04T02:46:52Z,,,,
airbnb/lottie-android,2196033899,2582,closed,"Refactoring a complex method, complex condition and a variable name",NeslynChellaiah,2024-11-23T04:09:48Z,2024-11-24T01:47:51Z,2024-11-24T01:47:50Z,,,,
airbnb/lottie-android,2169566848,2573,closed,Fix NPE a Bitmap reference at the Utils.resizeBitmapIfNeeded,yunyh,2024-11-08T12:36:42Z,2024-11-11T22:33:58Z,2024-11-11T22:33:58Z,2024-11-11T22:33:58Z,,,
airbnb/lottie-android,1839844986,2497,closed,Fix blinking issue when loop the animation in minFrame and maxFrame,yunlinos,2024-04-25T01:08:01Z,2024-10-27T21:11:49Z,2024-10-27T21:11:49Z,2024-10-27T21:11:49Z,,,
airbnb/lottie-android,2147877405,2567,closed,Fix rounded corner animations when the underlying shape doesn't animate,gpeal,2024-10-27T20:58:32Z,2024-10-27T21:07:25Z,2024-10-27T21:07:24Z,2024-10-27T21:07:24Z,,,
airbnb/lottie-android,2145967881,2566,closed,Fix Maven badge links,TWiStErRob,2024-10-25T14:06:49Z,2024-10-27T19:24:56Z,2024-10-27T19:24:56Z,2024-10-27T19:24:56Z,,,
airbnb/lottie-android,2137406851,2565,closed,Apply left/top bounds before scaling,qhyuan,2024-10-22T03:57:24Z,2024-10-27T19:24:48Z,2024-10-27T19:24:48Z,2024-10-27T19:24:48Z,,,
airbnb/lottie-android,2097444903,2557,closed,[Compose] Fix safe mode for Compose,gpeal,2024-09-29T06:52:05Z,2024-10-25T17:36:24Z,2024-09-29T07:06:12Z,2024-09-29T07:06:12Z,,,
airbnb/lottie-android,2071286651,2548,closed,Drop shadow overhaul: improve correctness and performance,geomaster,2024-09-13T16:56:36Z,2024-10-19T22:51:46Z,2024-10-19T22:51:46Z,2024-10-19T22:51:46Z,,,
airbnb/lottie-android,2045863528,2544,closed,Fix resolving key path for matte layers,alex-dorokhov,2024-08-30T08:53:19Z,2024-10-04T18:54:51Z,2024-10-04T18:54:44Z,2024-10-04T18:54:43Z,,,
airbnb/lottie-android,2097681364,2559,closed,Add an option to not clear the network cache,gpeal,2024-09-29T16:52:32Z,2024-10-04T08:24:34Z,2024-09-29T17:15:16Z,2024-09-29T17:15:16Z,,,
airbnb/lottie-android,2097449341,2558,closed,Unify the parsing of generic input streams,gpeal,2024-09-29T07:06:02Z,2024-09-29T16:35:30Z,2024-09-29T16:35:29Z,2024-09-29T16:35:29Z,,,
airbnb/lottie-android,1902802472,2510,closed,Add support for Luma nad Inverted Luma matte mode,alexzhirkevich,2024-06-04T11:45:21Z,2024-09-29T12:49:05Z,2024-09-29T12:49:05Z,,,,
