repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
alibaba/arthas,2928862783,3076,closed,fix(auth): resolve authentication failure when accessed via remote IP,Yeaury,2025-10-20T07:21:35Z,2025-10-21T09:18:38Z,2025-10-21T08:12:47Z,2025-10-21T08:12:47Z,,,
alibaba/arthas,2791145428,3057,closed,Add the 'jcmd' command to replace 'jps'.,youngledo,2025-09-02T03:28:07Z,2025-10-17T14:20:00Z,2025-09-11T09:36:25Z,2025-09-11T09:36:25Z,,,
alibaba/arthas,2906561270,3073,closed,docs: Add official documentation for Arthas MCP Server,Yeaury,2025-10-11T13:07:47Z,2025-10-13T07:14:48Z,2025-10-13T07:14:48Z,2025-10-13T07:14:48Z,,,
alibaba/arthas,2903121610,3072,closed,"Fix: gracefully close Netty SSE connections to prevent ""Premature close"" errors",Yeaury,2025-10-10T08:37:49Z,2025-10-11T13:41:20Z,2025-10-10T09:21:15Z,2025-10-10T09:21:15Z,,,
alibaba/arthas,2850161211,3066,closed,fix: 修复空指针异常并改进README,Yeaury,2025-09-22T16:10:30Z,2025-10-11T13:39:48Z,2025-09-23T08:29:00Z,2025-09-23T08:29:00Z,,,
alibaba/arthas,2733633794,3050,closed,feat: jfr analyzer,1599-web,2025-08-10T16:17:23Z,2025-10-10T08:24:59Z,2025-10-10T08:12:36Z,2025-10-10T08:12:36Z,,,
alibaba/arthas,2862909820,3070,closed,support mcp,hengyunabc,2025-09-26T07:44:37Z,2025-10-09T09:28:56Z,2025-10-09T09:28:56Z,2025-10-09T09:28:56Z,,,
alibaba/arthas,2859660853,3068,closed,Feat: method reflect analysis,Aresxue,2025-09-25T08:16:47Z,2025-09-25T08:18:04Z,2025-09-25T08:17:20Z,,,,
alibaba/arthas,2859647272,3067,closed,feat: reflect analysis,Aresxue,2025-09-25T08:13:03Z,2025-09-25T08:15:05Z,2025-09-25T08:13:33Z,,,,
alibaba/arthas,2826870795,3061,closed,feat: enhance MCP authentication and allow configurable /mcp path,Yeaury,2025-09-14T16:14:46Z,2025-09-22T06:19:08Z,2025-09-22T06:19:08Z,2025-09-22T06:19:08Z,,,
alibaba/arthas,2836247291,3063,closed,banner spelling mistake,laoyin007,2025-09-17T11:26:14Z,2025-09-20T02:15:03Z,2025-09-20T02:15:03Z,2025-09-20T02:15:03Z,,,
alibaba/arthas,2808195136,3058,closed,feat: mcp serialization fix,Yeaury,2025-09-08T13:03:44Z,2025-09-12T05:22:21Z,2025-09-11T08:42:06Z,2025-09-11T08:42:06Z,,,
alibaba/arthas,2811733283,3059,closed,feat: Add Bearer Token authentication support for MCP requests,Yeaury,2025-09-09T12:05:08Z,2025-09-12T05:22:03Z,2025-09-12T05:05:21Z,2025-09-12T05:05:21Z,,,
alibaba/arthas,2495427309,3017,closed,命令行处理类名时，自动替换/为.,ZenCGL,2025-05-02T10:57:20Z,2025-09-11T09:40:50Z,2025-09-11T09:40:50Z,2025-09-11T09:40:50Z,,,
alibaba/arthas,2750492863,3054,closed,feat: Support MCP 2025-03-26 protocol with streaming tools,Yeaury,2025-08-16T13:55:44Z,2025-08-31T03:58:58Z,2025-08-29T15:10:29Z,2025-08-29T15:10:29Z,,,
alibaba/arthas,2646732040,3039,closed,feat: Add MCP (Model Context Protocol) base protocol implementation with Netty,Yeaury,2025-07-07T13:03:26Z,2025-08-12T14:59:48Z,2025-07-30T07:50:51Z,2025-07-30T07:50:51Z,,,
alibaba/arthas,2717771818,3046,closed,Feat/jfr analyzer,1599-web,2025-08-04T12:20:15Z,2025-08-10T12:45:42Z,2025-08-10T12:45:42Z,,,,
alibaba/arthas,2493133018,3016,closed,feat: add comr-future contribute,ghost,2025-05-01T04:08:39Z,2025-08-03T11:04:15Z,2025-08-03T11:04:15Z,,,,
alibaba/arthas,2528497940,3026,closed,Update monitor.md,yunzhongyue23,2025-05-19T11:52:47Z,2025-07-27T01:14:33Z,2025-07-27T01:14:32Z,2025-07-27T01:14:32Z,,,
alibaba/arthas,2526782026,3025,closed,Update monitor.md,yunzhongyue23,2025-05-18T09:06:14Z,2025-07-27T01:14:07Z,2025-07-27T01:14:07Z,2025-07-27T01:14:07Z,,,
alibaba/arthas,2673061595,3041,closed,fix bug of enum obj,leizhiyuan,2025-07-17T08:04:43Z,2025-07-27T00:44:46Z,2025-07-27T00:44:46Z,2025-07-27T00:44:46Z,,,
alibaba/arthas,2538625875,3030,closed,Add mallocTrim command to vmTool,kkHAIKE,2025-05-23T02:37:39Z,2025-07-27T00:43:06Z,2025-07-27T00:43:06Z,2025-07-27T00:43:06Z,,,
alibaba/arthas,246501415,470,closed,Update watch.md,snipercy,2019-01-22T07:25:53Z,2025-07-05T02:10:01Z,2019-01-23T09:53:38Z,2019-01-23T09:53:38Z,,,
alibaba/arthas,322473216,882,closed,correct spelling,Tryking,2019-09-29T05:40:28Z,2025-07-04T12:19:02Z,2019-09-29T08:21:02Z,2019-09-29T08:21:02Z,,,
alibaba/arthas,316809053,853,closed,更正result保存日志的路径。,qianmoke,2019-09-12T09:18:11Z,2025-07-04T08:56:16Z,2019-09-18T15:06:20Z,2019-09-18T15:06:20Z,,,
alibaba/arthas,262081541,583,closed,add logo,zyhui98,2019-03-18T14:32:58Z,2025-07-04T00:39:18Z,2019-03-18T14:51:18Z,2019-03-18T14:51:17Z,,,
alibaba/arthas,326566270,890,closed,Support thead filter by state,jiangwh,2019-10-10T06:10:54Z,2025-07-03T22:27:58Z,2019-10-12T03:31:26Z,,,,
alibaba/arthas,243548419,438,closed,add 2dfire user,edagarli,2019-01-10T02:46:58Z,2025-07-03T20:46:12Z,2019-01-10T04:45:41Z,2019-01-10T04:45:41Z,,,
alibaba/arthas,329544524,897,closed,Add 360jinrong to README.md/README_CN.md,WildWolfBang,2019-10-18T03:19:31Z,2025-04-29T05:02:57Z,2019-10-18T05:59:17Z,2019-10-18T05:59:17Z,,,
