repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
apache/dubbo,2944878081,15740,closed,Fix inconsistent writeEvent/readEvent in default serialization (Fixes #15737),NaraSky,2025-10-24T14:06:56Z,2025-10-27T12:19:50Z,2025-10-27T12:19:50Z,2025-10-27T12:19:50Z,,,
apache/dubbo,2848192828,15702,closed,Bump com.alibaba.fastjson2:fastjson2 from 2.0.56 to 2.0.59,dependabot[bot],2025-09-22T07:10:59Z,2025-10-27T07:35:06Z,2025-10-27T07:35:04Z,,,,
apache/dubbo,2843270785,15697,closed,[3.3] Fixed Zookeeper download URL,zrlw,2025-09-19T10:00:28Z,2025-10-25T17:05:55Z,2025-09-20T04:35:36Z,2025-09-20T04:35:36Z,,,
apache/dubbo,1698741762,13696,closed,Fix port unification issue in triple and dubbo protocol,namelessssssssssss,2024-01-28T11:03:08Z,2025-10-24T16:47:50Z,2024-01-31T02:59:25Z,2024-01-31T02:59:25Z,,,
apache/dubbo,2702992519,15594,closed,"feat(registry): support the  option, whether to check the connection …",fantiq,2025-07-29T06:55:48Z,2025-10-24T05:46:48Z,2025-10-20T13:18:27Z,2025-10-20T13:18:27Z,,,
apache/dubbo,1762573033,13869,closed,fix:add condition to match serviceKey.,kazetyan,2024-03-08T08:54:00Z,2025-10-23T20:59:54Z,2024-03-12T09:26:18Z,2024-03-12T09:26:18Z,,,
apache/dubbo,1518771676,13066,closed,feat: can set generic.include.class in a single call to control  whether the class field is included in the response when generic invoke,Aresxue,2023-09-18T03:58:27Z,2025-10-23T08:27:22Z,2025-06-25T12:00:24Z,,,,
apache/dubbo,2531363038,15406,closed, Dubbo MCP Integration ,RainYuY,2025-05-20T12:16:06Z,2025-10-22T07:10:44Z,2025-10-22T07:10:44Z,2025-10-22T07:10:44Z,,,
apache/dubbo,1505498913,13016,closed,Replace dubbo-build-tools with dubbo-shared-resources,CrazyHZM,2023-09-07T02:04:13Z,2025-10-22T04:25:13Z,2023-09-13T08:05:18Z,2023-09-13T08:05:18Z,,,
apache/dubbo,2931727866,15734,closed,BatchExecutorQueue performance risk #15732,fxli4,2025-10-21T02:10:23Z,2025-10-22T02:37:42Z,2025-10-22T02:37:42Z,,,,
apache/dubbo,1509522871,13036,closed,remove unused  emptyEvent,wxbty,2023-09-11T03:46:41Z,2025-10-20T21:19:32Z,2023-09-12T12:21:38Z,2023-09-12T12:21:38Z,,,
apache/dubbo,1426964269,12702,closed,Bump protobuf-java_version from 3.23.3 to 3.23.4,dependabot[bot],2023-07-10T07:21:04Z,2025-10-20T09:49:49Z,2023-07-11T01:47:51Z,2023-07-11T01:47:51Z,,,
apache/dubbo,2828146286,15690,closed,Bump io.micrometer:micrometer-tracing-bom from 1.5.1 to 1.5.4,dependabot[bot],2025-09-15T07:37:25Z,2025-10-20T07:25:12Z,2025-10-20T07:25:09Z,,,,
apache/dubbo,1386242671,12486,closed,Check registry in checkAndUpdateSubConfigs,AlbumenJ,2023-06-09T13:56:51Z,2025-10-20T06:52:03Z,2023-06-10T10:15:21Z,2023-06-10T10:15:21Z,,,
apache/dubbo,1502934565,13012,closed,fix pojo dependency protobuf class,icodening,2023-09-05T14:36:51Z,2025-10-20T02:40:59Z,2023-09-06T13:28:14Z,2023-09-06T13:28:14Z,,,
apache/dubbo,2927297588,15727,closed,Downgrade ubuntu testing system to 22.04 for ZK and nacos server,zrlw,2025-10-19T02:44:29Z,2025-10-19T12:21:51Z,2025-10-19T04:54:59Z,2025-10-19T04:54:59Z,,,
apache/dubbo,2862290126,15709,closed,[3.3] Add dubbo springboot3 dependency checker automatic configuration,zrlw,2025-09-26T01:26:47Z,2025-10-18T08:42:29Z,2025-10-17T13:19:39Z,2025-10-17T13:19:39Z,,,
apache/dubbo,2883961497,15714,closed,[3.3] Add dubbo package to serialize allow list for SpringXmlConfigTest to avoid IllegalArgumentException,zrlw,2025-10-03T06:36:52Z,2025-10-18T08:42:17Z,2025-10-16T12:41:01Z,2025-10-16T12:41:01Z,,,
apache/dubbo,1518985440,13073,closed,Bump io.projectreactor:reactor-core from 3.5.9 to 3.5.10,dependabot[bot],2023-09-18T07:46:56Z,2025-10-18T03:57:46Z,2023-09-20T01:42:03Z,2023-09-20T01:42:03Z,,,
apache/dubbo,2758737696,15648,closed,Bump org.springframework:spring-webmvc from 6.2.8 to 6.2.10,dependabot[bot],2025-08-20T07:37:30Z,2025-10-18T00:01:50Z,2025-10-18T00:01:41Z,,,,
apache/dubbo,2828196041,15691,closed,Bump io.micrometer:micrometer-core from 1.15.0 to 1.15.4,dependabot[bot],2025-09-15T07:55:17Z,2025-10-18T00:00:49Z,2025-10-18T00:00:42Z,2025-10-18T00:00:42Z,,,
apache/dubbo,2828202749,15692,closed,Bump io.projectreactor:reactor-core from 3.7.6 to 3.7.11,dependabot[bot],2025-09-15T07:57:39Z,2025-10-17T23:57:30Z,2025-10-17T23:57:22Z,2025-10-17T23:57:22Z,,,
apache/dubbo,2920554405,15723,closed,Bump org.springframework:spring-core from 6.2.8 to 6.2.11,dependabot[bot],2025-10-16T12:42:37Z,2025-10-17T23:56:01Z,2025-10-17T23:55:53Z,2025-10-17T23:55:53Z,,,
apache/dubbo,2074022472,14686,closed,Bump com.hazelcast:hazelcast from 3.12.13 to 5.3.5 in /dubbo-plugin/dubbo-filter-cache,dependabot[bot],2024-09-16T13:24:40Z,2025-10-17T13:20:02Z,2025-10-17T13:20:00Z,,,,
apache/dubbo,2828127169,15689,closed,Bump spring-6.version from 6.2.8 to 6.2.11,dependabot[bot],2025-09-15T07:29:38Z,2025-10-17T13:18:53Z,2025-10-17T13:18:45Z,2025-10-17T13:18:45Z,,,
apache/dubbo,2486762950,15347,closed,Feature/triple http3 cleanup fix,ankitshokeen,2025-04-28T19:39:13Z,2025-10-17T09:03:28Z,2025-06-23T14:44:11Z,,,,
apache/dubbo,2919980485,15722,closed,Prepare 3.3.6 release,oxsean,2025-10-16T09:35:07Z,2025-10-16T12:41:33Z,2025-10-16T12:41:33Z,2025-10-16T12:41:33Z,,,
apache/dubbo,2463403649,15325,closed,Fixed OutOfMemoryError during maven install ,zrlw,2025-04-16T12:13:44Z,2025-10-16T09:14:08Z,2025-04-24T07:54:22Z,2025-04-24T07:54:22Z,,,
apache/dubbo,1656464716,13567,closed,Bump ch.qos.logback:logback-core from 1.2.13 to 1.4.14,dependabot[bot],2023-12-25T08:30:00Z,2025-10-14T18:52:50Z,2023-12-25T11:37:00Z,2023-12-25T11:37:00Z,,,
apache/dubbo,1656465315,13570,closed,Bump bytebuddy.version from 1.14.10 to 1.14.11,dependabot[bot],2023-12-25T08:31:00Z,2025-10-14T18:52:49Z,2023-12-25T11:37:45Z,2023-12-25T11:37:45Z,,,
apache/dubbo,1524014541,13090,closed,Fix uts on 3.2,AlbumenJ,2023-09-21T03:24:25Z,2025-10-14T18:51:46Z,2023-09-21T06:07:15Z,2023-09-21T06:07:15Z,,,
apache/dubbo,1553824945,13196,closed,Using safe serialize executor in triple protocol,finefuture,2023-10-12T09:57:14Z,2025-10-14T18:51:38Z,2024-05-15T04:25:56Z,,,,
apache/dubbo,1655094942,13557,closed,optimize isProtobufClass method impl,SpringStudent,2023-12-22T13:21:57Z,2025-10-14T18:51:12Z,2023-12-26T09:31:45Z,2023-12-26T09:31:45Z,,,
apache/dubbo,1654592351,13556,closed,Make config builder more comprehensive,finefuture,2023-12-22T04:12:28Z,2025-10-14T18:51:06Z,2023-12-25T11:17:48Z,2023-12-25T11:17:48Z,,,
apache/dubbo,2381459223,15225,closed,Bump org.webjars:webjars-locator-lite from 1.0.1 to 1.1.0,dependabot[bot],2025-03-10T07:39:39Z,2025-10-06T07:09:34Z,2025-10-06T07:09:33Z,,,,
apache/dubbo,2747799273,15633,closed,Remove timestamp comparison from DefaultServiceInstance equals and hashCode methods,zrlw,2025-08-15T02:07:35Z,2025-09-29T06:59:25Z,2025-09-29T06:59:25Z,,,,
apache/dubbo,1361943637,12391,closed,Update README.md,Agorguy,2023-05-23T19:37:53Z,2025-09-28T08:03:52Z,2023-05-29T06:48:25Z,2023-05-29T06:48:25Z,,,
apache/dubbo,1491542013,12972,closed,Bump net.bytebuddy:byte-buddy from 1.14.5 to 1.14.7,dependabot[bot],2023-08-28T07:29:30Z,2025-09-26T21:40:19Z,2023-08-29T01:42:59Z,2023-08-29T01:42:59Z,,,
apache/dubbo,2862267498,15708,closed,[3.3] Optimize TriRpcStatus by adding http status code to its description,zrlw,2025-09-26T01:05:55Z,2025-09-26T08:57:11Z,2025-09-26T06:32:14Z,2025-09-26T06:32:14Z,,,
apache/dubbo,1742836605,13793,closed,Bump org.apache.maven.plugins:maven-shade-plugin from 3.5.1 to 3.5.2,dependabot[bot],2024-02-26T08:10:10Z,2025-09-25T13:02:37Z,2024-02-28T09:26:20Z,2024-02-28T09:26:20Z,,,
apache/dubbo,2545242171,15412,closed,fix: Fix some bugs about proto,paxxie2,2025-05-27T04:29:02Z,2025-09-25T06:11:14Z,2025-06-23T14:42:43Z,,,,
apache/dubbo,1526637030,13104,closed,Add metrics version compare,AlbumenJ,2023-09-22T13:58:27Z,2025-09-25T05:29:35Z,2023-09-30T02:06:22Z,2023-09-30T02:06:22Z,,,
apache/dubbo,2727538680,15625,closed,fix typos,co63oc,2025-08-07T12:01:10Z,2025-09-25T05:12:02Z,2025-08-08T02:24:45Z,2025-08-08T02:24:45Z,,,
apache/dubbo,1560209092,13223,closed,Fix wrong returnTypes for StubMethodDescriptor (branch3.2),namelessssssssssss,2023-10-17T09:52:30Z,2025-09-25T03:42:55Z,2023-10-18T01:44:57Z,2023-10-18T01:44:57Z,,,
apache/dubbo,2858770091,15707,closed,[3.3] Fix thread safety issue of ConsumerConfigurationListener,zrlw,2025-09-25T01:24:24Z,2025-09-25T02:48:06Z,2025-09-25T02:24:45Z,2025-09-25T02:24:45Z,,,
