repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
dbeaver/dbeaver,2956234592,39512,closed,[CORE] 25.2.5 version bump,dbeaver-devops,2025-10-28T18:02:24Z,2025-10-28T18:05:27Z,2025-10-28T18:05:27Z,2025-10-28T18:05:27Z,,,
dbeaver/dbeaver,2937500541,39478,closed,dbeaver/pro#6769 Check data and sql execution related permissions,ShadelessFox,2025-10-22T15:00:07Z,2025-10-28T16:14:28Z,2025-10-28T16:14:28Z,2025-10-28T16:14:28Z,,,
dbeaver/dbeaver,2935231106,39466,closed,dbeaver/pro#7116 Replace Crud rs icons,labanovichttps,2025-10-22T00:36:26Z,2025-10-28T16:13:24Z,2025-10-28T16:13:24Z,2025-10-28T16:13:24Z,,,
dbeaver/dbeaver,2954964752,39510,closed,dbeaver/dbeaver#39046 Fix privileges query for non-DBA users,vkirst,2025-10-28T12:05:43Z,2025-10-28T15:58:55Z,2025-10-28T15:58:55Z,2025-10-28T15:58:55Z,,,
dbeaver/dbeaver,2951143879,39500,closed,dbeaver/pro#7280 Fix external arrow not rendering correctly on macOS,ShadelessFox,2025-10-27T14:02:13Z,2025-10-28T15:58:16Z,2025-10-28T15:58:16Z,2025-10-28T15:58:16Z,,,
dbeaver/dbeaver,2937328788,39476,closed,dbeaver/pro#7245 AI chat fixes,serge-rider,2025-10-22T14:12:27Z,2025-10-28T15:13:29Z,2025-10-28T15:13:29Z,2025-10-28T15:13:29Z,,,
dbeaver/dbeaver,2894207033,39347,closed,dbeaver/pro#6509 CB Query confirmation,Nexus6v2,2025-10-07T14:26:16Z,2025-10-28T13:35:50Z,2025-10-28T13:35:35Z,2025-10-28T13:35:35Z,,,
dbeaver/dbeaver,2950980221,39498,closed,dbeaver/pro#6971 Added OpenAI base url to CB,Nexus6v2,2025-10-27T13:21:19Z,2025-10-28T07:51:40Z,2025-10-28T07:51:37Z,2025-10-28T07:51:37Z,,,
dbeaver/dbeaver,2937703419,39479,closed,dbeaver/pro#6984 Add DataGrip migration,serge-rider,2025-10-22T16:02:11Z,2025-10-27T16:19:15Z,2025-10-27T16:19:15Z,2025-10-27T16:19:15Z,,,
dbeaver/dbeaver,2944533244,39491,closed,Dbeaver/pro#6973 fix snowflake functions,labanovichttps,2025-10-24T12:40:38Z,2025-10-27T13:08:08Z,2025-10-27T13:08:08Z,2025-10-27T13:08:08Z,,,
dbeaver/dbeaver,2937844449,39480,closed,dbeaver/pro#6682 Add confirmation handling for unknown query types,labanovichttps,2025-10-22T16:59:03Z,2025-10-27T11:42:12Z,2025-10-27T11:42:12Z,2025-10-27T11:42:12Z,,,
dbeaver/dbeaver,2940931136,39486,closed,dbeaver/pro#6014 Fix splash update on Linux,ShadelessFox,2025-10-23T15:23:12Z,2025-10-27T05:28:29Z,2025-10-27T05:28:29Z,2025-10-27T05:28:29Z,,,
dbeaver/dbeaver,2940130834,39485,closed,dbeaver/dbeaver#38887: add force focus checkbox,SolovevAnton,2025-10-23T11:33:52Z,2025-10-24T17:08:27Z,2025-10-24T17:08:27Z,2025-10-24T17:08:27Z,,,
dbeaver/dbeaver,2937394547,39477,closed,Dbeaver/dbeaver#39322 sq lite foreign keys not recognized,SolovevAnton,2025-10-22T14:29:05Z,2025-10-24T17:07:35Z,2025-10-24T17:07:35Z,2025-10-24T17:07:35Z,,,
dbeaver/dbeaver,2933776283,39459,closed,#38742 Fix type resolution using base type name lookup,ShadelessFox,2025-10-21T15:05:36Z,2025-10-24T17:07:09Z,2025-10-24T17:07:09Z,2025-10-24T17:07:09Z,,,
dbeaver/dbeaver,2945338391,39493,closed,dbeaver/pro#7140 Base dialog buttons create refactoring + fixes,serge-rider,2025-10-24T16:28:10Z,2025-10-24T16:42:12Z,2025-10-24T16:42:12Z,2025-10-24T16:42:12Z,,,
dbeaver/dbeaver,2918141987,39415,closed,6956 core redesign cli tools,alexander-skoblikov,2025-10-15T17:32:04Z,2025-10-24T16:30:31Z,2025-10-24T16:30:31Z,2025-10-24T16:30:31Z,,,
dbeaver/dbeaver,2924481709,39437,closed,dbeaver/dbeaver#38510 Add “Exclude ID-like columns” option to disable grouping for numeric ID field,vkirst,2025-10-17T13:26:01Z,2025-10-24T12:08:45Z,2025-10-24T12:08:45Z,2025-10-24T12:08:45Z,,,
dbeaver/dbeaver,2939799003,39483,closed,dbeaver/pro#6014 Splash screen fix,serge-rider,2025-10-23T09:42:18Z,2025-10-23T13:01:42Z,2025-10-23T13:01:41Z,2025-10-23T13:01:41Z,,,
dbeaver/dbeaver,2913808296,39396,closed,dbeaver/pro#6810: add reconnect suggestion dialog,SolovevAnton,2025-10-14T13:59:10Z,2025-10-23T06:50:47Z,2025-10-23T06:50:47Z,2025-10-23T06:50:47Z,,,
dbeaver/dbeaver,2933113256,39456,closed,dbeaver/dbeaver#39405 JNA path fix,serge-rider,2025-10-21T12:05:35Z,2025-10-23T06:50:13Z,2025-10-23T06:50:13Z,2025-10-23T06:50:13Z,,,
dbeaver/dbeaver,2917624907,39411,closed,Dbeaver/dbeaver#38490 advanced copy settings saved,SolovevAnton,2025-10-15T14:42:58Z,2025-10-22T14:19:01Z,2025-10-22T14:19:01Z,2025-10-22T14:19:01Z,,,
dbeaver/dbeaver,2854155816,39261,closed,dbeaver/pro#6263 Task execution timeout,ShadelessFox,2025-09-23T18:08:07Z,2025-10-22T14:17:32Z,2025-10-22T14:17:32Z,2025-10-22T14:17:32Z,,,
dbeaver/dbeaver,2934458752,39463,closed,dbeaver/pro#7156 Add link parsing in AI Chat,IvanGorshechnikov,2025-10-21T18:43:35Z,2025-10-22T13:20:45Z,2025-10-22T13:20:44Z,2025-10-22T13:20:44Z,,,
dbeaver/dbeaver,2912935807,39393,closed,dbeaver/pro#6970 Fix ai snapshot generation,labanovichttps,2025-10-14T09:28:09Z,2025-10-22T13:19:27Z,2025-10-22T13:19:27Z,2025-10-22T13:19:27Z,,,
dbeaver/dbeaver,2920148422,39421,closed,dbeaver/pro#6771 Make file content editor optionally enabled,vkirst,2025-10-16T10:33:40Z,2025-10-22T08:07:56Z,2025-10-22T08:07:56Z,2025-10-22T08:07:56Z,,,
dbeaver/dbeaver,2932594200,39451,closed,dbeaver/pro#7217 Scope detection fix for AI command and legacy handler,serge-rider,2025-10-21T09:03:53Z,2025-10-21T16:31:03Z,2025-10-21T16:31:03Z,2025-10-21T16:31:03Z,,,
dbeaver/dbeaver,2927407917,39441,closed,dbeaver/pro#7205 Fix redundant icons,serge-rider,2025-10-19T06:54:36Z,2025-10-21T16:17:22Z,2025-10-21T16:17:22Z,2025-10-21T16:17:22Z,,,
dbeaver/dbeaver,2914242247,39399,closed,dbeaver/pro#5395 Fix semantic analysis not recognizing temp tables,ShadelessFox,2025-10-14T16:03:19Z,2025-10-21T14:55:07Z,2025-10-21T14:55:07Z,2025-10-21T14:55:07Z,,,
dbeaver/dbeaver,2930064305,39449,closed,dbeaver/pro#7196 Network profiles connection editor fix,ShadelessFox,2025-10-20T14:35:56Z,2025-10-21T14:54:22Z,2025-10-21T14:54:22Z,2025-10-21T14:54:22Z,,,
dbeaver/dbeaver,2923780766,39431,closed,dbeaver/pro#6589 Add connection info to export/backup wizards and task confirmations,vkirst,2025-10-17T10:05:01Z,2025-10-21T12:04:56Z,2025-10-21T12:04:56Z,2025-10-21T12:04:56Z,,,
dbeaver/dbeaver,2917944253,39413,closed,dbeaver/pro#6823 Add a short error message for OpenAI and Copilot,IvanGorshechnikov,2025-10-15T16:18:08Z,2025-10-21T10:13:52Z,2025-10-21T10:13:52Z,2025-10-21T10:13:52Z,,,
dbeaver/dbeaver,2918055654,39414,closed,dbeaver/dbeaver#38873 Add DuckDB execution context handling,labanovichttps,2025-10-15T16:59:59Z,2025-10-20T16:07:23Z,2025-10-20T16:07:22Z,2025-10-20T16:07:22Z,,,
dbeaver/dbeaver,2924363222,39436,closed,dbeaver/pro#7196 Profile selector fix,serge-rider,2025-10-17T12:47:55Z,2025-10-20T14:36:23Z,2025-10-20T14:36:23Z,,,,
dbeaver/dbeaver,2916415213,39403,closed,dbeaver/dbeaver#39279 Handle null active project,vkirst,2025-10-15T08:53:18Z,2025-10-20T13:13:53Z,2025-10-20T13:13:53Z,2025-10-20T13:13:53Z,,,
dbeaver/dbeaver,2923260661,39429,closed,dbeaver/pro#7140 Error dialog redesign,serge-rider,2025-10-17T06:54:45Z,2025-10-20T13:13:29Z,2025-10-20T13:13:29Z,2025-10-20T13:13:28Z,,,
dbeaver/dbeaver,2924255694,39434,closed,dbeaver/pro#7113 AI context init fix (do not set CURRENT_SCHEMA by de…,serge-rider,2025-10-17T12:17:28Z,2025-10-20T13:12:00Z,2025-10-20T13:12:00Z,2025-10-20T13:12:00Z,,,
dbeaver/dbeaver,2919776054,39418,closed,dbeaver/pro#7180 Tasks NPE fix,serge-rider,2025-10-16T08:26:26Z,2025-10-17T12:40:02Z,2025-10-17T12:40:02Z,2025-10-17T12:40:02Z,,,
