repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
elastic/elasticsearch,2942172711,137070,closed,ESQL: Handle release of 9.2 in test,nik9000,2025-10-23T21:16:03Z,2025-10-29T14:54:28Z,2025-10-29T14:54:28Z,2025-10-29T14:54:28Z,,,
elastic/elasticsearch,2958934526,137337,closed,[8.19] Fix NPE when `date_buckets` aggregation is missing in the response (#128974),przemekwitek,2025-10-29T13:07:57Z,2025-10-29T14:17:25Z,2025-10-29T14:17:20Z,2025-10-29T14:17:20Z,,,
elastic/elasticsearch,2958542692,137329,closed,Remove deprecated constant for default elser inference id,mridula-s109,2025-10-29T11:08:42Z,2025-10-29T14:09:13Z,2025-10-29T14:09:13Z,2025-10-29T14:09:13Z,,,
elastic/elasticsearch,2914876497,136569,closed,[ML] Adding bulk create functionality to ModelRegistry,jonathan-buttner,2025-10-14T19:59:24Z,2025-10-29T13:59:00Z,2025-10-29T13:59:00Z,2025-10-29T13:58:59Z,,,
elastic/elasticsearch,2951430249,137200,closed,Fix method visibility in public-callers-finder,mosche,2025-10-27T15:11:18Z,2025-10-29T13:58:33Z,2025-10-29T13:58:10Z,2025-10-29T13:58:10Z,,,
elastic/elasticsearch,2958989308,137339,closed,[docs] Update changelog summary for semantic_text ELSER on EIS default,leemthompo,2025-10-29T13:22:20Z,2025-10-29T13:50:22Z,2025-10-29T13:50:19Z,2025-10-29T13:50:19Z,,,
elastic/elasticsearch,1737038225,105702,closed,ESQL: Load csv data as ClassRule in single/multi-node,alex-spies,2024-02-21T15:05:08Z,2025-10-29T13:32:14Z,2025-10-29T13:32:14Z,,,,
elastic/elasticsearch,2958765557,137332,closed,"[9.2] Enable _otlp usage with `create_doc`, `auto_configure` privileges (#137325)",felixbarny,2025-10-29T12:19:31Z,2025-10-29T13:23:17Z,2025-10-29T13:22:54Z,2025-10-29T13:22:54Z,,,
elastic/elasticsearch,2569980832,128974,closed,Fix NPE when `date_buckets` aggregation is missing in the response,przemekwitek,2025-06-05T11:20:32Z,2025-10-29T13:07:59Z,2025-06-06T13:46:01Z,2025-06-06T13:46:01Z,,,
elastic/elasticsearch,2940999835,137047,closed,Reject invalid `reverse_nested` aggs,MattAlp,2025-10-23T15:40:14Z,2025-10-29T12:50:39Z,2025-10-29T12:49:32Z,2025-10-29T12:49:32Z,,,
elastic/elasticsearch,2957077405,137298,closed,ESQL: Fix release tests,nik9000,2025-10-28T23:10:47Z,2025-10-29T12:43:42Z,2025-10-29T12:43:19Z,2025-10-29T12:43:19Z,,,
elastic/elasticsearch,2934004412,136890,closed,cat API: added endpoint for Circuit Breakers,mamazzol,2025-10-21T16:15:38Z,2025-10-29T15:01:28Z,2025-10-29T12:40:46Z,2025-10-29T12:40:46Z,,,
elastic/elasticsearch,2955508410,137264,closed,Verify PromqlCommand and throw on currently unsupported queries,felixbarny,2025-10-28T14:37:12Z,2025-10-29T12:35:28Z,2025-10-29T08:53:25Z,2025-10-29T08:53:25Z,,,
elastic/elasticsearch,2958254433,137316,closed,[9.1] ESQL: Fix ReplaceAliasingEvalWithProject in case of shadowing (#137025),alex-spies,2025-10-29T09:38:09Z,2025-10-29T12:28:12Z,2025-10-29T12:27:49Z,2025-10-29T12:27:49Z,,,
elastic/elasticsearch,2958273700,137318,closed,[8.19] ESQL: Fix ReplaceAliasingEvalWithProject in case of shadowing (#137025),alex-spies,2025-10-29T09:44:27Z,2025-10-29T12:27:12Z,2025-10-29T12:26:49Z,2025-10-29T12:26:49Z,,,
elastic/elasticsearch,2958416794,137325,closed,"Enable _otlp usage with `create_doc`, `auto_configure` privileges",felixbarny,2025-10-29T10:30:35Z,2025-10-29T12:19:40Z,2025-10-29T12:18:26Z,2025-10-29T12:18:26Z,,,
elastic/elasticsearch,2828534802,134708,closed,  Default semantic_text fields to ELSER on EIS when available,mridula-s109,2025-09-15T09:43:22Z,2025-10-29T12:18:05Z,2025-10-29T10:39:07Z,2025-10-29T10:39:07Z,,,
elastic/elasticsearch,2924393113,136748,closed,ESQL: Time_zone tests,ivancea,2025-10-17T12:55:47Z,2025-10-29T12:11:08Z,2025-10-29T12:11:07Z,2025-10-29T12:11:07Z,,,
elastic/elasticsearch,2958358738,137321,closed,[9.2] Reindex-from-remote: Fail on manual slicing param (#137275),PeteGillinElastic,2025-10-29T10:13:26Z,2025-10-29T12:07:33Z,2025-10-29T12:07:11Z,2025-10-29T12:07:10Z,,,
elastic/elasticsearch,2958414914,137324,closed,[9.2] ESQL: Unmute gen tests that fail due to wrong optimization (#137000),alex-spies,2025-10-29T10:29:59Z,2025-10-29T12:03:21Z,2025-10-29T12:02:58Z,2025-10-29T12:02:58Z,,,
elastic/elasticsearch,2903025538,136355,closed,Add missing time-series aggs to documentation,kkrik-es,2025-10-10T08:00:58Z,2025-10-29T11:46:32Z,2025-10-13T10:14:16Z,2025-10-13T10:14:16Z,,,
elastic/elasticsearch,2957916353,137306,closed,Shard started reroute high priority,henningandersen,2025-10-29T07:36:00Z,2025-10-29T11:29:40Z,2025-10-29T11:29:39Z,2025-10-29T11:29:39Z,,,
elastic/elasticsearch,2958360342,137323,closed,[9.1] Reindex-from-remote: Fail on manual slicing param (#137275),PeteGillinElastic,2025-10-29T10:13:54Z,2025-10-29T11:17:22Z,2025-10-29T11:16:39Z,2025-10-29T11:16:39Z,,,
elastic/elasticsearch,2958359535,137322,closed,[8.19] Reindex-from-remote: Fail on manual slicing param (#137275),PeteGillinElastic,2025-10-29T10:13:43Z,2025-10-29T11:13:09Z,2025-10-29T11:12:46Z,2025-10-29T11:12:46Z,,,
elastic/elasticsearch,2939406752,137000,closed,ESQL: Unmute generative tests that fail with wrong optimization,alex-spies,2025-10-23T07:19:50Z,2025-10-29T10:30:06Z,2025-10-29T10:29:01Z,2025-10-29T10:29:01Z,,,
elastic/elasticsearch,2955874319,137275,closed,Reindex-from-remote: Fail on manual slicing param,PeteGillinElastic,2025-10-28T16:14:30Z,2025-10-29T10:14:02Z,2025-10-29T10:12:22Z,2025-10-29T10:12:22Z,,,
elastic/elasticsearch,2958127217,137312,closed,[9.1] Add downsample YAML tests to rest-resources-zip (#137308),pquentin,2025-10-29T08:59:11Z,2025-10-29T10:01:46Z,2025-10-29T10:01:23Z,2025-10-29T10:01:23Z,,,
elastic/elasticsearch,2958126707,137311,closed,[8.19] Add downsample YAML tests to rest-resources-zip (#137308),pquentin,2025-10-29T08:58:59Z,2025-10-29T09:56:29Z,2025-10-29T09:56:06Z,2025-10-29T09:56:06Z,,,
elastic/elasticsearch,2958126015,137310,closed,[9.2] Add downsample YAML tests to rest-resources-zip (#137308),pquentin,2025-10-29T08:58:43Z,2025-10-29T09:53:45Z,2025-10-29T09:53:22Z,2025-10-29T09:53:22Z,,,
