repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
eugenp/tutorials,2958698669,18895,closed,BAEL-9352: Mocking Object Properties With Mockito,francis-n440,2025-10-29T11:58:53Z,2025-10-29T12:54:50Z,2025-10-29T12:54:50Z,,,,
eugenp/tutorials,2958596252,18894,closed,BAEL-9352: Mocking Object Properties With Mockito,francis-n440,2025-10-29T11:25:49Z,2025-10-29T11:45:03Z,2025-10-29T11:45:03Z,,,,
eugenp/tutorials,2952590012,18887,closed,BAEL-9352: Mocking Object Properties With Mockito,francis-n440,2025-10-27T20:35:16Z,2025-10-29T10:14:32Z,2025-10-29T10:14:32Z,,,,
eugenp/tutorials,2845903792,18822,closed,BAEL-8377 | Adding code for avoiding bot detection,programenth,2025-09-20T05:43:52Z,2025-10-28T20:49:35Z,2025-10-28T20:49:35Z,2025-10-28T20:49:35Z,,,
eugenp/tutorials,2908526118,18861,closed,[BAEL-9430] Fix Integration Test,psevestre,2025-10-13T00:56:23Z,2025-10-28T18:38:17Z,2025-10-28T18:38:16Z,2025-10-28T18:38:16Z,,,
eugenp/tutorials,2928945221,18876,closed,BAEL-9186 Convert BCD to Decimal,nikhil1980,2025-10-20T08:01:42Z,2025-10-28T10:44:44Z,2025-10-22T02:28:36Z,2025-10-22T02:28:36Z,,,
eugenp/tutorials,2928918644,18875,closed,BAEL-9402: Calculate the Difference of Two Angle Measures in Java,nikhil1980,2025-10-20T07:47:29Z,2025-10-28T10:44:37Z,2025-10-24T00:55:37Z,2025-10-24T00:55:36Z,,,
eugenp/tutorials,2953266381,18888,closed,Bael 8657,wynnteo,2025-10-28T01:22:31Z,2025-10-28T09:24:59Z,2025-10-28T09:24:59Z,2025-10-28T09:24:59Z,,,
eugenp/tutorials,2952386442,18886,closed,BAEL-9352: Mocking Object Properties With Mockito,francis-n440,2025-10-27T19:40:32Z,2025-10-27T20:13:19Z,2025-10-27T20:13:19Z,,,,
eugenp/tutorials,2926215520,18873,closed,Add Spring Boot Custom Validation Module,sandipk09roy-pixel,2025-10-18T05:54:17Z,2025-10-25T01:43:31Z,2025-10-25T01:43:31Z,2025-10-25T01:43:31Z,,,
eugenp/tutorials,2922866377,18870,closed,Bael 6855,wynnteo,2025-10-17T03:32:16Z,2025-10-24T01:44:12Z,2025-10-24T01:44:12Z,2025-10-24T01:44:12Z,,,
eugenp/tutorials,2920342884,18869,closed,BAEL-9152: Set the Null Value for a Target Property in Mapstruct,pedrolopes9-7,2025-10-16T11:35:41Z,2025-10-24T01:25:38Z,2025-10-24T01:25:38Z,2025-10-24T01:25:38Z,,,
eugenp/tutorials,2938612362,18881,closed,BAEL-6681 Guide to Jersey Logging on Server,ulisseslima,2025-10-22T22:00:28Z,2025-10-24T00:39:02Z,2025-10-24T00:39:01Z,2025-10-24T00:39:01Z,,,
eugenp/tutorials,2844560420,18818,closed,[BAEL-9099] Different Ways to Get Servlet Context,martin-blazevic,2025-09-19T17:10:56Z,2025-10-23T11:55:15Z,2025-10-23T11:55:15Z,2025-10-23T11:55:15Z,,,
eugenp/tutorials,2919074908,18867,closed,BAEL-9469 Accept maxAttempts(0),Deepak-Vohra,2025-10-16T01:37:37Z,2025-10-23T03:37:12Z,2025-10-23T03:37:12Z,2025-10-23T03:37:12Z,,,
eugenp/tutorials,2918921507,18866,closed,BAEL-9467 Deserialize Response JSON as List<POJO> in Rest Assured,dvohra16,2025-10-15T23:22:39Z,2025-10-23T03:22:09Z,2025-10-23T03:22:08Z,2025-10-23T03:22:08Z,,,
eugenp/tutorials,2914452201,18863,closed,Bael 9455,Neetika23,2025-10-14T17:10:24Z,2025-10-23T01:11:57Z,2025-10-23T01:11:57Z,2025-10-23T01:11:57Z,,,
eugenp/tutorials,2932718558,18878,closed,BAEL-9480: Add code for article: Splitting String and Put It on int A…,tecofers,2025-10-21T09:44:41Z,2025-10-22T12:19:58Z,2025-10-22T12:19:58Z,2025-10-22T12:19:58Z,,,
eugenp/tutorials,2930427934,18877,closed,BAEL-6761 -  How to mock AmazonSQS in unit test,Alexandru-Borza,2025-10-20T16:28:03Z,2025-10-21T16:08:17Z,2025-10-21T16:08:17Z,2025-10-21T16:08:17Z,,,
eugenp/tutorials,2908034350,18860,closed,BAEL-9453 by sgrverma23: changes of ways to configure the Order of Configuration in Spring Boot,sgrverma23,2025-10-12T17:13:37Z,2025-10-21T15:48:45Z,2025-10-21T15:48:45Z,2025-10-21T15:48:45Z,,,
eugenp/tutorials,2899317460,18853,closed,[JAVA-49198] Removed native profiles,panos-kakos,2025-10-09T04:04:32Z,2025-10-20T08:17:38Z,2025-10-15T17:53:51Z,2025-10-15T17:53:51Z,,,
eugenp/tutorials,2923108681,18871,closed,BAEL-9402: Calculate the Difference of Two Angle Measures in Java,nikhil1980,2025-10-17T05:40:23Z,2025-10-20T07:01:03Z,2025-10-20T07:01:03Z,,,,
eugenp/tutorials,2926503967,18874,closed,BAEL-8140: rollback-only transactions,etrandafir93,2025-10-18T09:59:37Z,2025-10-19T14:22:41Z,2025-10-19T14:22:40Z,2025-10-19T14:22:40Z,,,
eugenp/tutorials,2916634932,18865,closed,Add Delta Lake Support,anujgaud,2025-10-15T10:00:08Z,2025-10-17T22:32:05Z,2025-10-17T22:32:05Z,2025-10-17T22:32:05Z,,,
eugenp/tutorials,2915596649,18864,closed,"BAEL-9473 Support @CacheConfig(""myCacheName"") Declarations in Spring",dvohra09,2025-10-15T02:28:09Z,2025-10-17T14:39:10Z,2025-10-17T14:39:09Z,2025-10-17T14:39:09Z,,,
eugenp/tutorials,2912178612,18862,closed,BAEL-9402: Calculate the Difference of Two Angle Measures in Java,nikhil1980,2025-10-14T03:51:22Z,2025-10-17T05:05:14Z,2025-10-17T05:04:53Z,,,,
eugenp/tutorials,2873861942,18836,closed,Bael 9389,wynnteo,2025-09-30T10:16:14Z,2025-10-17T03:01:12Z,2025-10-02T02:44:57Z,2025-10-02T02:44:57Z,,,
eugenp/tutorials,2868664667,18833,closed,Bael 9437,wynnteo,2025-09-29T00:56:55Z,2025-10-17T03:01:11Z,2025-10-02T02:01:44Z,2025-10-02T02:01:44Z,,,
eugenp/tutorials,2791171127,18781,closed,Bael 9428,wynnteo,2025-09-02T03:50:29Z,2025-10-17T03:01:11Z,2025-09-11T01:57:46Z,2025-09-11T01:57:46Z,,,
eugenp/tutorials,2919753230,18868,closed,Updating Dapr Version to 1.16.0,salaboy,2025-10-16T08:18:21Z,2025-10-16T12:32:25Z,2025-10-16T12:32:25Z,2025-10-16T12:32:25Z,,,
eugenp/tutorials,2862085389,18829,closed,BAEL-9439 Update pom.xml,Deepak-Vohra,2025-09-25T22:29:46Z,2025-10-16T00:03:16Z,2025-10-16T00:03:16Z,2025-10-16T00:03:16Z,,,
eugenp/tutorials,2892494382,18850,closed,[JAVA-49185] Created parent-spring-7 module,panos-kakos,2025-10-07T03:18:54Z,2025-10-15T17:04:01Z,2025-10-12T23:19:30Z,2025-10-12T23:19:30Z,,,
eugenp/tutorials,2908007448,18859,closed,[modify-file] modify file,sk1418,2025-10-12T16:53:59Z,2025-10-15T01:35:48Z,2025-10-15T01:35:48Z,2025-10-15T01:35:48Z,,,
eugenp/tutorials,2825880505,18804,closed,Bael 9419 spring ai agentic patterns,bpstelios10,2025-09-13T20:11:22Z,2025-10-12T21:56:08Z,2025-10-12T21:56:08Z,2025-10-12T21:56:08Z,,,
eugenp/tutorials,2899037498,18852,closed,"BAEL-9448 Convert Integer Minutes into String ""hh:mm"" in Java",dvohra09,2025-10-09T00:11:12Z,2025-10-11T13:16:00Z,2025-10-11T13:16:00Z,2025-10-11T13:16:00Z,,,
eugenp/tutorials,2892727567,18851,closed,BAEL-9258: Concatenate Two Data Frames With the Same Column Name,francis-n440,2025-10-07T05:55:24Z,2025-10-11T04:01:09Z,2025-10-11T04:01:08Z,2025-10-11T04:01:08Z,,,
eugenp/tutorials,2904048762,18857,closed,BAEL-8376: How to Scroll an Element Into View in Selenium,mauricemaina,2025-10-10T13:35:29Z,2025-10-10T17:26:26Z,2025-10-10T17:26:26Z,2025-10-10T17:26:26Z,,,
eugenp/tutorials,2890119153,18849,closed,BAEL-7429: Java Serialization with Non Serializable Parts,sazzer,2025-10-06T12:56:29Z,2025-10-10T16:56:15Z,2025-10-10T16:56:15Z,2025-10-10T16:56:15Z,,,
eugenp/tutorials,2724386807,18736,closed,add missing code for httpinterface article,lor6,2025-08-06T13:20:19Z,2025-10-10T09:22:38Z,2025-10-10T09:22:36Z,2025-10-10T09:22:36Z,,,
eugenp/tutorials,2902982122,18856,closed,upgrade version in spring-ejb-client module,lor6,2025-10-10T07:45:24Z,2025-10-10T08:04:16Z,2025-10-10T08:04:13Z,2025-10-10T08:04:13Z,,,
eugenp/tutorials,2814955319,18798,closed,Implement unit test in gRPC service,saikatcse03,2025-09-10T10:12:15Z,2025-10-10T03:47:41Z,2025-10-10T03:47:41Z,2025-10-10T03:47:41Z,,,
eugenp/tutorials,2826632605,18806,closed,BAEL-9426: Passing Parameters to ProcessBuilder Containing Spaces in …,achraftt,2025-09-14T11:46:43Z,2025-10-10T01:01:57Z,2025-10-10T01:01:57Z,2025-10-10T01:01:57Z,,,
eugenp/tutorials,2899774374,18854,closed,Comment out spring-ejb-client module due to failure,lor6,2025-10-09T08:07:30Z,2025-10-09T12:04:51Z,2025-10-09T12:04:47Z,2025-10-09T12:04:47Z,,,
eugenp/tutorials,2874566219,18838,closed,[BAEL-5774] Constructor vs. initialize() in JavaFX,haidar47x,2025-09-30T13:25:03Z,2025-10-08T18:04:31Z,2025-10-08T18:04:30Z,2025-10-08T18:04:30Z,,,
eugenp/tutorials,2874990859,18839,closed,Java 48938,panos-kakos,2025-09-30T15:04:38Z,2025-10-07T02:51:33Z,2025-10-03T19:55:47Z,2025-10-03T19:55:47Z,,,
eugenp/tutorials,2875491461,18840,closed,Java 48737,panos-kakos,2025-09-30T17:57:42Z,2025-10-07T02:51:23Z,2025-10-03T19:41:14Z,2025-10-03T19:41:14Z,,,
eugenp/tutorials,2884354452,18848,closed,[JAVA-45071] Moved gradle-jacoco from gradle submodule to parent modu…,panos-kakos,2025-10-03T09:21:41Z,2025-10-07T02:51:10Z,2025-10-03T20:36:18Z,2025-10-03T20:36:18Z,,,
eugenp/tutorials,2882721142,18846,closed,BAEL-9258: Concatenate Two Data Frames With the Same Column Name,francis-n440,2025-10-02T18:53:01Z,2025-10-06T17:15:38Z,2025-10-06T17:15:38Z,,,,
eugenp/tutorials,2879895701,18844,closed,BAEL-8847: Generating HTTP Clients in Spring Boot from OpenAPI Spec,pedrolopes9-7,2025-10-01T22:39:46Z,2025-10-06T00:37:44Z,2025-10-06T00:37:43Z,2025-10-06T00:37:43Z,,,
eugenp/tutorials,2882648836,18845,closed,[BAEL-9328] Refactor due to max no of articles reached,rajat-garg,2025-10-02T18:24:07Z,2025-10-05T07:56:23Z,2025-10-05T07:56:23Z,2025-10-05T07:56:23Z,,,
eugenp/tutorials,2873203068,18835,closed,BAEL-9456,Neetika23,2025-09-30T07:11:44Z,2025-10-04T01:57:36Z,2025-10-04T01:57:36Z,2025-10-04T01:57:36Z,,,
eugenp/tutorials,2866313663,18832,closed,[BAEL-9335] POST data using Jsoup,rajat-garg,2025-09-27T09:42:40Z,2025-10-03T18:25:49Z,2025-10-03T18:25:49Z,2025-10-03T18:25:49Z,,,
eugenp/tutorials,2875886384,18841,closed,BAEL-9446: What an Object[] Array Can Hold,samuelnjoki29,2025-09-30T20:10:18Z,2025-10-03T18:23:52Z,2025-10-03T18:23:52Z,2025-10-03T18:23:52Z,,,
eugenp/tutorials,2874300262,18837,closed,codebase/configuring-multiple-llms-in-spring-ai [BAEL-9461],hardikSinghBehl,2025-09-30T12:17:23Z,2025-10-03T04:22:59Z,2025-10-03T04:21:57Z,2025-10-03T04:21:57Z,,,
eugenp/tutorials,2871763172,18834,closed,BAEL-9358: Uploading usage demo source,NjabuloM,2025-09-29T19:15:05Z,2025-10-03T02:12:57Z,2025-10-03T02:12:57Z,2025-10-03T02:12:57Z,,,
eugenp/tutorials,2860500881,18828,closed,BAEL-9258: Concatenate Two Data Frames With the Same Column Name,francis-n440,2025-09-25T12:41:15Z,2025-10-02T18:39:30Z,2025-10-02T18:39:30Z,,,,
eugenp/tutorials,2853782374,18826,closed,BAEL-8605: testing micrometer,etrandafir93,2025-09-23T15:35:08Z,2025-10-02T16:24:14Z,2025-10-02T16:24:14Z,2025-10-02T16:24:14Z,,,
eugenp/tutorials,2846810335,18824,closed,BAEL 6671 - Avoid Jackson Serialization on Non Fetched Lazy Objects,ulisseslima,2025-09-21T05:06:13Z,2025-10-02T15:32:18Z,2025-10-02T15:32:18Z,2025-10-02T15:32:18Z,,,
eugenp/tutorials,2876958361,18843,closed,BAEL-8931: Java Split String Performance,samuelkaranja,2025-10-01T05:48:22Z,2025-10-01T08:57:05Z,2025-10-01T08:57:05Z,2025-10-01T08:57:05Z,,,
eugenp/tutorials,2876814978,18842,closed,BAEL-8931: Java Split String Performance,samuelkaranja,2025-10-01T04:27:15Z,2025-10-01T04:43:06Z,2025-10-01T04:43:06Z,,,,
eugenp/tutorials,2830055450,18808,closed,BAEL-9384 Flexible constructor bodies in java,sam-gardner,2025-09-15T17:24:19Z,2025-09-28T20:43:40Z,2025-09-28T20:43:40Z,2025-09-28T20:43:40Z,,,
eugenp/tutorials,2846469104,18823,closed,"Bael-9371, Intro to Repository Vector Search Methods",parthiv39731,2025-09-20T18:35:58Z,2025-09-28T20:32:27Z,2025-09-28T20:32:27Z,2025-09-28T20:32:27Z,,,
eugenp/tutorials,2815318699,18799,closed,BAEL-7804,jsfan3,2025-09-10T12:22:01Z,2025-09-28T06:51:52Z,2025-09-28T06:51:52Z,2025-09-28T06:51:52Z,,,
eugenp/tutorials,2864779266,18831,closed,JAVA-48865: Updated the logs to DEBUG which are not used in the articles,Bipinkumar27,2025-09-26T16:28:13Z,2025-09-26T20:08:27Z,2025-09-26T20:08:27Z,2025-09-26T20:08:27Z,,,
eugenp/tutorials,2852149530,18825,closed,BAEL-9183: Configuration Management using Apollo,sazzer,2025-09-23T06:45:34Z,2025-09-26T12:14:29Z,2025-09-26T12:14:29Z,2025-09-26T12:14:29Z,,,
eugenp/tutorials,2840274171,18816,closed,"BAEL-9122 - Elastic Search Query with ""not contains""",sIvanovKonstantyn,2025-09-18T13:26:00Z,2025-09-25T15:15:45Z,2025-09-25T15:15:45Z,2025-09-25T15:15:45Z,,,
