repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
google/guava,2956739926,8064,closed,Very partial rollback of https://github.com/google/guava/commit/d417c5b31751cffc42f06d8e5c3723e2ffb0efdc.,copybara-service[bot],2025-10-28T20:51:12Z,2025-10-28T21:00:22Z,2025-10-28T21:00:18Z,2025-10-28T21:00:18Z,,,
google/guava,2956299127,8063,closed,Use Truth array assertions over JUnit.,copybara-service[bot],2025-10-28T18:20:46Z,2025-10-28T18:45:00Z,2025-10-28T18:44:59Z,2025-10-28T18:44:59Z,,,
google/guava,2956129325,8062,closed,Use `ComparableSubject` assertions over JUnit.,copybara-service[bot],2025-10-28T17:29:16Z,2025-10-28T18:20:08Z,2025-10-28T18:20:08Z,2025-10-28T18:20:08Z,,,
google/guava,2955544211,8061,closed,Use Truth `isNull()` and `isNotNull()` over JUnit.,copybara-service[bot],2025-10-28T14:47:04Z,2025-10-28T16:03:56Z,2025-10-28T16:03:56Z,,,,
google/guava,2937979990,8059,closed,Automated Code Change,copybara-service[bot],2025-10-22T17:51:04Z,2025-10-22T18:14:55Z,2025-10-22T18:14:54Z,2025-10-22T18:14:54Z,,,
google/guava,2932692192,8056,closed,Promote Traverser from beta to not a beta anymore,ZeroOne3010,2025-10-21T09:34:35Z,2025-10-21T20:43:47Z,2025-10-21T20:43:28Z,,,,
google/guava,2933606603,8058,closed,Automated Code Change,copybara-service[bot],2025-10-21T14:18:00Z,2025-10-21T15:40:53Z,2025-10-21T15:40:52Z,2025-10-21T15:40:52Z,,,
google/guava,2917661328,8054,closed,Add `@since` tag for `asNetwork()`.,copybara-service[bot],2025-10-15T14:52:57Z,2025-10-15T15:23:36Z,2025-10-15T15:23:36Z,2025-10-15T15:23:36Z,,,
google/guava,2907077551,8053,closed,(www.wassenaar.org).Update build.gradle.kts,rsf3179-sys,2025-10-11T22:57:39Z,2025-10-11T23:20:10Z,2025-10-11T23:20:10Z,,,,
google/guava,2905114161,8051,closed,Further rework `ImmutableSet.copyOf` handling of `EnumSet` after https://github.com/google/guava/commit/83869af96382246da6ff99cb029ef59ba684f592.,copybara-service[bot],2025-10-10T18:52:06Z,2025-10-11T14:54:07Z,2025-10-11T14:54:07Z,2025-10-11T14:54:07Z,,,
google/guava,2905600073,8052,closed,Tweak some code to satisfy some of our nullness checking.,copybara-service[bot],2025-10-10T22:43:55Z,2025-10-10T23:13:52Z,2025-10-10T23:13:51Z,2025-10-10T23:13:51Z,,,
google/guava,2904578344,8050,closed,Remove unnecessary raw cast.,copybara-service[bot],2025-10-10T16:05:32Z,2025-10-10T16:29:35Z,2025-10-10T16:29:34Z,2025-10-10T16:29:34Z,,,
google/guava,2901984057,8049,closed,Touch up jrtom `CONTRIBUTORS` entry.,copybara-service[bot],2025-10-09T20:49:47Z,2025-10-09T21:14:13Z,2025-10-09T21:14:12Z,2025-10-09T21:14:12Z,,,
google/guava,2898363607,8048,closed,Restore some `@link` tags and associated imports that were removed in cl/305727790.,copybara-service[bot],2025-10-08T18:28:43Z,2025-10-08T18:55:40Z,2025-10-08T18:55:39Z,2025-10-08T18:55:39Z,,,
