repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
iluwatar/java-design-patterns,23651181,11,closed,add some class diagram for each design pattern,llitfkitfk,2014-10-31T01:24:31Z,2025-10-21T01:45:50Z,2014-11-03T20:35:41Z,2014-11-03T20:35:41Z,,,
iluwatar/java-design-patterns,2830770276,3321,closed,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.11,dependabot[bot],2025-09-15T22:02:47Z,2025-10-20T22:04:09Z,2025-10-20T22:04:08Z,,,,
iluwatar/java-design-patterns,2830771420,3322,closed,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M7,dependabot[bot],2025-09-15T22:03:21Z,2025-10-20T22:03:50Z,2025-10-20T22:03:48Z,,,,
iluwatar/java-design-patterns,2926964867,3375,closed,Microservice pattern: Server-side page fragment composition #2697,athikha,2025-10-18T17:45:07Z,2025-10-18T18:01:33Z,2025-10-18T17:48:40Z,,,,
iluwatar/java-design-patterns,2926936844,3374,closed,Microservice pattern: Server-side page fragment composition #2697,athikha,2025-10-18T17:09:28Z,2025-10-18T17:55:44Z,2025-10-18T17:42:15Z,,,,
iluwatar/java-design-patterns,2926909555,3373,closed,Microservice pattern: Server-side page fragment composition #2697,athikha,2025-10-18T16:29:55Z,2025-10-18T16:56:40Z,2025-10-18T16:56:40Z,,,,
iluwatar/java-design-patterns,2402143138,3212,closed,Improving loops in BallThread.java & updating its README.md.,Francisco-G-P,2025-03-18T21:24:49Z,2025-10-15T16:46:38Z,2025-10-15T16:46:38Z,,,,
iluwatar/java-design-patterns,2891648455,3333,closed,fix: Issue #2977 Properly handle suspension and resumption of BallThread,sgindeed,2025-10-06T19:51:45Z,2025-10-07T03:50:54Z,2025-10-07T03:50:54Z,,,,
iluwatar/java-design-patterns,2792557891,3319,closed,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.16.0,dependabot[bot],2025-09-02T12:49:27Z,2025-10-06T22:02:54Z,2025-10-06T22:02:53Z,,,,
iluwatar/java-design-patterns,2755555719,3312,closed,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M6,dependabot[bot],2025-08-19T07:55:31Z,2025-09-15T22:03:25Z,2025-09-15T22:03:24Z,,,,
iluwatar/java-design-patterns,2755524774,3311,closed,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.10,dependabot[bot],2025-08-19T07:46:01Z,2025-09-15T22:02:51Z,2025-09-15T22:02:50Z,,,,
