repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
jeecgboot/JeecgBoot,2931533881,9005,closed,Bump vite from 6.2.3 to 6.4.1 in /jeecgboot-vue3,dependabot[bot],2025-10-20T23:56:30Z,2025-10-22T07:26:43Z,2025-10-22T07:26:41Z,,,,
jeecgboot/JeecgBoot,2928341020,9001,closed,Satoken,ahuahuaccc,2025-10-20T01:58:53Z,2025-10-20T02:00:29Z,2025-10-20T02:00:28Z,,,,
jeecgboot/JeecgBoot,2569929468,8387,closed,fix(ResourceUtil.java): 修复“用于后端字典翻译”，keys传多个也只add第1个的问题,York0519,2025-06-05T11:00:02Z,2025-10-15T09:01:19Z,2025-10-15T09:01:19Z,,,,
jeecgboot/JeecgBoot,2783403105,8786,closed,for QQYUN-13592 nacos中移除undertow配置 - ,hoperunChen,2025-08-29T01:54:37Z,2025-10-12T02:05:13Z,2025-10-12T02:05:13Z,,,,
jeecgboot/JeecgBoot,2872753832,8919,closed,Bump io.minio:minio from 8.5.7 to 8.6.0 in /jeecg-boot,dependabot[bot],2025-09-30T03:44:24Z,2025-10-11T10:36:32Z,2025-10-11T10:36:30Z,,,,
jeecgboot/JeecgBoot,2887297934,8927,closed,Update LICENSE,uservivo26user-s,2025-10-04T14:42:47Z,2025-10-05T08:34:48Z,2025-10-05T08:34:48Z,,,,
jeecgboot/JeecgBoot,2778900512,8779,closed,🧪 Add unit tests to improve code reliability,FrancoKaddour,2025-08-27T16:25:49Z,2025-09-27T16:02:07Z,2025-09-27T16:02:07Z,,,,
jeecgboot/JeecgBoot,2839480805,8874,closed,Bump form-data from 4.0.2 to 4.0.4 in /jeecgboot-vue3,dependabot[bot],2025-09-18T09:32:39Z,2025-09-18T09:33:06Z,2025-09-18T09:32:58Z,,,,
jeecgboot/JeecgBoot,2822379564,8846,closed,Bump axios from 1.8.4 to 1.12.0 in /jeecgboot-vue3,dependabot[bot],2025-09-12T11:37:09Z,2025-09-18T09:32:55Z,2025-09-18T09:32:47Z,,,,
jeecgboot/JeecgBoot,2813668026,8828,closed,Bump vite from 6.2.3 to 6.3.6 in /jeecgboot-vue3,dependabot[bot],2025-09-09T23:56:44Z,2025-09-18T09:32:47Z,2025-09-18T09:32:45Z,,,,
jeecgboot/JeecgBoot,2763230672,8748,closed,Bump org.apache.tika:tika-parser-pdf-module from 2.9.1 to 3.2.2 in /jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag,dependabot[bot],2025-08-21T14:37:33Z,2025-08-29T08:23:29Z,2025-08-29T08:23:19Z,,,,
jeecgboot/JeecgBoot,2227926766,7570,closed,修复  onExportXls defSort 不生效问题,RememberTheID,2024-12-11T04:13:16Z,2025-08-13T01:26:30Z,2025-08-13T01:26:30Z,,,,
jeecgboot/JeecgBoot,2616744704,8496,closed,解决TableAction中自定义图标颜色不起作用的问题,lileiAimee,2025-06-25T03:09:54Z,2025-08-13T01:20:31Z,2025-08-13T01:20:31Z,2025-08-13T01:20:31Z,,,
jeecgboot/JeecgBoot,2643746846,8550,closed,fix(xxljob): 修复因 factoryBeanObjectType 导致的启动失败,TsuGit,2025-07-05T19:35:02Z,2025-08-12T16:02:30Z,2025-08-12T16:02:30Z,2025-08-12T16:02:30Z,,,
jeecgboot/JeecgBoot,2699730322,8654,closed,Update SysPermissionMapper.xml,liuliwanzi,2025-07-28T08:30:59Z,2025-07-29T01:27:01Z,2025-07-29T01:27:01Z,,,,
