repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
krahets/hello-algo,2852058611,1812,closed,docs: add Japanese translate documents,eltociear,2025-09-23T06:05:20Z,2025-10-16T21:39:12Z,2025-10-16T21:04:43Z,2025-10-16T21:04:43Z,,,
krahets/hello-algo,2922186837,1819,closed,Update ja/README,krahets,2025-10-16T21:25:50Z,2025-10-16T21:28:32Z,2025-10-16T21:28:31Z,2025-10-16T21:28:31Z,,,
krahets/hello-algo,2854230306,1815,closed,Update the Warp link.,krahets,2025-09-23T18:37:50Z,2025-09-23T18:38:01Z,2025-09-23T18:37:59Z,2025-09-23T18:37:59Z,,,
krahets/hello-algo,2854076360,1814,closed,Dev,krahets,2025-09-23T17:33:53Z,2025-09-23T17:37:21Z,2025-09-23T17:36:24Z,,,,
krahets/hello-algo,2853225286,1813,closed,Bug fixes and improvements,krahets,2025-09-23T12:44:01Z,2025-09-23T12:44:39Z,2025-09-23T12:44:38Z,2025-09-23T12:44:38Z,,,
krahets/hello-algo,2774009897,1800,closed,translation: Update `chapter_data_structure/classification_of_data_structure.md`,beatrix-chan,2025-08-26T06:41:19Z,2025-09-20T12:07:12Z,2025-09-20T11:27:46Z,2025-09-20T11:27:46Z,,,
krahets/hello-algo,2541914794,1760,closed,Update Q&A of hash_table and time_complexity Chapter,longsizhuo,2025-05-24T19:39:49Z,2025-09-20T11:52:59Z,2025-09-20T11:52:59Z,2025-09-20T11:52:59Z,,,
krahets/hello-algo,2609635575,1774,closed,让关于“最差时间复杂度”的描述更加清晰和准确,ktwu01,2025-06-22T10:35:33Z,2025-09-20T11:30:46Z,2025-09-20T11:30:46Z,,,,
krahets/hello-algo,2787316254,1802,closed,Update hash_map.md,sunshinesDL,2025-08-31T03:40:14Z,2025-09-20T11:26:04Z,2025-09-20T11:26:04Z,2025-09-20T11:26:04Z,,,
krahets/hello-algo,2741380533,1796,closed,Update summary.md,sunshinesDL,2025-08-13T03:41:28Z,2025-09-20T11:22:15Z,2025-09-20T11:22:15Z,,,,
krahets/hello-algo,2729395660,1795,closed,Update deque.md,sunshinesDL,2025-08-08T02:13:00Z,2025-09-20T11:20:45Z,2025-09-20T11:20:45Z,,,,
krahets/hello-algo,2701127882,1788,closed,Update stack.md,sunshinesDL,2025-07-28T15:03:57Z,2025-09-20T11:18:35Z,2025-09-20T11:18:35Z,2025-09-20T11:18:35Z,,,
