repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
macrozheng/mall,2840528113,929,closed,Create 1,MAJinTao112,2025-09-18T14:33:50Z,2025-09-18T14:34:06Z,2025-09-18T14:33:58Z,,,,
macrozheng/mall,2533381423,915,closed,debug,H-112,2025-05-21T06:31:17Z,2025-09-16T06:19:01Z,2025-09-16T06:15:12Z,,,,
macrozheng/mall,1200048002,588,closed,Fix relatebugs,JerryFoundation,2023-01-17T10:19:44Z,2025-08-01T02:01:27Z,2025-08-01T02:01:27Z,,,,
macrozheng/mall,2684469051,921,closed,Dev,WadeYiFeng,2025-07-22T07:32:03Z,2025-07-23T07:32:13Z,2025-07-23T07:32:13Z,,,,
macrozheng/mall,2578556206,916,closed,Feature/coupon redis,kaomita,2025-06-09T14:21:29Z,2025-06-10T01:57:49Z,2025-06-10T01:57:49Z,,,,
macrozheng/mall,2526102665,913,closed,修改数据库配置,yxdRay,2025-05-17T13:57:30Z,2025-05-17T13:57:51Z,2025-05-17T13:57:51Z,,,,
macrozheng/mall,2526096838,912,closed,修改数据库配置,yxdRay,2025-05-17T13:46:55Z,2025-05-17T13:52:01Z,2025-05-17T13:50:32Z,,,,
macrozheng/mall,2421445334,902,closed,ryuppp,prajwal-mk2004,2025-03-27T07:01:54Z,2025-05-08T01:37:50Z,2025-05-08T01:37:50Z,,,,
macrozheng/mall,2472481118,907,closed,Feature qqtong,qqtong-pm,2025-04-22T04:06:56Z,2025-05-08T01:36:56Z,2025-05-08T01:36:56Z,,,,
macrozheng/mall,2484228495,909,closed,创建一个新的 SecurityContext 实例，以避免多线程之间的竞争,Innocent-children,2025-04-27T13:37:19Z,2025-05-08T01:36:29Z,2025-05-08T01:36:29Z,,,,
macrozheng/mall,2472456622,906,closed,Update DemoServiceImpl.java,qqtong-pm,2025-04-22T03:40:12Z,2025-04-22T04:05:21Z,2025-04-22T04:05:21Z,,,,
macrozheng/mall,2445349943,904,closed,测试CR,dawny123123,2025-04-08T09:21:40Z,2025-04-08T09:29:19Z,2025-04-08T09:29:19Z,,,,
macrozheng/mall,2147255952,877,closed,添加根据商品生成订单,Lubiyangka,2024-10-26T12:37:06Z,2025-03-29T14:10:37Z,2025-03-29T14:10:37Z,,,,
macrozheng/mall,2410908542,901,closed,Coderabbit test,ecchanger,2025-03-22T02:49:10Z,2025-03-22T02:50:58Z,2025-03-22T02:50:57Z,,,,
