repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
skylot/jadx,2949630777,2673,closed,Update Chinese localization for various menu items,zhongqingsong,2025-10-27T06:28:51Z,2025-10-27T18:23:55Z,2025-10-27T18:23:55Z,2025-10-27T18:23:55Z,,,
skylot/jadx,2952088767,2675,closed,build(deps): bump actions/download-artifact from 5 to 6,dependabot[bot],2025-10-27T18:13:39Z,2025-10-27T18:16:59Z,2025-10-27T18:16:57Z,2025-10-27T18:16:57Z,,,
skylot/jadx,2951995106,2674,closed,build(deps): bump actions/upload-artifact from 4 to 5,dependabot[bot],2025-10-27T17:43:39Z,2025-10-27T18:15:25Z,2025-10-27T18:15:23Z,2025-10-27T18:15:23Z,,,
skylot/jadx,2943422851,2670,closed,fix: more file extensions added for file type detection,jpstotz,2025-10-24T07:22:47Z,2025-10-24T18:49:47Z,2025-10-24T18:49:47Z,2025-10-24T18:49:47Z,,,
skylot/jadx,2930568743,2666,closed,build(deps): bump github/codeql-action from 3 to 4,dependabot[bot],2025-10-20T17:17:05Z,2025-10-20T21:34:55Z,2025-10-20T21:34:53Z,2025-10-20T21:34:53Z,,,
skylot/jadx,2916629390,2658,closed,feat: Add support for lambda intersection types in type inference,vicky-dx,2025-10-15T09:58:20Z,2025-10-17T20:15:39Z,2025-10-17T20:15:38Z,,,,
skylot/jadx,2906222381,2654,closed,[core] fix jadx.plugins.input.java.data.ConstPoolReader.parseString()…,wech71,2025-10-11T08:10:05Z,2025-10-12T05:44:11Z,2025-10-11T22:57:00Z,2025-10-11T22:57:00Z,,,
skylot/jadx,2906224350,2655,closed,jadx-kotling-metadata-plugin: Upgrade to kotlin 2.2 metadata library,wech71,2025-10-11T08:12:47Z,2025-10-11T23:16:57Z,2025-10-11T23:16:57Z,2025-10-11T23:16:57Z,,,
skylot/jadx,2899305309,2651,closed,Jx2Sabay.apk,hengyusu46-commits,2025-10-09T03:54:26Z,2025-10-09T06:47:55Z,2025-10-09T06:47:55Z,,,,
skylot/jadx,2891093940,2649,closed,build(deps): bump gradle/actions from 4 to 5,dependabot[bot],2025-10-06T17:02:13Z,2025-10-06T21:29:25Z,2025-10-06T21:29:23Z,2025-10-06T21:29:23Z,,,
skylot/jadx,2870076887,2647,closed,feat: support .apks file,duzhaokun123,2025-09-29T11:01:03Z,2025-09-29T17:26:18Z,2025-09-29T17:26:18Z,2025-09-29T17:26:18Z,,,
skylot/jadx,2867561362,2646,closed,fix: Error decode xml (manifest) when parsing an APK file containing …,huqiuser,2025-09-28T10:36:44Z,2025-09-28T15:18:09Z,2025-09-28T15:18:09Z,2025-09-28T15:18:09Z,,,
skylot/jadx,2830264747,2638,closed,chore: update android attrs (platform-36_r02),pubiqq,2025-09-15T18:41:27Z,2025-09-17T18:19:15Z,2025-09-17T18:19:15Z,2025-09-17T18:19:15Z,,,
skylot/jadx,2826023737,2636,closed,fix: avoid false positive throws (regression of PR #2475),nitram84,2025-09-13T22:48:18Z,2025-09-14T23:08:06Z,2025-09-14T23:08:06Z,2025-09-14T23:08:06Z,,,
