repo_full_name,id,number,state,title,user_login,created_at,updated_at,closed_at,merged_at,additions,deletions,changed_files
spring-projects/spring-boot,2955975890,47854,closed,Limit Kotlin API documentation to Kotlin-specific APIs,ryuu9505,2025-10-28T16:43:12Z,2025-10-29T12:13:10Z,2025-10-29T10:30:26Z,,,,
spring-projects/spring-boot,2952363840,47839,closed,Bump actions/upload-artifact from 4 to 5,dependabot[bot],2025-10-27T19:34:09Z,2025-10-28T07:23:44Z,2025-10-28T07:23:34Z,,,,
spring-projects/spring-boot,2947417151,47801,closed,Fix typos,ngocnhan-tran1996,2025-10-25T14:45:10Z,2025-10-28T03:28:23Z,2025-10-27T13:56:02Z,,,,
spring-projects/spring-boot,2556438979,45732,closed,Assign distinct order values to Management customizers to prevent con…,naveenprasanth2,2025-05-31T08:14:26Z,2025-10-27T09:38:32Z,2025-05-31T08:20:29Z,,,,
spring-projects/spring-boot,2713637243,46653,closed,Adds new ApiVersionCustomizer,spencergibb,2025-08-01T15:55:10Z,2025-10-27T09:38:21Z,2025-08-05T16:56:10Z,,,,
spring-projects/spring-boot,2948899801,47807,closed,Fix typos in jQuery and validation scripts,ArunSakthiAnandM,2025-10-26T20:30:39Z,2025-10-27T09:38:09Z,2025-10-26T20:40:53Z,,,,
spring-projects/spring-boot,2948924910,47808,closed,Fix typos in jQuery and validation scripts,ArunSakthiAnandM,2025-10-26T21:11:20Z,2025-10-27T07:55:49Z,2025-10-27T07:55:39Z,,,,
spring-projects/spring-boot,2948834476,47805,closed,Fix typos in jQuery and validation scripts,ArunSakthiAnandM,2025-10-26T19:15:39Z,2025-10-26T19:16:26Z,2025-10-26T19:16:15Z,,,,
spring-projects/spring-boot,2793653482,47023,closed,Experimental: runtime usage report + /actuator/bootusage endpoint,dhruv-15-03,2025-09-02T18:50:43Z,2025-10-26T16:27:02Z,2025-09-18T13:00:56Z,,,,
spring-projects/spring-boot,2947516959,47803,closed,Update README.adoc,Tester2k23,2025-10-25T16:49:33Z,2025-10-25T18:04:26Z,2025-10-25T16:49:57Z,,,,
spring-projects/spring-boot,2364900292,44494,closed,Refine the handling of OpenTelemetry resource attributes,nosan,2025-02-28T15:55:02Z,2025-10-24T20:12:04Z,2025-03-03T08:39:30Z,,,,
spring-projects/spring-boot,2926857076,47694,closed,Remove unnused parameter in ManifestLayerArchiveFactory,Pankraz76,2025-10-18T15:01:59Z,2025-10-24T13:40:38Z,2025-10-19T14:49:06Z,,,,
spring-projects/spring-boot,2943447823,47784,closed,Correct link to JacksonTester in JacksonTesterTestAutoConfiguration javadoc,Walti91,2025-10-24T07:31:00Z,2025-10-24T13:39:28Z,2025-10-24T13:39:20Z,,,,
spring-projects/spring-boot,2932214015,47733,closed,Update Gradle examples to work with both the Groovy DSL and the Kotlin DSL,quaff,2025-10-21T06:58:55Z,2025-10-24T07:01:23Z,2025-10-21T11:17:24Z,,,,
spring-projects/spring-boot,2893191058,47424,closed,Simplify Log4J2LoggingSystem,ppkarwasz,2025-10-07T08:57:44Z,2025-10-23T14:37:53Z,2025-10-23T06:49:59Z,,,,
spring-projects/spring-boot,2848902469,47297,closed,Use renamed link to HTTP Service Clients in Spring Framework reference guide,rstoyanchev,2025-09-22T10:44:50Z,2025-10-23T14:35:57Z,2025-09-24T09:56:09Z,,,,
spring-projects/spring-boot,2892012552,47419,closed,Add configuration property for preferred json mapper in webflux,vpelikh,2025-10-06T21:45:49Z,2025-10-23T11:10:57Z,2025-10-22T16:07:02Z,,,,
spring-projects/spring-boot,2931808443,47721,closed,Configure devtools to set trace probability to 100% by default,quaff,2025-10-21T02:59:18Z,2025-10-23T09:30:50Z,2025-10-23T09:30:20Z,,,,
spring-projects/spring-boot,2844922231,47284,closed,Signed jar verification fails when nested in an uber war running on an Oracle JVM,DKARAGODIN,2025-09-19T19:15:19Z,2025-10-23T05:33:43Z,2025-10-23T05:33:15Z,,,,
spring-projects/spring-boot,2620582314,46213,closed,Introduce a shared abstraction for database initialization,quaff,2025-06-26T09:06:16Z,2025-10-22T20:38:19Z,2025-10-22T20:38:03Z,,,,
spring-projects/spring-boot,2928042996,47706,closed,Migrate from Dokatoo to Dokka,var4609,2025-10-19T20:01:38Z,2025-10-22T14:54:56Z,2025-10-22T14:51:02Z,,,,
spring-projects/spring-boot,2891482945,47416,closed,Bump gradle/actions from 4.4.4 to 5.0.0,dependabot[bot],2025-10-06T19:03:38Z,2025-10-22T08:14:46Z,2025-10-22T08:14:37Z,,,,
spring-projects/spring-boot,2934209611,47747,closed,Fix typos,ngocnhan-tran1996,2025-10-21T17:18:42Z,2025-10-22T02:11:55Z,2025-10-21T18:31:03Z,,,,
spring-projects/spring-boot,2894120142,47429,closed,Stop using @ConditionalOnClass on @Bean methods,nosan,2025-10-07T14:01:20Z,2025-10-21T22:07:40Z,2025-10-21T22:06:28Z,,,,
spring-projects/spring-boot,2927181233,47696,closed,Homebrew formula for the CLI should use libexec,Lublanski,2025-10-18T22:43:52Z,2025-10-21T14:22:44Z,2025-10-21T06:02:09Z,,,,
spring-projects/spring-boot,2882788109,47387,closed,Disable LiveReload server by default,vpavic,2025-10-02T19:19:58Z,2025-10-21T06:22:39Z,2025-10-21T01:11:04Z,,,,
spring-projects/spring-boot,2930852841,47720,closed,Bump jfrog/setup-jfrog-cli from 4.7.0 to 4.8.0,dependabot[bot],2025-10-20T19:04:02Z,2025-10-21T06:07:26Z,2025-10-21T06:07:15Z,,,,
spring-projects/spring-boot,2928361719,47707,closed,Remove support for Spring Pulsar Reactive,onobc,2025-10-20T02:13:10Z,2025-10-20T21:31:43Z,2025-10-20T16:15:50Z,,,,
spring-projects/spring-boot,2905934426,47503,closed,Use JsonMapper instead of ObjectMapper where feasible,quaff,2025-10-11T02:56:51Z,2025-10-20T11:35:53Z,2025-10-20T11:35:41Z,,,,
spring-projects/spring-boot,2362411752,44465,closed,Add support for auto-configuring SimpleMessageListenerContainer,vpavic,2025-02-27T14:49:53Z,2025-10-20T09:57:36Z,2025-04-10T08:05:42Z,,,,
spring-projects/spring-boot,2926062466,47692,closed,Remove REST Docs' REST Assured support until REST Assured supports Groovy 5 (gh-47685),likhith5697,2025-10-18T02:01:07Z,2025-10-18T02:30:13Z,2025-10-18T02:30:03Z,,,,
