repo_full_name,id,tag_name,name,draft,prerelease,created_at,published_at
ReactiveX/RxJava,249578577,v3.1.12,v3.1.12,False,False,2025-09-22T16:46:21Z,2025-09-24T07:55:10Z
ReactiveX/RxJava,249111210,v3.1.12-RC1,v3.1.12-RC1,False,True,2025-09-22T16:46:21Z,2025-09-22T17:26:45Z
ReactiveX/RxJava,230371929,v3.1.11,v3.1.11,False,False,2025-07-07T06:55:40Z,2025-07-07T07:31:29Z
ReactiveX/RxJava,230364310,v3.1.11-RC5,,False,True,2025-07-07T06:55:40Z,2025-07-07T07:04:56Z
ReactiveX/RxJava,219622070,v3.1.11-RC4,v3.1.11-RC4,False,True,2025-05-19T20:53:32Z,2025-05-19T20:55:34Z
ReactiveX/RxJava,219616990,v3.1.11-RC3,v3.1.11-RC3,False,True,2025-05-19T20:22:34Z,2025-05-19T20:23:38Z
ReactiveX/RxJava,219613850,v3.1.11-RC2,v3.1.11-RC2,False,True,2025-05-19T20:03:40Z,2025-05-19T20:05:24Z
ReactiveX/RxJava,219606398,v3.1.11-RC1,v3.1.11-RC1,False,True,2025-05-19T19:02:04Z,2025-05-19T19:25:07Z
ReactiveX/RxJava,187466576,v3.1.10,v3.1.10,False,False,2024-11-22T14:34:21Z,2024-11-26T07:10:06Z
ReactiveX/RxJava,169908671,v3.1.9,v3.1.9,False,False,2024-08-10T20:58:12Z,2024-08-13T07:46:12Z
ReactiveX/RxJava,123077214,v3.1.8,v3.1.8,False,False,2023-09-25T08:00:08Z,2023-09-29T07:54:48Z
ReactiveX/RxJava,118386289,v3.1.7,v3.1.7,False,False,2023-08-23T10:47:36Z,2023-08-23T11:07:08Z
ReactiveX/RxJava,89358459,v3.1.6,v3.1.6,False,False,2023-01-17T08:23:43Z,2023-01-18T08:28:47Z
ReactiveX/RxJava,89356546,v3.1.6-RC0,3.1.6-RC0,False,True,2023-01-17T08:23:43Z,2023-01-18T08:06:41Z
ReactiveX/RxJava,68314956,v3.1.5,v3.1.5,False,False,2022-05-30T06:49:23Z,2022-06-01T07:54:08Z
ReactiveX/RxJava,62360239,v3.1.4,3.1.4,False,False,2022-03-10T09:13:38Z,2022-03-21T18:24:49Z
ReactiveX/RxJava,53894326,v3.1.3,3.1.3,False,False,2021-11-22T08:25:15Z,2021-11-23T08:08:28Z
ReactiveX/RxJava,51222049,v3.1.2,3.1.2,False,False,2021-10-08T06:25:08Z,2021-10-12T15:42:22Z
ReactiveX/RxJava,48660236,v3.1.1,3.1.1,False,False,2021-08-26T10:09:37Z,2021-08-30T09:10:21Z
ReactiveX/RxJava,47516940,v3.1.0,3.1.0,False,False,2021-08-04T09:10:47Z,2021-08-09T07:10:47Z
ReactiveX/RxJava,43888871,v3.0.13,3.0.13,False,False,2021-05-31T08:58:59Z,2021-06-01T07:36:00Z
ReactiveX/RxJava,43589508,v3.0.13-RC5,3.0.13-RC5,False,True,2021-05-14T20:08:20Z,2021-05-26T11:14:07Z
ReactiveX/RxJava,42353010,v3.0.13-RC4,3.0.13-RC4,False,True,2021-05-03T10:08:09Z,2021-05-03T11:06:08Z
ReactiveX/RxJava,42001967,v3.0.13-RC3,3.0.13-RC3,False,True,2021-04-26T10:28:44Z,2021-04-26T12:12:43Z
ReactiveX/RxJava,41588831,v3.0.13-RC2,3.0.13-RC2,False,True,2021-04-17T16:00:37Z,2021-04-17T16:02:36Z
ReactiveX/RxJava,41588522,v3.0.13-RC1,3.0.13-RC1,False,True,2021-04-16T06:32:51Z,2021-04-17T15:41:09Z
ReactiveX/RxJava,41102183,v3.0.12,3.0.12,False,False,2021-03-26T22:07:08Z,2021-04-08T07:07:00Z
ReactiveX/RxJava,41101259,v3.0.12-RC1,3.0.12-RC1,False,True,2021-03-26T22:07:08Z,2021-04-08T06:44:10Z
ReactiveX/RxJava,39373872,v3.0.11,3.0.11,False,False,2021-03-05T09:30:00Z,2021-03-06T08:06:57Z
ReactiveX/RxJava,38096479,v3.0.11-RC5,3.0.11-RC5,False,True,2021-02-16T08:40:53Z,2021-02-16T09:03:49Z
ReactiveX/RxJava,38008459,v3.0.11-RC4,3.0.11-RC4,False,True,2021-02-13T09:10:37Z,2021-02-13T09:39:13Z
ReactiveX/RxJava,38008187,v2.2.21,2.2.21,False,False,2021-02-13T09:13:43Z,2021-02-13T09:14:22Z
ReactiveX/RxJava,37426730,v3.0.11-RC3,3.0.11-RC3,False,True,2021-02-05T19:27:48Z,2021-02-05T19:33:21Z
ReactiveX/RxJava,37425496,v3.0.11-RC2,3.0.11-RC2,False,True,2021-02-05T19:00:22Z,2021-02-05T19:02:59Z
ReactiveX/RxJava,37423650,v3.0.11-RC1,3.0.11-RC1,False,True,2021-02-05T16:48:08Z,2021-02-05T18:21:48Z
ReactiveX/RxJava,37175679,v3.0.10,3.0.10,False,False,2021-02-01T08:47:57Z,2021-02-01T13:00:40Z
ReactiveX/RxJava,35846266,v3.0.9,3.0.9,False,False,2020-12-15T07:58:55Z,2020-12-30T16:18:58Z
ReactiveX/RxJava,34691968,v3.0.8,3.0.8,False,False,2020-12-02T12:44:29Z,2020-12-02T13:42:30Z
ReactiveX/RxJava,34688886,v3.0.8-RC3,3.0.8-RC3,False,True,2020-12-02T11:09:46Z,2020-12-02T12:39:42Z
