repo_full_name,id,tag_name,name,draft,prerelease,created_at,published_at
Stirling-Tools/Stirling-PDF,255171590,v1.5.0,"1.5.0 Analytics rework, PDF to Vector, extract Attachments ",False,False,2025-10-16T22:07:14Z,2025-10-16T23:14:45Z
Stirling-Tools/Stirling-PDF,253842732,v1.4.0,"1.4.0 CBZ, numerous tool improvements and more",False,False,2025-10-11T17:37:58Z,2025-10-11T18:16:32Z
Stirling-Tools/Stirling-PDF,245154425,v1.3.2,1.3.2 Fix login bug introduced in 1.3.0,False,False,2025-09-05T18:42:47Z,2025-09-05T18:44:15Z
Stirling-Tools/Stirling-PDF,245062230,v1.3.1,1.3.1 Quick fixes and translations,False,False,2025-09-05T12:39:15Z,2025-09-05T12:40:43Z
Stirling-Tools/Stirling-PDF,245042641,v1.3.0,"1.3.0 Advanced Redaction, Security enhancement and code improvements",False,False,2025-09-05T10:27:28Z,2025-09-05T11:12:14Z
Stirling-Tools/Stirling-PDF,238776262,v1.2.0,"1.2.0 PSD Support, bug fixes and extra features",False,False,2025-08-09T14:09:50Z,2025-08-09T14:30:52Z
Stirling-Tools/Stirling-PDF,236558532,v1.1.1,1.1.1 Pipeline feature bug fixes,False,False,2025-07-31T05:26:27Z,2025-07-31T12:16:54Z
Stirling-Tools/Stirling-PDF,234894036,v1.1.0,"1.1.0 Lots of bug fixes, security updates and minor UI changes!",False,False,2025-07-24T12:53:21Z,2025-07-24T14:08:58Z
Stirling-Tools/Stirling-PDF,230939658,v1.0.2,1.0.2 Minor bug fixes,False,False,2025-07-08T18:25:42Z,2025-07-08T19:14:31Z
Stirling-Tools/Stirling-PDF,230619612,v1.0.1,1.0.1 Quick fix for security jar download issue,False,False,2025-07-07T22:54:58Z,2025-07-07T23:01:28Z
Stirling-Tools/Stirling-PDF,230488782,v1.0.0,1.0.0 Release! lots of new features!,False,False,2025-07-07T13:37:35Z,2025-07-07T14:01:13Z
Stirling-Tools/Stirling-PDF,219753199,v0.46.2,"0.46.2 Minor updates, legacy homepage removal and security updates",False,False,2025-05-20T11:08:20Z,2025-05-20T11:21:04Z
Stirling-Tools/Stirling-PDF,217786542,v0.46.1,"0.46.1 Email API, UI changes, Bug fixes and other changes!",False,False,2025-05-10T12:25:21Z,2025-05-10T15:39:10Z
Stirling-Tools/Stirling-PDF,215664949,v0.46.0,"0.46.0 Unlock PDF Forms, multiple bug fixes",False,False,2025-04-29T17:35:48Z,2025-04-30T07:05:42Z
Stirling-Tools/Stirling-PDF,212514414,v0.45.6,0.45.6 Bug fixes for sign and pipelines,False,False,2025-04-15T14:15:08Z,2025-04-15T14:16:52Z
Stirling-Tools/Stirling-PDF,212159971,v0.45.5,0.45.5 Language updates and display fileUploadLimits,False,False,2025-04-14T09:51:53Z,2025-04-14T09:57:39Z
Stirling-Tools/Stirling-PDF,211773564,v0.45.4,0.45.4 Minor bug fixes,False,False,2025-04-10T20:39:42Z,2025-04-11T08:45:04Z
Stirling-Tools/Stirling-PDF,211346337,v0.45.3,0.45.3 Manual redaction updates!,False,False,2025-04-09T17:16:43Z,2025-04-09T17:17:58Z
Stirling-Tools/Stirling-PDF,211240704,v0.45.2,0.45.2 Hotfix for translations and UI,False,False,2025-04-09T10:07:21Z,2025-04-09T10:08:52Z
Stirling-Tools/Stirling-PDF,211225689,v0.45.1,"0.45.1 New Mac installer, Various bug fixes, Google drive",False,False,2025-04-09T08:55:18Z,2025-04-09T09:01:24Z
Stirling-Tools/Stirling-PDF,208214507,v0.45.0,0.45.0 Security Fixes and more!,False,False,2025-03-25T18:38:57Z,2025-03-25T18:48:17Z
Stirling-Tools/Stirling-PDF,207109200,v0.44.3,"0.44.3 Multitool UI updates, compression on windows and more!",False,False,2025-03-20T09:39:57Z,2025-03-20T09:43:56Z
Stirling-Tools/Stirling-PDF,205938945,v0.44.2,0.44.2 PDF Compression fix and more,False,False,2025-03-14T21:00:06Z,2025-03-14T21:01:11Z
Stirling-Tools/Stirling-PDF,204856342,v0.44.1,"0.44.1 Zip Support, more memory enhancements, bug fixes",False,False,2025-03-10T20:35:28Z,2025-03-10T21:57:55Z
Stirling-Tools/Stirling-PDF,204537798,v0.44.0,"0.44.0 Memory usage enhancements, highlighter and more!",False,False,2025-03-08T00:03:50Z,2025-03-08T15:06:54Z
Stirling-Tools/Stirling-PDF,203186398,v0.43.2,0.43.2 Compression fixes and more,False,False,2025-03-01T21:20:13Z,2025-03-01T21:37:30Z
Stirling-Tools/Stirling-PDF,202508094,v0.43.1,0.43.1 SSO bug fixes,False,False,2025-02-26T10:22:25Z,2025-02-26T10:23:22Z
Stirling-Tools/Stirling-PDF,202428792,v0.43.0,0.43.0 Code cleanups and general changes,False,False,2025-02-25T22:09:30Z,2025-02-25T23:25:19Z
Stirling-Tools/Stirling-PDF,200987767,v0.42.0,"0.42.0 Windows Install fix, Document conversion changes",False,False,2025-02-18T17:54:48Z,2025-02-18T17:58:33Z
Stirling-Tools/Stirling-PDF,199051861,v0.41.0,v0.41.0 PDF/A and many bug fixes,False,False,2025-02-07T13:36:33Z,2025-02-07T13:39:50Z
Stirling-Tools/Stirling-PDF,198446988,v0.40.2,0.40.2 Bug fixes for compression and Pipeline,False,False,2025-02-04T21:04:49Z,2025-02-04T21:54:35Z
Stirling-Tools/Stirling-PDF,197885053,v0.40.1,0.40.1 bug fixes for homepage and sign,False,False,2025-01-31T23:56:45Z,2025-01-31T23:57:54Z
Stirling-Tools/Stirling-PDF,197766219,v0.40.0,0.40.0 Brand new Homepage!,False,False,2025-01-31T11:47:08Z,2025-01-31T11:48:00Z
Stirling-Tools/Stirling-PDF,196822765,v0.39.0,0.39.0 Memory cleanup and new APIs,False,False,2025-01-26T13:23:13Z,2025-01-26T13:26:27Z
Stirling-Tools/Stirling-PDF,195663523,v0.38.0,0.38.0 PDF to Markdown!,False,False,2025-01-20T12:41:51Z,2025-01-20T14:41:12Z
Stirling-Tools/Stirling-PDF,195232443,v0.37.1,0.37.1 PDF compression improvement and minor fixes,False,False,2025-01-16T22:57:25Z,2025-01-16T23:01:22Z
Stirling-Tools/Stirling-PDF,194450771,v0.37.0,0.37.0 New Manual Redaction and Enterprise features,False,False,2025-01-12T16:22:13Z,2025-01-13T15:04:49Z
Stirling-Tools/Stirling-PDF,192966654,v0.36.6,0.36.6 Improved signature functionality and drag-and-drop bug fixes,False,False,2025-01-02T17:48:27Z,2025-01-02T17:52:07Z
Stirling-Tools/Stirling-PDF,191659817,v0.36.5,0.36.5 image to PDF bug fixes and more!,False,False,2024-12-19T13:22:41Z,2024-12-19T13:25:16Z
Stirling-Tools/Stirling-PDF,191169676,v0.36.4,0.36.4 more bug fixes!,False,False,2024-12-17T13:59:30Z,2024-12-17T14:00:46Z
Stirling-Tools/Stirling-PDF,190959855,v0.36.3,0.36.3 merge PDFs bug fix,False,False,2024-12-16T14:11:36Z,2024-12-16T14:12:20Z
Stirling-Tools/Stirling-PDF,190764336,v0.36.2,0.36.2 bug fixes,False,False,2024-12-14T11:08:35Z,2024-12-14T11:10:20Z
Stirling-Tools/Stirling-PDF,190718516,v0.36.1,"0.36.1 PDF auto decryption, new exe and bug fixes",False,False,2024-12-13T20:33:21Z,2024-12-13T21:14:49Z
Stirling-Tools/Stirling-PDF,189260006,v0.36.0,0.36.0 PDF New Cert/Signature Validation Feature! and bug fixes,False,False,2024-12-05T19:16:18Z,2024-12-05T19:23:47Z
Stirling-Tools/Stirling-PDF,188673933,v0.35.1,v0.35.1 Bug fixes and file input UI improvements ,False,False,2024-12-03T10:54:07Z,2024-12-03T10:54:26Z
Stirling-Tools/Stirling-PDF,188239357,v0.35.0,"0.35.0 Multi-tool undo support, replacement of functionality",False,False,2024-11-29T15:41:29Z,2024-11-29T17:29:15Z
Stirling-Tools/Stirling-PDF,187480788,v0.34.0,0.34.0 ProductHunt launch and PDF to CSV improvements and more,False,False,2024-11-26T08:17:56Z,2024-11-26T08:40:40Z
Stirling-Tools/Stirling-PDF,185755217,v0.33.1,0.33.1 Docker hub move to stirlingtools/stirling-pdf,False,False,2024-11-16T11:02:20Z,2024-11-16T11:06:35Z
Stirling-Tools/Stirling-PDF,185722957,v0.33.0,0.33.0 Multi-tool enhancements with multi selection,False,False,2024-11-15T22:18:01Z,2024-11-15T22:32:51Z
Stirling-Tools/Stirling-PDF,184532657,v0.32.0,"0.32.0 Several bug fixes, multi-tool support blank page and more!",False,False,2024-11-09T23:11:42Z,2024-11-09T23:12:10Z
Stirling-Tools/Stirling-PDF,183455301,stirling-pdf-chart-1.0.1,stirling-pdf-chart-1.0.1,False,True,2024-11-04T20:13:26Z,2024-11-04T20:13:47Z
Stirling-Tools/Stirling-PDF,182915690,v0.31.1,v0.31.1 Bug fix for compress PDF,False,False,2024-10-31T13:06:55Z,2024-10-31T13:14:22Z
