repo_full_name,id,tag_name,name,draft,prerelease,created_at,published_at
alibaba/arthas,256629089,arthas-all-4.1.1,arthas-all-4.1.1,False,False,2025-10-23T08:33:29Z,2025-10-23T09:51:51Z
alibaba/arthas,254553449,arthas-all-4.1.0,arthas-all-4.1.0,False,False,2025-10-14T16:08:45Z,2025-10-15T02:39:40Z
alibaba/arthas,205075376,arthas-all-4.0.5,arthas-all-4.0.5,False,False,2025-03-11T15:41:24Z,2025-03-11T16:29:44Z
alibaba/arthas,186436481,arthas-all-4.0.4,arthas-all-4.0.4,False,False,2024-11-20T14:32:39Z,2024-11-20T14:57:59Z
alibaba/arthas,185140153,arthas-all-4.0.3,arthas-all-4.0.3,False,False,2024-11-13T09:24:59Z,2024-11-13T10:02:02Z
alibaba/arthas,180393615,arthas-all-4.0.2,arthas-all-4.0.2,False,False,2024-10-17T08:37:01Z,2024-10-17T08:58:41Z
alibaba/arthas,175072624,arthas-all-4.0.1,arthas-all-4.0.1,False,False,2024-09-14T08:59:50Z,2024-09-14T09:21:06Z
alibaba/arthas,175071121,arthas-all-3.7.3,arthas-all-3.7.3,False,False,2024-09-14T08:18:58Z,2024-09-14T08:38:57Z
alibaba/arthas,169730175,arthas-all-4.0.0,arthas-all-4.0.0,False,False,2024-08-12T07:40:18Z,2024-08-12T08:39:13Z
alibaba/arthas,135542173,arthas-all-3.7.2,arthas-all-3.7.2,False,False,2024-01-02T10:43:14Z,2024-01-02T14:06:57Z
alibaba/arthas,118548183,arthas-all-3.7.1,arthas-all-3.7.1,False,False,2023-08-24T12:13:19Z,2023-08-24T12:32:49Z
alibaba/arthas,114779980,arthas-all-3.7.0,arthas-all-3.7.0,False,False,2023-08-02T08:39:29Z,2023-08-02T09:05:19Z
alibaba/arthas,102428346,arthas-all-3.6.9,arthas-all-3.6.9,False,False,2023-05-09T10:26:57Z,2023-05-10T02:52:32Z
alibaba/arthas,100080861,arthas-all-3.6.8,arthas-all-3.6.8,False,False,2023-04-19T11:50:58Z,2023-04-19T15:58:20Z
alibaba/arthas,83092604,arthas-all-3.6.7,arthas-all-3.6.7,False,False,2022-11-15T07:26:33Z,2022-11-15T07:59:17Z
alibaba/arthas,76223327,arthas-all-3.6.6,arthas-all-3.6.6,False,False,2022-09-04T07:10:20Z,2022-09-04T07:32:01Z
alibaba/arthas,75410808,arthas-all-3.6.5,arthas-all-3.6.5,False,False,2022-08-26T02:56:44Z,2022-08-26T03:17:31Z
alibaba/arthas,73241673,arthas-all-3.6.4,arthas-all-3.6.4,False,False,2022-07-30T08:40:33Z,2022-07-30T09:43:46Z
