repo_full_name,id,tag_name,name,draft,prerelease,created_at,published_at
elastic/elasticsearch,256660482,v9.2.0,Elasticsearch 9.2.0,False,False,2025-10-21T07:54:26Z,2025-10-23T11:49:31Z
elastic/elasticsearch,256746823,v9.1.6,Elasticsearch 9.1.6,False,False,2025-10-21T15:40:29Z,2025-10-23T15:45:12Z
elastic/elasticsearch,256725672,v8.19.6,Elasticsearch 8.19.6,False,False,2025-10-21T16:32:39Z,2025-10-23T14:43:49Z
elastic/elasticsearch,252470052,v8.19.5,Elasticsearch 8.19.5,False,False,2025-10-03T13:42:16Z,2025-10-06T16:07:56Z
elastic/elasticsearch,252444835,v9.1.5,Elasticsearch 9.1.5,False,False,2025-10-02T20:32:46Z,2025-10-06T14:54:19Z
elastic/elasticsearch,252477332,v9.0.8,Elasticsearch 9.0.8,False,False,2025-10-02T20:35:51Z,2025-10-06T16:32:15Z
elastic/elasticsearch,252466393,v8.18.8,Elasticsearch 8.18.8,False,False,2025-10-02T20:35:06Z,2025-10-06T15:53:26Z
elastic/elasticsearch,248328640,v9.1.4,Elasticsearch 9.1.4,False,False,2025-09-16T20:44:27Z,2025-09-18T14:34:46Z
elastic/elasticsearch,248328761,v8.19.4,Elasticsearch 8.19.4,False,False,2025-09-16T16:45:44Z,2025-09-18T14:35:07Z
elastic/elasticsearch,247647829,v9.0.7,Elasticsearch 9.0.7,False,False,2025-09-10T19:52:55Z,2025-09-16T14:00:24Z
elastic/elasticsearch,247647823,v8.18.7,Elasticsearch 8.18.7,False,False,2025-09-10T19:30:24Z,2025-09-16T14:00:22Z
elastic/elasticsearch,243167837,v8.19.3,Elasticsearch 8.19.3,False,False,2025-08-25T15:47:42Z,2025-08-28T12:50:44Z
elastic/elasticsearch,243202233,v8.18.6,Elasticsearch 8.18.6,False,False,2025-08-25T15:40:58Z,2025-08-28T14:27:19Z
elastic/elasticsearch,243221059,v9.1.3,Elasticsearch 9.1.3,False,False,2025-08-23T14:20:55Z,2025-08-28T15:21:47Z
elastic/elasticsearch,243220891,v9.0.6,Elasticsearch 9.0.6,False,False,2025-08-22T22:51:19Z,2025-08-28T15:21:10Z
elastic/elasticsearch,239404058,v9.1.2,Elasticsearch 9.1.2,False,False,2025-08-11T14:28:18Z,2025-08-12T15:28:06Z
elastic/elasticsearch,239404260,v8.19.2,Elasticsearch 8.19.2,False,False,2025-08-11T06:22:09Z,2025-08-12T15:28:28Z
elastic/elasticsearch,239324970,v9.0.5,Elasticsearch 9.0.5,False,False,2025-08-06T15:14:23Z,2025-08-12T11:16:19Z
elastic/elasticsearch,238242755,v8.19.1,Elasticsearch 8.19.1,False,False,2025-08-05T01:42:25Z,2025-08-07T10:11:53Z
elastic/elasticsearch,239311604,v8.18.5,Elasticsearch 8.18.5,False,False,2025-08-05T12:15:24Z,2025-08-12T10:18:56Z
elastic/elasticsearch,239347037,v8.17.10,Elasticsearch 8.17.10,False,False,2025-08-05T12:23:08Z,2025-08-12T12:37:05Z
elastic/elasticsearch,238245344,v9.1.1,Elasticsearch 9.1.1,False,False,2025-08-04T19:00:06Z,2025-08-07T10:17:12Z
elastic/elasticsearch,235920761,v9.1.0,Elasticsearch 9.1.0,False,False,2025-07-23T19:39:39Z,2025-07-29T11:16:37Z
elastic/elasticsearch,235950486,v8.19.0,Elasticsearch 8.19.0,False,False,2025-07-23T16:09:33Z,2025-07-29T12:43:02Z
elastic/elasticsearch,234251869,v9.0.4,Elasticsearch 9.0.4,False,False,2025-07-16T17:21:31Z,2025-07-22T13:49:31Z
elastic/elasticsearch,234252053,v8.18.4,Elasticsearch 8.18.4,False,False,2025-07-16T16:49:22Z,2025-07-22T13:50:08Z
elastic/elasticsearch,234252138,v8.17.9,Elasticsearch 8.17.9,False,False,2025-07-15T02:52:58Z,2025-07-22T13:50:25Z
elastic/elasticsearch,227398176,v9.0.3,Elasticsearch 9.0.3,False,False,2025-06-18T13:51:06Z,2025-06-24T14:57:52Z
elastic/elasticsearch,227422326,v8.18.3,Elasticsearch 8.18.3,False,False,2025-06-18T14:29:09Z,2025-06-24T16:24:36Z
elastic/elasticsearch,227369740,v7.17.29,Elasticsearch 7.17.29,False,False,2025-06-18T13:47:09Z,2025-06-24T13:30:28Z
elastic/elasticsearch,227407056,v8.17.8,Elasticsearch 8.17.8,False,False,2025-06-17T12:18:57Z,2025-06-24T15:28:18Z
elastic/elasticsearch,222798910,v9.0.2,Elasticsearch 9.0.2,False,False,2025-05-28T07:49:35Z,2025-06-03T14:38:30Z
elastic/elasticsearch,221869474,v8.18.2,Elasticsearch 8.18.2,False,False,2025-05-22T21:13:05Z,2025-05-29T15:31:59Z
elastic/elasticsearch,222752287,v8.17.7,Elasticsearch 8.17.7,False,False,2025-05-21T18:54:45Z,2025-06-03T12:51:26Z
elastic/elasticsearch,216807122,v9.0.1,Elasticsearch 9.0.1,False,False,2025-04-29T23:18:21Z,2025-05-06T16:11:30Z
elastic/elasticsearch,216784229,v8.18.1,Elasticsearch 8.18.1,False,False,2025-04-29T23:49:41Z,2025-05-06T15:03:57Z
elastic/elasticsearch,216785289,v8.17.6,Elasticsearch 8.17.6,False,False,2025-04-29T15:04:07Z,2025-05-06T15:07:48Z
elastic/elasticsearch,212471855,v8.18.0,Elasticsearch 8.18.0,False,False,2025-04-09T15:55:06Z,2025-04-15T11:55:21Z
elastic/elasticsearch,212509909,v8.17.5,Elasticsearch 8.17.5,False,False,2025-04-09T08:44:21Z,2025-04-15T14:03:11Z
elastic/elasticsearch,212471771,v9.0.0,Elasticsearch 9.0.0,False,False,2025-04-08T08:55:37Z,2025-04-15T11:54:57Z
elastic/elasticsearch,207915290,v9.0.0-rc1,Elasticsearch 9.0.0-rc1,False,True,2025-03-20T03:55:36Z,2025-03-24T17:16:24Z
elastic/elasticsearch,208148421,v8.17.4,Elasticsearch 8.17.4,False,False,2025-03-20T15:07:24Z,2025-03-25T14:50:33Z
elastic/elasticsearch,208092156,v8.16.6,Elasticsearch 8.16.6,False,False,2025-03-18T19:57:23Z,2025-03-25T11:34:30Z
elastic/elasticsearch,203577742,v8.17.3,Elasticsearch 8.17.3,False,False,2025-02-27T22:12:00Z,2025-03-04T11:57:09Z
elastic/elasticsearch,203600546,v8.16.5,Elasticsearch 8.16.5,False,False,2025-02-27T09:13:43Z,2025-03-04T13:42:50Z
elastic/elasticsearch,202288138,v7.17.28,Elasticsearch 7.17.28,False,False,2025-02-18T13:51:58Z,2025-02-25T12:44:26Z
elastic/elasticsearch,201005808,v9.0.0-beta1,Elasticsearch 9.0.0-beta1,False,True,2025-02-11T20:18:32Z,2025-02-18T19:26:10Z
elastic/elasticsearch,199608730,v8.16.4,Elasticsearch 8.16.4,False,False,2025-02-06T21:39:18Z,2025-02-11T13:33:24Z
elastic/elasticsearch,199608241,v8.17.2,Elasticsearch 8.17.2,False,False,2025-02-05T18:04:28Z,2025-02-11T13:31:16Z
elastic/elasticsearch,195881359,v8.17.1,Elasticsearch 8.17.1,False,False,2025-01-09T23:32:08Z,2025-01-21T15:50:34Z
elastic/elasticsearch,195880688,v8.16.3,Elasticsearch 8.16.3,False,False,2025-01-09T23:03:47Z,2025-01-21T15:47:35Z
elastic/elasticsearch,194762674,v7.17.27,Elasticsearch 7.17.27,False,False,2025-01-09T02:49:15Z,2025-01-14T19:29:35Z
