repo_full_name,id,tag_name,name,draft,prerelease,created_at,published_at
google/guava,248113318,v33.5.0,33.5.0,False,False,2025-09-17T19:54:47Z,2025-09-17T21:05:27Z
google/guava,212281176,v33.4.8,33.4.8,False,False,2025-04-14T17:13:08Z,2025-04-14T18:08:10Z
google/guava,211024919,v33.4.7,33.4.7,False,False,2025-04-07T21:57:20Z,2025-04-08T13:32:23Z
google/guava,208184365,v33.4.6,33.4.6,False,False,2025-03-25T15:36:18Z,2025-03-25T16:47:07Z
google/guava,207009179,v33.4.5,33.4.5,False,False,2025-03-19T21:41:24Z,2025-03-19T22:38:58Z
google/guava,207009182,v33.4.4,33.4.4,False,False,2025-03-19T21:41:32Z,2025-03-19T22:38:54Z
google/guava,207009184,v33.4.3,33.4.3,False,False,2025-03-19T21:41:23Z,2025-03-19T22:38:51Z
google/guava,207009127,v33.4.2,33.4.2,False,False,2025-03-19T21:41:33Z,2025-03-19T22:38:48Z
google/guava,207008953,v33.4.1,33.4.1,False,False,2025-03-19T21:41:25Z,2025-03-19T22:38:45Z
google/guava,191048223,v33.4.0,33.4.0,False,False,2024-12-16T21:43:59Z,2024-12-16T22:35:44Z
google/guava,176490774,v33.3.1,33.3.1,False,False,2024-09-23T19:41:57Z,2024-09-23T20:55:13Z
google/guava,170687421,v33.3.0,33.3.0,False,False,2024-08-16T22:43:12Z,2024-08-16T23:38:09Z
google/guava,158396962,v33.2.1,33.2.1,False,False,2024-05-31T17:44:51Z,2024-05-31T19:12:11Z
google/guava,153837834,v33.2.0,33.2.0,False,False,2024-05-01T19:46:00Z,2024-05-02T14:24:18Z
google/guava,146412404,v33.1.0,33.1.0,False,False,2024-03-13T18:21:59Z,2024-03-13T19:53:35Z
google/guava,134385275,v33.0.0,33.0.0,False,False,2023-12-18T20:32:56Z,2023-12-18T21:30:36Z
google/guava,124508583,v32.1.3,32.1.3,False,False,2023-10-10T20:34:53Z,2023-10-10T22:20:41Z
google/guava,114569922,v32.1.2,32.1.2,False,False,2023-07-31T21:01:20Z,2023-07-31T22:03:31Z
google/guava,110519247,v32.1.1,32.1.1,False,False,2023-06-30T14:23:44Z,2023-06-30T15:30:09Z
google/guava,110413644,v32.1.0,32.1.0,False,False,2023-06-29T18:37:59Z,2023-06-29T20:24:12Z
google/guava,107916002,v32.0.1,32.0.1,False,False,2023-06-08T22:27:10Z,2023-06-09T00:15:14Z
google/guava,105273294,v32.0.0,32.0.0,False,False,2023-05-26T22:14:55Z,2023-05-29T19:00:25Z
google/guava,60654550,v31.1,31.1,False,False,2022-02-28T21:06:35Z,2022-02-28T22:00:16Z
google/guava,50347855,v31.0.1,31.0.1,False,False,2021-09-27T19:06:33Z,2021-09-27T20:03:31Z
google/guava,50235534,v31.0,31.0,False,False,2021-09-24T20:15:46Z,2021-09-24T21:36:10Z
google/guava,40074649,v30.1.1,30.1.1,False,False,2021-03-19T15:29:15Z,2021-03-19T16:23:08Z
google/guava,35247204,v30.1,30.1,False,False,2020-12-14T15:52:01Z,2020-12-14T17:01:27Z
google/guava,32693318,v30.0,30.0,False,False,2020-10-16T20:27:24Z,2020-10-16T21:49:48Z
google/guava,25464815,v29.0,29.0,False,False,2020-04-13T21:13:10Z,2020-04-13T22:03:54Z
google/guava,22484350,v28.2,28.2,False,False,2019-12-27T03:06:54Z,2019-12-27T14:02:35Z
google/guava,19608111,v28.1,28.1,False,False,2019-08-28T20:42:58Z,2019-08-28T23:39:43Z
google/guava,17929234,v28.0,28.0,False,False,2019-06-11T23:05:47Z,2019-06-12T00:16:33Z
google/guava,16004399,v27.1,27.1,False,False,2019-03-08T16:10:10Z,2019-03-08T20:30:50Z
google/guava,14084141,v27.0.1,27.0.1,False,False,2018-11-19T19:00:17Z,2018-11-19T19:52:28Z
google/guava,13517352,v27.0,27.0,False,False,2018-10-18T18:07:14Z,2018-10-18T18:51:15Z
google/guava,12214271,v26.0,26.0,False,False,2018-08-01T21:39:54Z,2018-08-01T23:02:00Z
google/guava,11262135,v23.6.1,23.6.1,False,False,2018-05-29T14:42:12Z,2018-05-31T14:25:04Z
google/guava,11262252,v25.1,25.1,False,False,2018-05-23T17:42:57Z,2018-05-31T14:31:07Z
google/guava,10732758,v24.1.1,24.1.1,False,False,2018-04-26T02:31:24Z,2018-04-26T11:16:17Z
google/guava,10724561,v25.0,25.0,False,False,2018-04-25T22:12:31Z,2018-04-25T22:53:55Z
google/guava,10109929,v24.1,24.1,False,False,2018-03-14T21:55:35Z,2018-03-15T18:44:26Z
google/guava,9495947,v24.0,24.0,False,False,2018-02-01T20:16:14Z,2018-02-01T20:52:13Z
google/guava,8998652,v23.6,23.6,False,False,2017-12-21T00:52:22Z,2017-12-21T17:26:26Z
google/guava,8626737,v23.5,23.5,False,False,2017-11-22T20:20:42Z,2017-11-22T21:05:04Z
google/guava,8455470,v23.4,23.4,False,False,2017-11-09T17:21:58Z,2017-11-09T18:29:33Z
google/guava,8278584,v23.3,23.3,False,False,2017-10-26T19:54:19Z,2017-10-26T20:40:49Z
google/guava,8087889,v23.2,23.2,False,False,2017-10-11T22:41:29Z,2017-10-11T23:30:53Z
google/guava,7917024,v23.1,23.1,False,False,2017-09-27T19:34:46Z,2017-09-27T21:09:10Z
google/guava,7309346,v23.0,23.0,False,False,2017-08-04T20:30:56Z,2017-08-07T19:35:20Z
google/guava,7309378,v23.0-rc1,23.0-rc1,False,True,2017-07-24T20:02:50Z,2017-08-07T19:35:55Z
google/guava,6480443,v22.0,22.0,False,False,2017-05-22T18:46:19Z,2017-05-23T18:38:13Z
google/guava,6480439,v22.0-rc1,22.0-rc1,False,True,2017-05-02T21:06:51Z,2017-05-23T18:37:46Z
google/guava,5146043,v21.0,21.0,False,False,2017-01-12T19:09:51Z,2017-01-12T21:41:28Z
google/guava,5061143,v21.0-rc2,21.0-rc2,False,True,2017-01-03T21:34:20Z,2017-01-03T22:25:22Z
google/guava,4984232,v21.0-rc1,21.0-rc1,False,True,2016-12-19T17:47:37Z,2016-12-21T20:43:25Z
google/guava,4514586,v20.0,20.0,False,False,2016-10-28T20:30:44Z,2016-10-28T21:30:59Z
