repo_full_name,id,tag_name,name,draft,prerelease,created_at,published_at
jeecgboot/JeecgBoot,253206499,v3.8.3,v3.8.3 全面迈向SpringBoot3版,False,False,2025-09-30T07:43:24Z,2025-10-09T02:44:13Z
jeecgboot/JeecgBoot,246987876,v3.8.2last_springboot3,v3.8.2 last springboot3,False,False,2025-09-04T02:47:50Z,2025-09-13T12:30:09Z
jeecgboot/JeecgBoot,246987950,v3.8.2last_springboot2,v3.8.2 last springboot2,False,False,2025-09-03T09:44:01Z,2025-09-13T12:31:20Z
jeecgboot/JeecgBoot,238729481,v3.8.2,v3.8.2,False,False,2025-08-08T14:07:24Z,2025-08-09T00:39:34Z
jeecgboot/JeecgBoot,229276556,v3.8.1,v3.8.1,False,False,2025-07-02T02:13:41Z,2025-07-02T02:24:27Z
jeecgboot/JeecgBoot,227609205,v3.8.0last,v3.8.0 last,False,False,2025-06-13T05:56:47Z,2025-06-25T08:47:24Z
jeecgboot/JeecgBoot,218987389,v3.7.3springboot3,v3.7.3  springboot3,False,False,2025-05-11T02:34:23Z,2025-05-16T01:43:33Z
jeecgboot/JeecgBoot,213248561,v3.8.0,v3.8.0 AI应用平台+知识库,False,False,2025-04-17T06:13:36Z,2025-04-18T03:43:56Z
jeecgboot/JeecgBoot,211035525,v3.7.4,v3.7.4 架构大升级,False,False,2025-04-08T14:05:42Z,2025-04-08T14:07:41Z
jeecgboot/JeecgBoot,219380082,v3.7.3springboot3sas,v3.7.3 springboot3 sas,False,False,2025-03-25T08:02:45Z,2025-05-19T02:41:22Z
jeecgboot/JeecgBoot,201380995,v3.7.1springboot3,v3.7.1 SpringBoot3,False,False,2025-02-11T06:49:06Z,2025-02-20T09:55:34Z
jeecgboot/JeecgBoot,202004009,v3.7.1SpringBoot3sas,v3.7.1 SpringBoot3sas,False,False,2025-02-11T06:49:17Z,2025-02-24T10:59:20Z
jeecgboot/JeecgBoot,199298005,v3.7.3,v3.7.3 DeepSeek版,False,False,2025-02-10T05:51:39Z,2025-02-10T05:54:49Z
jeecgboot/JeecgBoot,191612726,v3.7.2,v3.7.2 大屏版,False,False,2024-12-17T01:43:18Z,2024-12-19T09:00:55Z
jeecgboot/JeecgBoot,177017748,v3.7.0last_springboot3,v3.7.0last_springboot3,False,False,2024-09-24T14:47:44Z,2024-09-26T09:10:02Z
jeecgboot/JeecgBoot,174675532,v3.7.1,v3.7.1,False,False,2024-09-11T14:22:02Z,2024-09-12T03:58:18Z
jeecgboot/JeecgBoot,174269998,v3.7.0_all_last,v3.7.0_all_last,False,False,2024-09-09T01:32:27Z,2024-09-10T07:25:59Z
jeecgboot/JeecgBoot,179450436,v3.7.0last_springboot3sas,v3.7.0last_springboot3sas,False,False,2024-08-21T07:22:11Z,2024-10-11T01:46:16Z
jeecgboot/JeecgBoot,171207679,v3.7.0_springboot3sas_20240821,v3.7.0_springboot3sas_20240821,False,False,2024-07-10T08:23:48Z,2024-08-21T07:12:19Z
