id,name,full_name,private,owner_login,owner_type,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,topics,visibility,license
132464395,JavaGuide,Snailclimb/JavaGuide,False,Snailclimb,User,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,False,2018-05-07T13:27:00Z,2025-10-29T15:20:13Z,2025-10-29T09:03:18Z,https://javaguide.cn,177301,152337,152337,Java,46025,73,main,"algorithms,interview,java,jvm,mysql,redis,spring,system,system-design,zookeeper",public,apache-2.0
561730219,hello-algo,krahets/hello-algo,False,krahets,User,https://github.com/krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",False,2022-11-04T11:08:34Z,2025-10-29T15:13:42Z,2025-10-16T21:33:36Z,https://www.hello-algo.com,370903,118121,118121,Java,14506,22,main,"algo,algorithm,algorithms,book,data-structure,data-structures,data-structures-and-algorithms,dsa,education,leetcode,programming",public,other
206462776,GitHub-Chinese-Top-Charts,GrowingGit/GitHub-Chinese-Top-Charts,False,GrowingGit,User,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,False,2019-09-05T03:01:56Z,2025-10-29T15:16:49Z,2024-10-12T06:51:36Z,,123199,103380,103380,Java,13364,187,master,,public,other
22790488,java-design-patterns,iluwatar/java-design-patterns,False,iluwatar,User,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,False,2014-08-09T16:45:18Z,2025-10-29T15:18:21Z,2025-10-21T21:30:34Z,https://java-design-patterns.com,46754,93235,93235,Java,27312,198,master,"awesome-list,design-patterns,hacktoberfest,java,principles,snippets,snippets-collection,snippets-library",public,other
127988011,mall,macrozheng/mall,False,macrozheng,User,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,False,2018-04-04T01:11:44Z,2025-10-29T14:38:55Z,2025-10-17T06:27:15Z,https://www.macrozheng.com/admin/,58711,81977,81977,Java,29524,12,master,"docker,elasticsearch,elk,java,mongodb,mybatis,mysql,rabbitmq,redis,spring,spring-boot,spring-cloud,spring-security,springboot,springcloud,swagger-ui",public,apache-2.0
6296790,spring-boot,spring-projects/spring-boot,False,spring-projects,Organization,https://github.com/spring-projects/spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",False,2012-10-19T15:02:57Z,2025-10-29T15:22:53Z,2025-10-29T14:31:29Z,https://spring.io/projects/spring-boot,207914,78813,78813,Java,41603,586,main,"framework,java,spring,spring-boot",public,apache-2.0
151834062,advanced-java,doocs/advanced-java,False,doocs,Organization,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,False,2018-10-06T11:38:30Z,2025-10-29T09:27:47Z,2025-10-21T23:38:43Z,https://java.doocs.org,26609,78435,78435,Java,19283,0,main,"advanced-java,distributed-search-engine,distributed-systems,doocs,dubbo,elasticsearch,eureka,feign,high-availability,high-concurrency,hystrix,java,message-queue,microservices-architecture,redis,ribbon,rpc,spring-cloud,springcloud-config,zookeeper",public,cc-by-sa-4.0
160640094,LeetCodeAnimation,MisterBooo/LeetCodeAnimation,False,MisterBooo,User,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,False,2018-12-06T08:01:22Z,2025-10-29T13:02:43Z,2023-08-14T12:14:01Z,,509807,76499,76499,Java,14018,22,master,"animation,leetcode,leetcode-c,leetcode-java,leetcode-solutions",public,
507775,elasticsearch,elastic/elasticsearch,False,elastic,Organization,https://github.com/elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",False,2010-02-08T13:20:56Z,2025-10-29T15:09:34Z,2025-10-29T14:54:28Z,https://www.elastic.co/products/elasticsearch,1497988,75298,75298,Java,25586,5466,main,"elasticsearch,java,search-engine",public,other
594155488,Stirling-PDF,Stirling-Tools/Stirling-PDF,False,Stirling-Tools,Organization,https://github.com/Stirling-Tools/Stirling-PDF,#1 Locally hosted web application that allows you to perform various operations on PDF files,False,2023-01-27T18:22:42Z,2025-10-29T15:16:52Z,2025-10-29T14:20:56Z,https://stirlingpdf.com,113640,69302,69302,Java,5855,436,main,"docker,hacktoberfest,java,pdf,pdf-converter,pdf-editor,pdf-manipulation,pdf-merger,pdf-ocr,pdf-tools,pdf-web-apps,pdfmerger",public,other
