rodada,valido,cenario,tecnologia,tempo_ms,tamanho_bytes
1,False,1_Simples,REST,402.47035026550293,1144
1,False,1_Simples,GraphQL,322.739839553833,239
1,False,2_Complexo,REST,3047.482490539551,89457
1,False,2_Complexo,GraphQL,647.9485034942627,979
2,False,1_Simples,REST,359.33828353881836,1144
2,False,1_Simples,GraphQL,447.0205307006836,239
2,False,2_Complexo,REST,2847.4979400634766,89457
2,False,2_Complexo,GraphQL,637.2945308685303,979
3,False,1_Simples,REST,750.1499652862549,1144
3,False,1_Simples,GraphQL,341.0148620605469,239
3,False,2_Complexo,REST,3004.687547683716,89457
3,False,2_Complexo,GraphQL,562.8378391265869,979
4,False,1_Simples,REST,347.81908988952637,1144
4,False,1_Simples,GraphQL,580.3453922271729,239
4,False,2_Complexo,REST,2866.7469024658203,89457
4,False,2_Complexo,GraphQL,708.2056999206543,979
5,False,1_Simples,REST,321.195125579834,1144
5,False,1_Simples,GraphQL,601.3691425323486,239
5,False,2_Complexo,REST,2886.256456375122,89457
5,False,2_Complexo,GraphQL,619.149923324585,979
6,True,1_Simples,REST,324.4898319244385,1144
6,True,1_Simples,GraphQL,322.07441329956055,239
6,True,2_Complexo,REST,2921.5288162231445,89457
6,True,2_Complexo,GraphQL,583.4906101226807,979
7,True,1_Simples,REST,350.18110275268555,1144
7,True,1_Simples,GraphQL,335.57677268981934,239
7,True,2_Complexo,REST,3118.0098056793213,89457
7,True,2_Complexo,GraphQL,499.88532066345215,979
8,True,1_Simples,REST,342.6234722137451,1144
8,True,1_Simples,GraphQL,343.6317443847656,239
8,True,2_Complexo,REST,3080.716848373413,89457
8,True,2_Complexo,GraphQL,595.5896377563477,979
9,True,1_Simples,REST,338.70649337768555,1144
9,True,1_Simples,GraphQL,321.918249130249,239
9,True,2_Complexo,REST,3014.965534210205,89457
9,True,2_Complexo,GraphQL,745.1803684234619,979
10,True,1_Simples,REST,364.0151023864746,1144
10,True,1_Simples,GraphQL,342.5562381744385,239
10,True,2_Complexo,REST,2990.1955127716064,89457
